year,stocks,bills,bonds,p9060,lev15,diff,term_premium,erp,infl
1928,0.43811155152887893,0.0308,0.008354708589799302,0.3812132215298707,0.6386173272933184,-0.056898329999008235,-0.0224452914102007,0.40731155152887893,
1929,-0.0829794661190966,0.0316,0.04203804156320426,-0.06795869456926437,-0.14341919917864487,0.015020771549832224,0.010438041563204256,-0.1145794661190966,
1930,-0.25123636363636365,0.0455,0.045409314348970366,-0.2243171386633451,-0.4027545454545454,0.026919224973018546,-9.068565102963305e-05,-0.29673636363636363,
1931,-0.4383754889178619,0.0231,-0.02558855961942253,-0.4241410757977292,-0.6722632333767927,0.014234413120132683,-0.04868855961942253,-0.4614754889178619,
1932,-0.08642364532019696,0.0107,0.08790306990477326,-0.03308943884531332,-0.1381354679802954,0.05333420647488364,0.07720306990477326,-0.09712364532019696,
1933,0.49982225433526023,0.0096,0.01855272089185736,0.45347166143684864,0.7417833815028904,-0.04635059289841159,0.008952720891857361,0.49022225433526023,
1934,-0.011885656970912803,0.0027833333333333334,0.0796344261796561,0.032991897767305475,-0.02237015212303587,0.04487755473821828,0.07685109284632277,-0.014668990304246137,
1935,0.4674042105263158,0.001675,0.04472047729656613,0.4439585758516239,0.6971188157894737,-0.023445634674691906,0.043045477296566124,0.46572921052631583,
1936,0.3194341027550261,0.001725,0.0501787540454506,0.31403544490679386,0.4751386541325392,-0.005398657848232236,0.0484537540454506,0.3177091027550261,
1937,-0.3533672875436554,0.002758333333333333,0.01379146059646038,-0.31383484909808024,-0.5345800979821498,0.039532438445575135,0.011033127263127046,-0.3561256208769887,
1938,0.29282654028436017,0.00065,0.04213248532204607,0.2857983774491518,0.43576481042654025,-0.007028162835208351,0.04148248532204607,0.2921765402843602,
1939,-0.010975646879756443,0.0004583333333333333,0.04412261394206067,0.013666319506788933,-0.019842636986301333,0.024641966386545377,0.04366428060872734,-0.011433980213089777,
1940,-0.10672873194221515,0.00035833333333333333,0.05402481596284551,-0.066520135836953,-0.16342226457998937,0.040208596105262145,0.05366648262951217,-0.10708706527554848,
1941,-0.1277145557655955,0.0012916666666666669,-0.020221975848580105,-0.13042211903151738,-0.19536766698172658,-0.002707563265921864,-0.021513642515246772,-0.12900622243226217,
1942,0.19173762945914843,0.003425,0.022948682374484164,0.1819205759379241,0.2827439441887227,-0.009817053521224334,0.019523682374484163,0.18831262945914842,
1943,0.25061310133060394,0.0038,0.0249,0.23589179119754353,0.37086965199590594,-0.014721310133060411,0.021099999999999997,0.24681310133060394,
1944,0.1903067694944301,0.0038,0.025776111579070303,0.18214175949242928,0.28041015424164517,-0.008165010002000817,0.0219761115790703,0.1865067694944301,
1945,0.358210843373494,0.0038,0.03804417341923723,0.340616263087687,0.532266265060241,-0.017594580285807015,0.03424417341923723,0.354410843373494,
1946,-0.08429147465437781,0.0038,0.031283745375695685,-0.06169207996352261,-0.1314872119815667,0.022599394690855194,0.027483745375695683,-0.0880914746543778,
1947,0.052,0.006008333333333333,0.009196968062832236,0.046614014171032676,0.07184583333333333,-0.005385985828967321,0.0031886347294989023,0.04599166666666667,
1948,0.057045751633986834,0.01045,0.019510369413175046,0.05512239811849318,0.07719362745098025,-0.0019233535154936574,0.009060369413175047,0.04659575163398683,0.02733874412644166
1949,0.18303223684210526,0.01115,0.04663485182797314,0.1844349242546786,0.2658233552631579,0.0014026874125733502,0.03548485182797314,0.17188223684210527,-0.018295218295218296
1950,0.30805539011316263,0.012033333333333333,0.00429595741710961,0.2711107588854455,0.4529164185030773,-0.03694463122771713,-0.007737375916223723,0.2960220567798293,0.0580262600592969
1951,0.2367846304454234,0.015175000000000001,-0.0029531392208319886,0.20104678386838187,0.34443944566813506,-0.035737846577041515,-0.01812813922083199,0.2216096304454234,0.05964771817453962
1952,0.18150988641144306,0.017225,0.022679961918305656,0.16565437492128213,0.2605023296171646,-0.01585551149016093,0.005454961918305655,0.16428488641144307,0.009066868152625585
1953,-0.012082047421904465,0.018908333333333333,0.04143840258908851,0.0018350322070724212,-0.03072723779952336,0.013917079628976887,0.02253006925575518,-0.030990380755237797,0.005990265818045737
1954,0.525633212414349,0.0093752,0.032898034558095555,0.48542111190777154,0.7819076990563061,-0.040212100506577475,0.023522834558095555,0.516258012414349,-0.0037216226274656705
1955,0.3259733185102835,0.017243426294820716,-0.013364391288618781,0.27403563873867354,0.4785169640667951,-0.05193767977160996,-0.030607817583439497,0.30872989221546276,0.0037355248412402897
1956,0.07439511873350935,0.026213888888888887,-0.022557738173154165,0.03761401951182148,0.09644472728059188,-0.03678109922168787,-0.04877162706204305,0.04818122984462046,0.028284331968738252
1957,-0.1045736018855796,0.03224566929133858,0.0679701284662499,-0.07215699926294099,-0.1738871151571365,0.03241660262263861,0.03572445917491132,-0.13681927117691817,0.030401737242128135
1958,0.43719954988747184,0.017665461847389558,-0.020990181755274694,0.3693527549218651,0.64643754400929,-0.06784679496560675,-0.038655643602664255,0.4195340880400823,0.017562346329469625
1959,0.12056457163557326,0.0338601593625498,-0.026466312591385065,0.07299824723590999,0.16279644649445577,-0.04756632439966327,-0.06032647195393487,0.08670441227302345,0.015188125647221273
1960,0.00336535314743695,0.028729718875502006,0.11639503690963365,0.055800980540722446,-0.012510713448243482,0.05243562739328549,0.08766531803413165,-0.025364365728065056,0.013600816048962905
1961,0.2663771295818275,0.023524899598393576,0.020609208076323167,0.2376424916702419,0.38831733820835773,-0.02873463791158562,-0.0029156915220704092,0.24285222998343395,0.006709158000671067
1962,-0.08811460517120888,0.027723694779116466,0.05693544054008462,-0.06170372771959546,-0.14722341460612837,0.02641087745161342,0.029211745760968154,-0.11583829995032535,0.012329223592135952
1963,0.22611927099841514,0.03156024096385542,0.016841620739546127,0.1951321958603736,0.3217852078674857,-0.030987075138041553,-0.014718620224309295,0.1945590300345597,0.016458196181698526
1964,0.16415455878432425,0.035457370517928286,0.037280648911540815,0.14967880699385216,0.22725137369561205,-0.014475751790472086,0.001823278393612529,0.12869718826639598,0.011981865284974136
1965,0.12399242477876114,0.03949076305220883,0.007188550935926234,0.09346093133633636,0.16410480155170334,-0.030531493442424784,-0.0323022121162826,0.08450166172655231,0.019200000000000106
1966,-0.0997095423563779,0.048557199999999995,0.029079409324299622,-0.09926954252616033,-0.17663609435648464,0.0004399998302175717,-0.019477790675700372,-0.14826674235637788,0.033594976452119285
1967,0.23802966513133328,0.04293453815261044,-0.015806209932824666,0.18057570358219996,0.33446230591617804,-0.05745396154913332,-0.058740748085435106,0.19509512697872283,0.03280680437424044
1968,0.10814862651601535,0.053376,0.032746196950768365,0.08759348203487484,0.13241351354451483,-0.020555144481140514,-0.020629803049231635,0.05477262651601535,0.04705882352941182
1969,-0.08241371076449064,0.06668467741935484,-0.050140493209926106,-0.14029897432367466,-0.16619207299605102,-0.057885263559184025,-0.11682517062928094,-0.14909838818384546,0.0589887640449438
1970,0.03561144905496419,0.06391,0.16754737183412338,0.09792372724994182,0.01606265303450108,0.06231227819497763,0.10363737183412339,-0.028298550945035805,0.055702917771883076
1971,0.14221150298426474,0.0433425702811245,0.09786896619712297,0.1623404472635498,0.18847752844899984,0.02012894427928505,0.05452639591599847,0.09886893270314023,0.03266331658291466
1972,0.18755362915074925,0.0406184,0.02818449050444969,0.16269976053834415,0.257644787988419,-0.0248538686124051,-0.012433909495550309,0.14693522915074925,0.03406326034063256
1973,-0.14308047437526472,0.07035443548387096,0.036586646024150085,-0.14469765706518367,-0.2598320814259108,-0.00161718268991895,-0.03376778945972088,-0.21343490985913569,0.0894117647058823
1974,-0.2590178575089697,0.07845783132530121,0.019886086932378574,-0.2631133352612962,-0.4425837725648245,-0.004095477752326493,-0.058571744392922634,-0.3374756888342709,0.12095032397408212
1975,0.36995137106184356,0.05786385542168675,0.03605253602603384,0.32295582786043614,0.5243211661818064,-0.04699554320140742,-0.02181131939565291,0.3120875156401568,0.07129094412331405
1976,0.23830999002106662,0.049766000000000005,0.1598456074290921,0.2828033554764152,0.3307395751955344,0.0444933654553486,0.11007960742909209,0.18854399002106662,0.050359712230215736
1977,-0.06979704075935232,0.05260963855421687,0.012899606071070449,-0.08408239231788324,-0.13390706798834354,-0.014285351558530918,-0.03971003248314642,-0.12240667931356919,0.0667808219178081
1978,0.0650928391167193,0.07178306451612904,-0.007775806907508648,0.015326538802477661,0.05645487511343511,-0.04976630031424164,-0.07955887142363768,-0.0066902253994097355,0.08988764044943842
1979,0.18519490167516386,0.10054274193548388,0.006707203124723546,0.11772836241473966,0.2202783799100061,-0.0674665392604242,-0.09383553881076033,0.08465215973967999,0.13254786450662737
1980,0.3173524550676301,0.1139188,-0.02989744251999403,0.2080193440488707,0.40778004872166373,-0.1093331110187594,-0.14381624251999403,0.20343365506763011,0.12353706111833551
1981,-0.04702390247495576,0.14036184738955823,0.08199215335892354,-0.06600714390688517,-0.15396763453435147,-0.018983241431929407,-0.05836969403063469,-0.187385749864514,0.08912037037037024
1982,0.20419055079559353,0.1109,0.32814549486295586,0.32250879263380766,0.24359747002900672,0.11831824183821413,0.21724549486295586,0.09329055079559354,0.03825717321997879
1983,0.22337155858930619,0.0895,0.032002094451429264,0.1727856594012331,0.2881059680209456,-0.050585899188073075,-0.05749790554857073,0.1338715585893062,0.03787103377686796
1984,0.0614614199963621,0.0992,0.13733364344102345,0.08541546406133997,0.03956672015847758,0.02395404406497787,0.03813364344102345,-0.037738580003637896,0.04043392504930954
1985,0.3123514948576895,0.07719999999999999,0.2571248821260641,0.39409127464755905,0.4265288861221507,0.08173977978986957,0.1799248821260641,0.2351514948576895,0.03791469194312791
1986,0.18494578758046187,0.061500000000000006,0.24284215141767618,0.2787064996730214,0.24192128411041883,0.09376071209255954,0.18134215141767618,0.12344578758046187,0.01187214611872145
1987,0.05812721641821871,0.0596,-0.04960508937926228,-0.009948558851160527,0.052389043805410256,-0.06807577526937925,-0.10920508937926228,-0.0014727835817812882,0.04332129963898912
1988,0.16537192812044688,0.0689,0.08223595843484167,0.1610263103693072,0.20869887578722768,-0.004345617751139674,0.013335958434841672,0.09647192812044687,0.044117647058823595
1989,0.31475183638196724,0.0839,0.17693647159446219,0.3447885357004478,0.42455323402500567,0.030036699318480575,0.09303647159446218,0.23085183638196724,0.046396023198011616
1990,-0.03064451612903212,0.0775,0.06235375333553336,-0.03161781251480889,-0.08794937693327419,-0.0009732963857767736,-0.015146246664466637,-0.10814451612903211,0.06254948535233562
1991,0.3023484313487976,0.0554,0.15004510019517303,0.3317406483310217,0.42359757853004565,0.029392216982224106,0.09464510019517303,0.24694843134879757,0.02980625931445613
1992,0.07493727972380064,0.0351,0.09361637316207942,0.10336337564866824,0.0933005917168485,0.028426095924867598,0.05851637316207942,0.03983727972380064,0.02966714905933454
1993,0.0996705147919488,0.030699999999999998,0.14210957589263107,0.15691920884833255,0.1328990598591561,0.05724869405638375,0.11140957589263106,0.0689705147919488,0.028109627547435068
1994,0.013259206774573897,0.0437,-0.08036655550998592,-0.06083664720887504,-0.0026428336737555924,-0.07409585398344894,-0.12406655550998592,-0.030440793225426106,0.02597402597402576
1995,0.3719519890260631,0.056600000000000004,0.23480780112538907,0.4446414707986902,0.5272564766897796,0.07268948177262713,0.17820780112538906,0.3153519890260631,0.025316455696202667
1996,0.2268096601886579,0.051500000000000004,0.01428607793401844,0.18425034093020315,0.3122121678786153,-0.04255931925845474,-0.037213922065981564,0.1753096601886579,0.03378817413905133
1997,0.33103653103653097,0.052000000000000005,0.09939130272977531,0.32886765957074304,0.4677472623082211,-0.002168871465787925,0.047391302729775306,0.279036531036531,0.016970458830924073
1998,0.28337953278443584,0.049100000000000005,0.14921431922606215,0.31732017104162963,0.39681464164240715,0.03394063825719379,0.10011431922606215,0.23427953278443583,0.01606922126081578
1999,0.20885350992084475,0.0478,-0.08254214796268576,0.11184287015114885,0.2869184840593494,-0.0970106397696959,-0.13034214796268576,0.16105350992084475,0.02676399026763998
2000,-0.09031818955249278,0.06,0.16655267125397488,-0.014054767844858575,-0.16816444279868453,0.0762634217076342,0.10655267125397488,-0.15031818955249276,0.03436018957345954
2001,-0.11849759142000185,0.0348,0.055721811892492555,-0.09331474514250614,-0.1986381679519206,0.025182846277495716,0.020921811892492558,-0.15329759142000185,0.01603665521191311
2002,-0.219660479579127,0.016399999999999998,0.15116400378109285,-0.11789602935255859,-0.33932469197143017,0.1017644502265684,0.13476400378109285,-0.23606047957912699,0.024802705749718212
2003,0.2835580005001023,0.0103,0.003753185881775853,0.24960411197915758,0.4182045349967288,-0.03395388852094475,-0.006546814118224147,0.27325800050010235,0.020352035203520247
2004,0.10742775944096193,0.013999999999999999,0.04490683702274547,0.11392908571051304,0.1528899998171806,0.006501326269551105,0.03090683702274547,0.09342775944096193,0.033423180592991875
2005,0.048344775232688535,0.0322,0.028675329597779506,0.041915495468087385,0.05493182038327937,-0.006429279764601149,-0.0035246704022204936,0.016144775232688535,0.03338549817423053
2006,0.15612557979315703,0.048499999999999995,0.019610012417568386,0.12532902926438233,0.20786124640206433,-0.030796550528774697,-0.02888998758243161,0.10762557979315704,0.025239777889954462
2007,0.054847352464217694,0.044800000000000006,0.10209921930012807,0.08552214879787276,0.0556844533538608,0.030674796333655066,0.05729921930012806,0.010047352464217688,0.04108813392417532
2008,-0.3655234411179819,0.013999999999999999,0.20101279926977011,-0.21806341744432164,-0.5594060633163171,0.14746002367366026,0.1870127992697701,-0.3795234411179819,-0.0002222800255385904
2009,0.2593523387766398,0.0015,-0.11116695313259162,0.16326693301942088,0.3867354944663296,-0.09608540575721894,-0.11266695313259162,0.2578523387766398,0.028141231232083674
2010,0.14821092278719414,0.0014000000000000002,0.08462933880355772,0.18076743379060936,0.21993515130407887,0.03255651100341522,0.08322933880355772,0.14681092278719413,0.01437793022217937
2011,0.0209837473362805,0.0005,0.16035334999461354,0.11214738259942057,0.02946808675784541,0.09116363526314007,0.15985334999461354,0.0204837473362805,0.03062066838419386
2012,0.15890585241730293,0.0009,0.02971571978018946,0.15769469904368633,0.23615590977349538,-0.0012111533736166025,0.028815719780189458,0.15800585241730292,0.017595049796895523
2013,0.32145085858125483,0.0006,-0.09104568794347262,0.23167835995704578,0.48013957554311515,-0.08977249862420905,-0.09164568794347262,0.32085085858125484,0.015128383667573297
2014,0.13524421649462237,0.0003,0.10746180452004755,0.18334687755718868,0.2009238589885089,0.048102661062566304,0.10716180452004756,0.13494421649462238,0.006531213919623191
2015,0.013788916411676138,0.0005,0.012842996709792224,0.017165822796383855,0.018514744480527905,0.0033769063847077178,0.012342996709792223,0.013288916411676137,0.006387247515364791
2016,0.11773080874798171,0.0032,0.006905504698747792,0.10580103069243223,0.1731302295154152,-0.011929778055549484,0.003705504698747792,0.11453080874798172,0.020507989115119862
2017,0.2160548143449928,0.0095,0.028017162707789457,0.20380963053516718,0.3175674269969413,-0.012245183809825616,0.018517162707789456,0.2065548143449928,0.021299307195522532
2018,-0.04226869289088544,0.0197,-0.00016692385713402633,-0.05069197791607731,-0.07407769687057472,-0.008423285025191872,-0.019866923857134025,-0.06196869289088544,0.020023809043401064
2019,0.31211679996808755,0.021099999999999997,0.09635630741548393,0.3254689044205692,0.4558888985822683,0.013352104452481639,0.07525630741548393,0.29101679996808755,0.023195274699624457
2020,0.18023201827422478,0.0036,0.1133189764661412,0.225700202326487,0.2669868252255448,0.04546818405226222,0.10971897646614119,0.17663201827422478,0.013204191315779434
2021,0.2846885175196416,0.0004,-0.04416034448604475,0.22682345907605053,0.4251393516219281,-0.05786505844359105,-0.04456034448604475,0.28428851751964157,0.07174340285065539
2022,-0.18037505927178585,0.0209,-0.1782817153825067,-0.28245658257411127,-0.28052354781178834,-0.10208152330232542,-0.1991817153825067,-0.20127505927178585,0.06404600402357152
2023,0.26060684985024096,0.0528,0.0388,0.22872616486521688,0.3642809597068683,-0.03188068498502408,-0.013999999999999999,0.20780684985024095,0.033159099427102934
