strategy,start,end,years,CAGR,vol,Sharpe,Sortino,MaxDD,Calmar,downside_dev,worst_year,worst_year_when,best_year,best_year_when
"Global equities, All World (ACWI)",2008-03-31,2026-07-31,18.33,0.08436254332303994,0.20129516218099644,0.436644011666515,0.6090851686083523,-0.5627625425514653,0.14990788644275288,0.14430935894191696,-0.18385545923217728,2022,0.32361694042287614,2009
Developed equities (index NTSG tracks),1990-07-03,2026-07-31,36.08,0.08490016462762662,0.14668639516499854,0.45076922237566075,0.6263093958469228,-0.5702774846964382,0.14887518253121887,0.10558666086659478,-0.4012599037148423,2008,0.36113000941853435,2003
"Developed equities, 1.5x levered",1990-07-04,2026-07-31,36.07,0.10048581809040891,0.22070200887457542,0.42621271086877643,0.5918841329923283,-0.738904210151708,0.13599302414284212,0.1589406634473317,-0.564764795032983,2008,0.5540135548565654,2003
Developed small-cap value,1990-07-03,2026-07-31,36.08,0.10899387850331155,0.12389448937234372,0.6860068563954173,0.9467604072383963,-0.5784966189876968,0.18840884272416047,0.08979910888446835,-0.36710548949691035,2008,0.6293656885285732,2003
Reconstructed 90/60,1990-07-03,2026-07-31,36.08,0.0923488863666686,0.13011669007100485,0.5430374393282189,0.7631113263903853,-0.4878029018474036,0.1893159840110126,0.09260370577994116,-0.31144323103308214,2008,0.3281717623553544,2003
