sub_period,equities,p9060,bond_leg,vol_9060,vol_eq,diff_pp
1990-1999,0.12036741195212075,0.13262383097558028,0.03370061488731757,0.10856875079277323,0.11295272919246538,1.225641902345953
2000-2009,0.013825796927120049,0.038074452600071584,0.03517350009763387,0.1478759348497093,0.17157495108690904,2.4248655672951536
2010-2019,0.09719783568956442,0.10699802089214128,0.03152099216480719,0.10936107755093802,0.13003593427559684,0.9800185202576861
2020-2026,0.12865269558663583,0.09793371512026439,-0.025835034252403966,0.15627000485238776,0.17069060288817034,-3.071898046637145
