strategy,start,end,years,CAGR,vol,Sharpe,Sortino,MaxDD,Calmar,downside_dev,worst_year,worst_year_when,best_year,best_year_when
Actual NTSG (live),2024-11-11,2026-07-31,1.72,0.16417405351032044,0.14144264644907828,0.8719987206533778,1.2648590502321548,-0.15510968278024706,1.0584384583064064,0.09750964943516255,0.2080662430939728,2025,0.2080662430939728,2025
"Reconstructed 90/60, same window",2024-11-11,2026-07-31,1.72,0.1433124311345726,0.12705709156257441,0.8135751492766838,1.157970741546342,-0.13488808908461747,1.0624543064337608,0.0892616903048432,0.2175477561327539,2025,0.2175477561327539,2025
"Developed equities, same window",2024-11-11,2026-07-31,1.72,0.16928206221572695,0.13583658944326785,0.9345366222714433,1.327832082231153,-0.1599916568620734,1.0580680613968683,0.09560178198461414,0.22355681913936887,2025,0.22355681913936887,2025
