,eq_0.04,eq_0.055,eq_0.07,eq_0.085,eq_0.1
bond_0.0,-2.426764395162097,-2.576764395162097,-2.726764395162097,-2.8767643951620974,-3.026764395162097
bond_0.015,-1.526764395162097,-1.6767643951620972,-1.8267643951620969,-1.976764395162097,-2.1267643951620974
bond_0.03,-0.6267643951620971,-0.776764395162097,-0.9267643951620972,-1.076764395162097,-1.226764395162097
bond_0.045,0.2732356048379028,0.12323560483790286,-0.026764395162097183,-0.17676439516209713,-0.3267643951620971
bond_0.06,1.1732356048379027,1.0232356048379028,0.8732356048379026,0.7232356048379028,0.5732356048379028
