period,years,equities,p9060,diff_pp,vol_eq,vol_9060,sharpe_eq,sharpe_9060,mdd_eq,mdd_9060,term_premium,win_rate
1928-2025 full,98,0.10017714854008042,0.09993051296155397,-0.024663557852644402,0.19403430168488894,0.18163183880114644,0.4283316341080126,0.4414231735225934,-0.6476983239155122,-0.5974482112608207,0.014074156444658304,0.41836734693877553
1928-1949,22,0.04650751588209623,0.05528629217119452,0.8778776289098289,0.2620889510581389,0.24046086766687286,0.263292689044845,0.30174848755845085,-0.6476983239155122,-0.5974482112608207,0.0224597237224919,0.45454545454545453
1950-1969,20,0.13446722137277822,0.11449736442861425,-1.9969856944163977,0.17916404217137388,0.16042913665127456,0.6254990502179004,0.5590759046619557,-0.10457360188557963,-0.14029897432367466,-0.013195222227283384,0.25
1970-1981 stagflation & rate spike,12,0.06914059960188323,0.053136252512195004,-1.6004347089688231,0.19000354197540065,0.17856021897552438,0.05909140482519519,-0.03166576787179732,-0.36503793396018624,-0.36973910917156416,-0.02280264723606716,0.25
1982-1999 disinflation bull,18,0.18339937967908626,0.19277879717244173,0.9379417493355469,0.11974293659064601,0.15101757101417926,1.0393302909491628,0.9257512802675301,-0.030644516129032073,-0.06083664720887505,0.0466572892820656,0.5555555555555556
2000-2019,20,0.059994493536292604,0.08155773186159387,2.156323832530127,0.17873879826112646,0.1363807600773152,0.3199257086675718,0.513264796647345,-0.36552344111798196,-0.21806341744432167,0.03815992450571755,0.55
2020-2025,6,0.14917273126549802,0.10882573087106606,-4.034700039443195,0.17325861607767098,0.20209411200112493,0.7792563309847439,0.49340486454877935,-0.18037505927178588,-0.2824565825741112,-0.030056679355227687,0.3333333333333333
