horizon,p_outperform,median_advantage_pp,p5_advantage_pp,p95_advantage_pp,cagr_9060_median,cagr_9060_p5,cagr_9060_p95,cagr_eq_median,cagr_eq_p5,cagr_eq_p95,wealth_9060_median,wealth_eq_median,wealth_9060_p5,wealth_eq_p5,vol_9060_median,vol_eq_median,mdd_9060_median,mdd_eq_median,mdd_9060_p5,mdd_eq_p5,p_lose_money_9060,p_lose_money_eq,p_cagr_gt_4_9060,p_cagr_gt_4_eq,p_cagr_gt_6_9060,p_cagr_gt_6_eq,p_cagr_gt_8_9060,p_cagr_gt_8_eq
10,0.4937,-0.026365695537944323,-2.645980251930787,2.4772175393619364,0.10482303449116959,0.0003880104147170578,0.18947306670643072,0.10781428045511854,-0.009768942756783685,0.19516639143266218,2.7097373833847733,2.7840023167812236,1.0038868947278525,0.9064950552252677,0.17195760915061353,0.1849610325184263,-0.18826655779435053,-0.18037505927178588,-0.5680966214762949,-0.6143708467498974,0.04945,0.0649,0.8651,0.8447,0.7839,0.76485,0.67,0.6631
20,0.48735,-0.035042188450007394,-1.9224035390885674,1.7558819251547082,0.10281528845213272,0.031931901611781846,0.16286104819389696,0.10419873506275878,0.025207561930114076,0.16767246105952827,7.080363655007224,7.260138580827348,1.8750842006182116,1.645265610207894,0.17622156017281576,0.18831963863622034,-0.2824565825741112,-0.36503793396018624,-0.6014530214217324,-0.6482023723952781,0.0106,0.0169,0.93105,0.9149,0.85085,0.8309,0.7153,0.70355
30,0.4836,-0.04008665608231654,-1.566078930152759,1.4349884736552434,0.1023775962841692,0.04469365981365472,0.1529867919945449,0.10336608876324316,0.03917584410270069,0.1570653186500609,18.617070933132645,19.12445049518113,3.712519733477795,3.167169493209046,0.1770930017192579,0.18950763428130163,-0.31383484909808024,-0.36552344111798196,-0.6389290982600747,-0.6919305288693138,0.00265,0.00515,0.96085,0.9481,0.886,0.86845,0.7462,0.73225
40,0.48495,-0.029027244526846907,-1.3615068848472955,1.241852287234525,0.1012827101509075,0.05205551992289897,0.1457218951160749,0.10227080664933641,0.046747469989562654,0.15032685983490082,47.419048913083884,49.15098440132961,7.612834706328836,6.218373366982532,0.1790182970375343,0.19133280132585284,-0.36973910917156416,-0.388792635006571,-0.6594267208299455,-0.7153288927528333,0.0005,0.0013,0.97785,0.9672,0.91565,0.89835,0.76965,0.7502
