regime,months,eq_ann,p9060_ann,bond_ann,diff_pp_per_month,win_rate
A  Equities up (bull months),275,0.4716827343964147,0.433783282355257,0.01788760239180731,-0.22781190495862214,0.3927272727272727
B  Equities down + yields falling,78,-0.36958459722578685,-0.2571702389144289,0.20524616859404987,1.308334277885127,1.0
C  Equities down + yields rising,77,-0.3604826326833056,-0.38345445582312876,-0.12191960760675269,-0.3012220759759828,0.2727272727272727
D  Inflation high (top quintile),87,-0.08171730478871075,-0.06629014900071029,0.01075631714675307,0.11733441191537637,0.5517241379310345
E  Deflation/disinflation + falling yields,106,0.05569188679535042,0.15519421840078484,0.16684652179535586,0.7230262424419401,0.8207547169811321
F  Strong equity bull (top-quartile months),108,0.9570426334267166,0.8523126817542697,0.013085965574645808,-0.4849896952057482,0.2962962962962963
G  Stagflation: high inflation + equities down,45,-0.43940928845867844,-0.4069840785641248,-0.003075424353530143,0.4378497928417022,0.6222222222222222
