variant,cagr,vol,sharpe,vs_equities_pp
"base case (CTD ladder, fund currency weights)",0.0923488863666686,0.13011669007100485,0.5430374393282189,0.7448721739041986
nominal 2/5/10/30 ladder,0.09487152587130199,0.13009920308953513,0.5608165416259933,0.997136124367537
currency weights: US only,0.09214669807387899,0.12997477993804776,0.5420572937676995,0.7246533446252368
currency weights: equal 4-ccy,0.09265364775188578,0.13137705317898485,0.5412290263432997,0.7753483124259164
currency weights: 1990s Japan-heavy,0.09258603524921871,0.1303426990156026,0.5439982545177868,0.7685870621592095
"zero costs (index, not fund)",0.09524379268373573,0.1300781719055101,0.5635083419901481,1.034362805610911
costs doubled to 0.54%/yr,0.08944682666739578,0.13014981728426925,0.5224910497084596,0.4546662039769167
