window,"Global equities, All World (ACWI)",Developed equities (index NTSG tracks),"Developed equities, 1.5x levered",Developed small-cap value,Reconstructed 90/60,Actual NTSG
full reconstruction 1990-2026,,0.08490016462762662,0.10048581809040891,0.10899387850331155,0.0923488863666686,
since ACWI exists (2008-2026),0.08436254332303994,0.08921265572911952,0.11202017162088995,0.08680562814658765,0.08717884707983536,
since NTSX exists (2018-2026),0.11984737748335994,0.11976652466493598,0.15393795406281408,0.09827479477359424,0.09859175331128855,
since NTSG exists (2024-2026),0.1785580144685608,0.1685470800783686,0.2224263240138491,0.25206742216072997,0.14278912795601162,0.16417405351032044
