date,equity_dm,rf,cash,futures,duration,n_ccy,scv_dm,rec9060,w_equity,w_bond,lev15,acwi,ntsg,equity_dm_exc
1990-07-03,0.0021,0.0003,0.0006108213652890434,0.0013867526699865406,5.110481870419968,2.0,0.0014,0.002775715890682262,0.8993935390616495,0.5983391804288658,,,,0.0018
1990-07-04,0.0065,0.0003,0.00022347815002461268,0.00028697203035071974,5.115965870427816,2.0,0.0034999999999999,0.006032806017557402,0.8998112105796994,0.5947511620395641,0.009630334855403433,,,0.0062
1990-07-05,-0.0071,0.0003,0.00046378050649173506,-0.0009673582656742278,5.117117201978892,2.0,-0.0040999999999999,-0.006924877529725704,0.8996525346060377,0.598898460531486,-0.01073553201592592,,,-0.0074
1990-07-06,0.0023,0.0003,0.00022193376190171178,-0.004110981615121249,5.1126953537314295,2.0,0.0002,-0.00037798375941222595,0.9020627004863868,0.5991249200211131,0.0033320754448933343,,,0.002
1990-07-09,0.0026999999999999,0.0003,0.0010589131653536436,-0.002591577677892616,5.09435778965746,2.0,0.0034999999999999,0.0009643839429711587,0.9036268265757122,0.5985476902395436,0.0036896188068891167,,,0.0023999999999999
1990-07-10,0.0017,0.0003,0.0015605634004683703,-0.0005379247749969112,5.082844434509562,2.0,0.002,0.0013571810663250972,0.9039361871025894,0.5977364536420083,0.0024270160346522296,,,0.0014
1990-07-11,0.0036,0.0003,-2.1137922870779482e-05,0.00028507555289418625,5.080678222571366,2.0,-0.0009,0.003415117156417402,0.9041027405955866,0.5957020613123074,0.0052690904864935995,,,0.0033
1990-07-12,0.0059999999999999,0.0003,0.00027531303306074887,0.004320684988636957,5.081611685376013,2.0,0.0042,0.008017402540688723,0.902293308376139,0.5909640645199693,0.008851473683421096,,,0.0056999999999999005
1990-07-13,0.0079,0.0003,0.0009561525106424205,0.0024349939408083695,5.097447402468347,2.0,0.0015,0.008653072226521008,0.9016196455980998,0.5858942790066196,0.01165434883953953,,,0.007600000000000001
1990-07-16,0.0054,0.0003,0.000335180411695766,0.00029489998503651123,5.1078081635434,2.0,0.0017,0.0050521970749863865,0.9019316552140196,0.5829491052422487,0.007674076897503657,,,0.0051
1990-07-17,0.0003,0.0003,0.000219325286330924,0.0002299312045059831,5.109257326945874,2.0,0.0022,0.00041872614185511914,0.9018246171680071,0.5827051113791216,0.00033253241038444514,,,0.0
1990-07-18,-0.0017,0.0003,0.0009667085839328393,-0.0023896150110523603,5.109656547606361,2.0,-0.0015,-0.0028380120663642483,0.9028538253693829,0.5843635421629234,-0.0026294030769034027,,,-0.002
1990-07-19,-0.0024,0.0003,-0.00029533670849958717,-0.00028291643351869726,5.0966724171239495,2.0,-0.0029,-0.0023682458579056265,0.9028250879634793,0.585750743936015,-0.0036694032052219105,,,-0.0026999999999999997
1990-07-20,-0.0081,0.0003,-0.00026224876055075944,0.0013750774631989767,5.094714036893144,2.0,-0.0019,-0.006540263500308674,0.9014076482919982,0.5896069286107369,-0.012135543402268967,,,-0.0084
1990-07-23,-0.0098,0.0003,0.0010569877673002024,-0.0002828674880664177,5.099925608746172,2.0,-0.0070999999999999,-0.008918359029046585,0.9006057790196682,0.5949125725233942,-0.014944878075361157,,,-0.0101
1990-07-24,-0.0047,0.0003,0.00036268661759525405,-0.002804511654935561,5.098064626176921,2.0,-0.0034,-0.005872591324472043,0.901668059884306,0.5984268890805394,-0.007156706364556342,,,-0.005
1990-07-25,0.001,0.0003,-0.00032386225334604955,0.00187564766340016,5.086204056456845,2.0,0.0022,0.0019848480548618763,0.9007818129149708,0.5972414555392295,0.0013859812231287183,,,0.0007000000000000001
1990-07-26,-0.0064,0.0003,-0.0005508466146023626,4.350556381970274e-05,5.094570630799547,2.0,-0.0005,-0.0058010286818162005,0.9002391222811611,0.6007262859539694,-0.009728039778487352,,,-0.0067
1990-07-27,-0.0066999999999999,0.0003,0.0010821665767146227,0.0026827375176442874,5.094908141234776,2.0,0.0,-0.004319418649482376,0.8980867327441452,0.60333233087579,-0.010210215706843218,,,-0.0069999999999998995
1990-07-30,0.0007,0.0003,0.0016024519040892644,0.003851924143443962,5.106967657610256,2.0,-0.0021,0.003093701264335502,0.8959436115731687,0.6014715575577118,0.0007040132500382157,,,0.0004
1990-07-31,0.0139,0.0003,0.0016487447016139988,-0.000247175774314628,5.123725224775525,2.0,0.0067,0.012469019869725706,0.8972098997072712,0.5940641597459476,0.02089465755067388,,,0.0136
1990-08-01,-0.0047,0.0003,-0.0004721998508429415,0.003293083203352165,5.121094837127815,2.0,-0.0043,-0.0023165014715805787,0.8950664358945591,0.5954435055026877,-0.007172669457674252,,,-0.005
1990-08-02,-0.0174,0.0003,-0.0011128912204163436,-0.0047270025831461105,5.135875176788624,2.0,-0.0126,-0.01851285898495847,0.896081306781497,0.6066747903460942,-0.026306272294022492,,,-0.0177
1990-08-03,-0.0165999999999999,0.0003,0.00021197028558276633,-0.00035470429531185186,5.1128046523773465,2.0,-0.0132,-0.015075397969013471,0.8946942286463474,0.6159606421599038,-0.025334206172161644,,,-0.0168999999999999
1990-08-06,-0.0317999999999999,0.0003,0.001042400069579571,-0.011081414747172,5.1061946939961675,2.0,-0.0250999999999999,-0.03518863242883563,0.8978365940651084,0.6384259792777272,-0.04910253287180533,,,-0.0320999999999999
1990-08-07,-0.0074,0.0003,0.00029352070050244004,-0.0045352653045874335,5.050932420842852,2.0,-0.0065,-0.009516761831480425,0.8997553607438235,0.6445601042761979,-0.01167650793621755,,,-0.0077
1990-08-08,0.007,0.0003,-0.00019902619609087538,0.0006624404395719568,5.03366316773239,2.0,0.0021,0.006697872033521124,0.9000253933574026,0.640271646719777,0.010838389630036138,,,0.0067
1990-08-09,-0.0007,0.0003,0.0005150498243521133,0.004116291268182568,5.036417406119967,2.0,0.0004,0.0020496062403214665,0.8975557397368514,0.6389620261636236,-0.001225100330581319,,,-0.001
1990-08-10,-0.0066,0.0003,3.956291909330959e-05,-0.0007026624909445813,5.056564615798132,2.0,-0.0033,-0.0063761396858860175,0.8973535232665578,0.6430622810946074,-0.010440226605193614,,,-0.0069
1990-08-13,-0.0109,0.0003,0.0008121220148936993,-0.0011276386856786114,5.05191347817966,2.0,-0.0060999999999999,-0.010444894322920617,0.8969408219622617,0.6498498945691431,-0.017486881959276834,,,-0.0112
1990-08-14,0.0088,0.0003,0.0008400193736934103,0.0016585481415890965,5.045290969423842,2.0,0.0027,0.009049994013755835,0.8967186032045054,0.6440215038148884,0.013754375040092137,,,0.0085
1990-08-15,0.0212,0.0003,0.001427512968167623,0.0011190915778798436,5.0541379081721765,2.0,0.0092,0.01987104465475409,0.8978870832659367,0.6314734663664288,0.03316831932240327,,,0.0209
1990-08-16,-0.014,0.0003,-0.0002999917174589277,-0.006177216094200206,5.059466805176121,2.0,-0.0053,-0.01650907544665059,0.9001777667671702,0.6420735063246377,-0.021868841146324036,,,-0.0143
