strategy,start,end,years,CAGR,vol,Sharpe,Sortino,MaxDD,Calmar,downside_dev,worst_year,worst_year_when,best_year,best_year_when
"Global equities, All World (ACWI)",2008-03-31,2026-07-31,18.33,0.08436254332303994,0.20129516218099644,0.436644011666515,0.6090851686083523,-0.5627625425514653,0.14990788644275288,0.14430935894191696,-0.18385545923217728,2022,0.32361694042287614,2009
Developed equities (index NTSG tracks),2008-03-31,2026-07-31,18.33,0.0894269291540497,0.1649468852022872,0.5207181050216317,0.7185881987853376,-0.5446203318717477,0.16420049697136316,0.11953208253206407,-0.17697650939313847,2022,0.3148208341438503,2009
"Developed equities, 1.5x levered",2008-03-31,2026-07-31,18.33,0.11234082614050167,0.24822548614868264,0.49973625604754934,0.6894269799961219,-0.7105971111273015,0.15809355875692002,0.17993353839806792,-0.267957081494696,2022,0.4642595952855313,2009
Developed small-cap value,2008-03-31,2026-07-31,18.33,0.0867395501216579,0.14691326397553142,0.5486165774465935,0.7542394906265375,-0.5225847887925187,0.16598177364113065,0.10687559804716255,-0.17579044693539236,2018,0.367700911879677,2009
Reconstructed 90/60,2008-03-31,2026-07-31,18.33,0.08723070134211408,0.1442625517692944,0.5590414535241184,0.7797252266991683,-0.4762650970965634,0.1831557715942135,0.10343934949340898,-0.241588064356145,2022,0.27538708748990337,2019
