episode,start,end,100% developed equities,1.5x developed equities,Reconstructed 90/60,Developed small-cap value
Dot-com bust,2000-03-01,2002-10-31,-0.3804857736183638,-0.55793997079539,-0.2562701340599878,0.01531763550041565
Global Financial Crisis,2007-10-01,2009-03-31,-0.48256045413265114,-0.6559412207150299,-0.38904022537261074,-0.4908956229933845
Euro crisis,2011-05-01,2011-10-31,-0.12414649651856124,-0.1983290945958146,-0.06502021388273949,-0.1513796317224897
COVID crash,2020-02-19,2020-03-23,-0.3336208008213801,-0.4674205129534176,-0.28173684949969635,-0.36862592922558135
2022 stocks-and-bonds selloff,2022-01-01,2022-10-31,-0.20326273747303003,-0.29979986326156793,-0.2678008283879353,-0.13409436974108435
2025 tariff shock,2025-02-19,2025-04-30,-0.05445462251833355,-0.09381464922596505,-0.0320057263859046,-0.015393349540500312
