date,corr_3y
1993-05-25,0.2990002998953267
1993-05-26,0.3000712044258709
1993-05-27,0.29992478997358424
1993-05-28,0.2993466341651586
1993-05-31,0.3004898249420948
1993-06-01,0.30136678656246246
1993-06-02,0.3014807113405183
1993-06-03,0.3019032318013959
1993-06-04,0.3033323307599501
1993-06-07,0.30262221960927066
1993-06-08,0.3028428291905142
1993-06-09,0.30290623733217087
1993-06-10,0.3027839999580496
1993-06-11,0.3025545251060616
1993-06-14,0.30346729843821657
1993-06-15,0.30240171928546977
1993-06-16,0.30161350036129486
1993-06-17,0.3013543704557458
1993-06-18,0.3027204642482802
1993-06-21,0.3020226916978674
1993-06-22,0.3021539446572755
1993-06-23,0.3030048953080915
1993-06-24,0.30484657376603685
1993-06-25,0.30137271730983173
1993-06-28,0.30276565684532725
1993-06-29,0.28513200500220265
1993-06-30,0.2835201873744912
1993-07-01,0.28352561324114617
1993-07-02,0.2823539366879895
1993-07-05,0.2820314223853293
1993-07-06,0.2815406781278376
1993-07-07,0.2809527595595669
1993-07-08,0.28131289575103086
1993-07-09,0.2765347765578415
1993-07-12,0.2753396757637113
1993-07-13,0.2738823125609775
1993-07-14,0.27282921299279667
1993-07-15,0.2697328602936655
1993-07-16,0.2631530363012828
1993-07-19,0.26492437315515915
1993-07-20,0.2539044905822289
1993-07-21,0.25650258684930105
1993-07-22,0.2571601051076439
1993-07-23,0.25835350486958547
1993-07-26,0.25870906485926104
1993-07-27,0.25866791898920116
1993-07-28,0.25777608999653384
1993-07-29,0.25927548161008146
1993-07-30,0.2589229426509353
1993-08-02,0.2578048095058248
1993-08-03,0.2604685082248197
1993-08-04,0.26044940102948266
1993-08-05,0.2607547516921231
1993-08-06,0.26077601855321586
1993-08-09,0.26014504726079357
1993-08-10,0.259487781685213
1993-08-11,0.26064971752347044
1993-08-12,0.26091439758718193
1993-08-13,0.260501878722113
1993-08-16,0.2603989808112341
1993-08-17,0.25922317289794267
1993-08-18,0.26039085174363485
1993-08-19,0.25797905292657847
1993-08-20,0.2635019157039982
1993-08-23,0.26560285573385917
1993-08-24,0.26307915340878185
1993-08-25,0.2625201614313715
1993-08-26,0.2636666652150623
1993-08-27,0.2620418126327157
1993-08-30,0.2616421351093045
1993-08-31,0.26316680912149687
1993-09-01,0.25908049826532903
1993-09-02,0.257281544881654
1993-09-03,0.25785572561906506
1993-09-06,0.25664271324223686
1993-09-07,0.25433472711549954
1993-09-08,0.25460867981295837
1993-09-09,0.2520992617093532
1993-09-10,0.25103120239176335
1993-09-13,0.24869147709016873
1993-09-14,0.250162181252124
1993-09-15,0.25012191003138057
1993-09-16,0.24979397469320488
1993-09-17,0.2491823822361006
1993-09-20,0.24894214605831372
1993-09-21,0.24926978613305922
1993-09-22,0.24924921397577945
1993-09-23,0.2500203431387859
1993-09-24,0.25504450592057737
1993-09-27,0.25608635120710604
1993-09-28,0.2542612926488804
1993-09-29,0.2541143703826562
1993-09-30,0.2525737089986779
1993-10-01,0.2527549189435205
1993-10-04,0.2522489379386841
1993-10-05,0.2527369130839671
1993-10-06,0.24982224739505066
1993-10-07,0.249757170695241
1993-10-08,0.24965675537192808
1993-10-11,0.25075346849808366
1993-10-12,0.2529056086797679
1993-10-13,0.25386035277138724
1993-10-14,0.25435376439419005
1993-10-15,0.25537030538632166
1993-10-18,0.25625264804947034
1993-10-19,0.2565053876741127
1993-10-20,0.2567238778818271
1993-10-21,0.25717848837051693
1993-10-22,0.25594309420122907
1993-10-25,0.25613337725675706
1993-10-26,0.2551439957535796
1993-10-27,0.25593322162967663
1993-10-28,0.25538209563807873
1993-10-29,0.2578956345157542
1993-11-01,0.24818835293816244
1993-11-02,0.24755704653596253
1993-11-03,0.24823254991407145
1993-11-04,0.24836512225542212
1993-11-05,0.25253613649700934
1993-11-08,0.2512479392570669
1993-11-09,0.25124478724708327
1993-11-10,0.24957398646945592
1993-11-11,0.2495063048901935
1993-11-12,0.24951717906899987
1993-11-15,0.24781262993849604
1993-11-16,0.24660282237679762
1993-11-17,0.2465520830953263
1993-11-18,0.24660406846668395
1993-11-19,0.24956894614799977
1993-11-22,0.2525450354766281
1993-11-23,0.2529171705277177
1993-11-24,0.2529739068731396
1993-11-25,0.2545025565131117
1993-11-26,0.2522385509864664
1993-11-29,0.24908787384387066
1993-11-30,0.24136932232852357
1993-12-01,0.24008678459522148
1993-12-02,0.2416968958392545
1993-12-03,0.2418625439438557
1993-12-06,0.24147079982920483
1993-12-07,0.24038687922662091
1993-12-08,0.24039195639195976
1993-12-09,0.23976164569891326
1993-12-10,0.2189096788700406
1993-12-13,0.21813407056077017
1993-12-14,0.2192446086543693
1993-12-15,0.2188086559562877
1993-12-16,0.21839835296217378
1993-12-17,0.2176444847941194
1993-12-20,0.21969746446057298
1993-12-21,0.21996121237512706
1993-12-22,0.2215756739226763
1993-12-23,0.22227513263767357
1993-12-24,0.2220674306057586
1993-12-27,0.2235648159704619
1993-12-28,0.2227213422396278
1993-12-29,0.2219641188854233
1993-12-30,0.22069685367738126
1993-12-31,0.22127175155272846
1994-01-03,0.22086187512285663
1994-01-04,0.22205098969794113
1994-01-05,0.22196705160051108
1994-01-06,0.22208115359772074
1994-01-07,0.22578700444128944
1994-01-10,0.22618004437429334
1994-01-11,0.22682694696697683
1994-01-12,0.2264023404016011
1994-01-13,0.22710190810787895
1994-01-14,0.22372481298623684
