Date,NTSX,SPY
1993-01-29,,24.11326789855957
1993-02-01,,24.284761428833008
1993-02-02,,24.336212158203125
1993-02-03,,24.593461990356445
1993-02-04,,24.696367263793945
1993-02-05,,24.679224014282227
1993-02-08,,24.679224014282227
1993-02-09,,24.50771141052246
1993-02-10,,24.542003631591797
1993-02-11,,24.66206932067871
1993-02-12,,24.473421096801758
1993-02-16,,23.85601234436035
1993-02-17,,23.838844299316406
1993-02-18,,23.821706771850586
1993-02-19,,23.907445907592773
1993-02-22,,23.99321937561035
1993-02-23,,23.976058959960938
1993-02-24,,24.284761428833008
1993-02-25,,24.336212158203125
1993-02-26,,24.37051010131836
1993-03-01,,24.30190658569336
1993-03-02,,24.66206932067871
1993-03-03,,24.76497459411621
1993-03-04,,24.627765655517578
1993-03-05,,24.559160232543945
1993-03-08,,25.10796546936035
1993-03-09,,25.022220611572266
1993-03-10,,25.073665618896484
1993-03-11,,25.005081176757812
1993-03-12,,24.74782943725586
1993-03-15,,24.867860794067383
1993-03-16,,24.867860794067383
1993-03-17,,24.713525772094727
1993-03-18,,24.867860794067383
1993-03-19,,24.830244064331055
1993-03-22,,24.69237518310547
1993-03-23,,24.74408721923828
1993-03-24,,24.74408721923828
1993-03-25,,24.8991641998291
1993-03-26,,24.761306762695312
1993-03-29,,24.864694595336914
1993-03-30,,24.933626174926758
1993-03-31,,24.916399002075195
1993-04-01,,24.830244064331055
1993-04-02,,24.313312530517578
1993-04-05,,24.433931350708008
1993-04-06,,24.364992141723633
1993-04-07,,24.451143264770508
1993-04-08,,24.416677474975586
1993-04-12,,24.761306762695312
1993-04-13,,24.813013076782227
1993-04-14,,24.7785587310791
1993-04-15,,24.7785587310791
1993-04-16,,24.7785587310791
1993-04-19,,24.675151824951172
1993-04-20,,24.55455207824707
1993-04-21,,24.537309646606445
1993-04-22,,24.227149963378906
1993-04-23,,24.123756408691406
1993-04-26,,23.934223175048828
1993-04-27,,24.192676544189453
1993-04-28,,24.14097023010254
1993-04-29,,24.244359970092773
1993-04-30,,24.278825759887695
1993-05-03,,24.433931350708008
1993-05-04,,24.52007293701172
1993-05-05,,24.589008331298828
1993-05-06,,24.502849578857422
1993-05-07,,24.451143264770508
1993-05-10,,24.502849578857422
1993-05-11,,24.60622215270996
1993-05-12,,24.57177734375
1993-05-13,,24.278825759887695
1993-05-14,,24.261606216430664
1993-05-17,,24.347768783569336
1993-05-18,,24.330533981323242
1993-05-19,,24.830244064331055
1993-05-20,,24.8991641998291
1993-05-21,,24.675151824951172
1993-05-24,,24.7785587310791
1993-05-25,,24.830244064331055
1993-05-26,,25.140390396118164
1993-05-27,,25.05424690246582
1993-05-28,,24.933626174926758
1993-06-01,,25.174856185913086
1993-06-02,,25.140390396118164
1993-06-03,,25.05424690246582
1993-06-04,,24.968090057373047
1993-06-07,,24.881927490234375
1993-06-08,,24.65791893005371
1993-06-09,,24.74408721923828
1993-06-10,,24.761306762695312
1993-06-11,,24.864694595336914
1993-06-14,,24.830244064331055
1993-06-15,,24.7785587310791
1993-06-16,,24.830244064331055
1993-06-17,,24.916399002075195
1993-06-18,,24.711214065551758
1993-06-21,,24.76326560974121
1993-06-22,,24.780609130859375
1993-06-23,,24.555036544799805
1993-06-24,,24.884750366210938
1993-06-25,,24.867380142211914
1993-06-28,,25.145050048828125
1993-06-29,,25.02356719970703
1993-06-30,,25.02356719970703
1993-07-01,,24.954172134399414
1993-07-02,,24.81532859802246
1993-07-06,,24.555036544799805
1993-07-07,,24.624448776245117
1993-07-08,,24.902097702026367
1993-07-09,,24.971513748168945
1993-07-12,,24.954172134399414
1993-07-13,,24.93679428100586
1993-07-14,,25.02356719970703
1993-07-15,,24.919445037841797
1993-07-16,,24.850034713745117
1993-07-19,,24.832687377929688
1993-07-20,,24.902097702026367
1993-07-21,,24.884750366210938
1993-07-22,,24.711214065551758
1993-07-23,,24.832687377929688
1993-07-26,,24.971513748168945
1993-07-27,,24.954172134399414
1993-07-28,,24.902097702026367
1993-07-29,,25.040929794311523
