Date,NTSG.L,URTH
2012-01-12,,38.219688415527344
2012-01-13,,38.219688415527344
2012-01-17,,38.219688415527344
2012-01-18,,38.219688415527344
2012-01-19,,39.3442497253418
2012-01-20,,39.3442497253418
2012-01-23,,39.3442497253418
2012-01-24,,39.2454833984375
2012-01-25,,39.2454833984375
2012-01-26,,39.2454833984375
2012-01-27,,39.2454833984375
2012-01-30,,39.2454833984375
2012-01-31,,39.2454833984375
2012-02-01,,40.2408561706543
2012-02-02,,40.2408561706543
2012-02-03,,40.70435333251953
2012-02-06,,40.70435333251953
2012-02-07,,40.70435333251953
2012-02-08,,40.70435333251953
2012-02-09,,40.70435333251953
2012-02-10,,40.70435333251953
2012-02-13,,40.70435333251953
2012-02-14,,40.70435333251953
2012-02-15,,40.70435333251953
2012-02-16,,40.70435333251953
2012-02-17,,40.70435333251953
2012-02-21,,41.79090881347656
2012-02-22,,41.79090881347656
2012-02-23,,41.79090881347656
2012-02-24,,41.79090881347656
2012-02-27,,41.79090881347656
2012-02-28,,41.79090881347656
2012-02-29,,41.79090881347656
2012-03-01,,41.79090881347656
2012-03-02,,41.39580154418945
2012-03-05,,41.39580154418945
2012-03-06,,41.39580154418945
2012-03-07,,41.39580154418945
2012-03-08,,41.08427047729492
2012-03-09,,41.23624038696289
2012-03-12,,41.23624038696289
2012-03-13,,41.23624038696289
2012-03-14,,41.59336471557617
2012-03-15,,41.59336471557617
2012-03-16,,41.59336471557617
2012-03-19,,41.59336471557617
2012-03-20,,41.59336471557617
2012-03-21,,41.59336471557617
2012-03-22,,41.59336471557617
2012-03-23,,41.59336471557617
2012-03-26,,41.59336471557617
2012-03-27,,42.300010681152344
2012-03-28,,41.85930633544922
2012-03-29,,41.61616516113281
2012-03-30,,41.775718688964844
2012-04-02,,41.775718688964844
2012-04-03,,41.775718688964844
2012-04-04,,41.775718688964844
2012-04-05,,41.22105026245117
2012-04-09,,40.8867073059082
2012-04-10,,40.248451232910156
2012-04-11,,40.62076950073242
2012-04-12,,41.251434326171875
2012-04-13,,41.251434326171875
2012-04-16,,40.64356231689453
2012-04-17,,41.46418762207031
2012-04-18,,41.46418762207031
2012-04-19,,41.46418762207031
2012-04-20,,41.46418762207031
2012-04-23,,41.46418762207031
2012-04-24,,41.46418762207031
2012-04-25,,41.46418762207031
2012-04-26,,41.46418762207031
2012-04-27,,41.94287872314453
2012-04-30,,41.94287872314453
2012-05-01,,42.072044372558594
2012-05-02,,41.66934585571289
2012-05-03,,41.66934585571289
2012-05-04,,41.66934585571289
2012-05-07,,40.7955322265625
2012-05-08,,40.7955322265625
2012-05-09,,40.04329299926758
2012-05-10,,40.04329299926758
2012-05-11,,40.04329299926758
2012-05-14,,39.481021881103516
2012-05-15,,39.481021881103516
2012-05-16,,39.481021881103516
2012-05-17,,38.66039276123047
2012-05-18,,38.326072692871094
2012-05-21,,38.326072692871094
2012-05-22,,38.326072692871094
2012-05-23,,38.113319396972656
2012-05-24,,38.113319396972656
2012-05-25,,38.113319396972656
2012-05-29,,38.113319396972656
2012-05-30,,38.53882598876953
2012-05-31,,38.364070892333984
2012-06-01,,38.364070892333984
2012-06-04,,38.364070892333984
2012-06-05,,37.48265075683594
2012-06-06,,38.26527404785156
2012-06-07,,38.26527404785156
2012-06-08,,38.26527404785156
2012-06-11,,38.26527404785156
2012-06-12,,38.26527404785156
2012-06-13,,38.26527404785156
2012-06-14,,38.26527404785156
2012-06-15,,38.26527404785156
2012-06-18,,38.26527404785156
2012-06-19,,40.005313873291016
2012-06-20,,39.898929595947266
2012-06-21,,39.20530319213867
2012-06-22,,39.20530319213867
2012-06-25,,39.20530319213867
2012-06-26,,39.20530319213867
2012-06-27,,39.20530319213867
2012-06-28,,39.20530319213867
2012-06-29,,39.20530319213867
2012-07-02,,39.20530319213867
2012-07-03,,39.20530319213867
2012-07-05,,39.20530319213867
2012-07-06,,39.20530319213867
2012-07-09,,39.53671646118164
2012-07-10,,39.53671646118164
2012-07-11,,39.53671646118164
2012-07-12,,39.53671646118164
2012-07-13,,39.53671646118164
2012-07-16,,39.53671646118164
2012-07-17,,39.53671646118164
2012-07-18,,40.02223205566406
2012-07-19,,40.02223205566406
2012-07-20,,40.02223205566406
2012-07-23,,40.02223205566406
2012-07-24,,40.02223205566406
2012-07-25,,40.02223205566406
2012-07-26,,39.69854736328125
2012-07-27,,40.03765869140625
2012-07-30,,40.507781982421875
2012-07-31,,40.507781982421875
2012-08-01,,40.507781982421875
2012-08-02,,40.29969024658203
2012-08-03,,39.62147521972656
2012-08-06,,40.908546447753906
2012-08-07,,40.908546447753906
2012-08-08,,41.162872314453125
2012-08-09,,41.162872314453125
2012-08-10,,41.162872314453125
2012-08-13,,41.162872314453125
2012-08-14,,41.162872314453125
2012-08-15,,41.162872314453125
2012-08-16,,41.162872314453125
2012-08-17,,41.48656463623047
2012-08-20,,41.48656463623047
2012-08-21,,41.48656463623047
2012-08-22,,41.5405158996582
2012-08-23,,41.4403190612793
2012-08-24,,41.4403190612793
2012-08-27,,41.60987854003906
2012-08-28,,41.60987854003906
2012-08-29,,41.60987854003906
2012-08-30,,41.162872314453125
2012-08-31,,41.35553741455078
2012-09-04,,41.35553741455078
2012-09-05,,41.33242416381836
2012-09-06,,41.33242416381836
2012-09-07,,42.619483947753906
2012-09-10,,42.503883361816406
2012-09-11,,42.74280548095703
2012-09-12,,42.83528518676758
2012-09-13,,43.70616912841797
2012-09-14,,43.921966552734375
2012-09-17,,43.744693756103516
2012-09-18,,43.629093170166016
2012-09-19,,43.629093170166016
2012-09-20,,43.629093170166016
2012-09-21,,43.68304443359375
2012-09-24,,43.68304443359375
2012-09-25,,43.68304443359375
2012-09-26,,42.812164306640625
2012-09-27,,43.20521545410156
2012-09-28,,43.20521545410156
2012-10-01,,43.20521545410156
2012-10-02,,43.20521545410156
2012-10-03,,42.9817008972168
2012-10-04,,42.9817008972168
2012-10-05,,42.9817008972168
2012-10-08,,43.297706604003906
2012-10-09,,42.858402252197266
2012-10-10,,42.4653434753418
2012-10-11,,42.75051498413086
2012-10-12,,42.75051498413086
2012-10-15,,42.75051498413086
2012-10-16,,42.75051498413086
2012-10-17,,42.75051498413086
2012-10-18,,43.297706604003906
2012-10-19,,43.297706604003906
2012-10-22,,43.297706604003906
2012-10-23,,43.297706604003906
2012-10-24,,43.297706604003906
2012-10-25,,42.234134674072266
2012-10-26,,42.234134674072266
2012-10-31,,42.234134674072266
2012-11-01,,42.66572570800781
2012-11-02,,42.67342758178711
2012-11-05,,42.67342758178711
2012-11-06,,42.503883361816406
2012-11-07,,42.503883361816406
2012-11-08,,42.503883361816406
2012-11-09,,41.4403190612793
2012-11-12,,41.4403190612793
2012-11-13,,41.27846908569336
2012-11-14,,40.84687805175781
2012-11-15,,40.84687805175781
2012-11-16,,40.84687805175781
2012-11-19,,41.802555084228516
2012-11-20,,41.663822174072266
2012-11-21,,41.663822174072266
2012-11-23,,41.663822174072266
2012-11-26,,41.663822174072266
2012-11-27,,42.503883361816406
2012-11-28,,42.503883361816406
2012-11-29,,42.95860290527344
2012-11-30,,42.95860290527344
2012-12-03,,42.727378845214844
2012-12-04,,42.53471374511719
2012-12-05,,43.05878829956055
2012-12-06,,42.858402252197266
2012-12-07,,42.99713134765625
2012-12-10,,42.99713134765625
2012-12-11,,42.99713134765625
2012-12-12,,42.99713134765625
2012-12-13,,42.99713134765625
2012-12-14,,42.99713134765625
2012-12-17,,43.58285903930664
2012-12-18,,43.63676071166992
2012-12-19,,43.63676071166992
2012-12-20,,43.97272491455078
2012-12-21,,43.97272491455078
2012-12-24,,43.97272491455078
2012-12-26,,43.97272491455078
2012-12-27,,43.71489715576172
2012-12-28,,43.63676071166992
2012-12-31,,43.83991622924805
2013-01-02,,43.94929504394531
2013-01-03,,44.95720291137695
2013-01-04,,44.402462005615234
2013-01-07,,44.144622802734375
2013-01-08,,44.043052673339844
2013-01-09,,44.043052673339844
2013-01-10,,44.70718002319336
2013-01-11,,44.941566467285156
2013-01-14,,44.941566467285156
2013-01-15,,44.94938278198242
2013-01-16,,44.94938278198242
2013-01-17,,44.94938278198242
2013-01-18,,45.01188659667969
2013-01-22,,45.01188659667969
2013-01-23,,45.99635696411133
2013-01-24,,45.99635696411133
2013-01-25,,45.64476013183594
2013-01-28,,45.85572052001953
2013-01-29,,45.96510314941406
2013-01-30,,45.96510314941406
2013-01-31,,45.9025993347168
2013-02-01,,46.45733642578125
2013-02-04,,46.097923278808594
2013-02-05,,47.01988220214844
2013-02-06,,46.37919616699219
2013-02-07,,46.37919616699219
2013-02-08,,46.46514892578125
2013-02-11,,46.41044616699219
2013-02-12,,46.24637222290039
2013-02-13,,46.34013748168945
2013-02-14,,46.34013748168945
2013-02-15,,46.34013748168945
2013-02-19,,46.58234405517578
2013-02-20,,46.60578918457031
2013-02-21,,45.5744514465332
2013-02-22,,46.00416564941406
2013-02-25,,46.02760696411133
2013-02-26,,45.44160842895508
2013-02-27,,46.05885314941406
2013-02-28,,46.191680908203125
2013-03-01,,46.05885314941406
2013-03-04,,45.840087890625
2013-03-05,,46.60578918457031
2013-03-06,,46.46514892578125
2013-03-07,,46.56671905517578
2013-03-08,,47.08238983154297
2013-03-11,,46.84018325805664
2013-03-12,,46.76984405517578
2013-03-13,,46.746429443359375
2013-03-14,,47.32460021972656
2013-03-15,,47.38710021972656
2013-03-18,,47.074581146240234
2013-03-19,,46.82455825805664
2013-03-20,,46.85581588745117
2013-03-21,,46.86362075805664
2013-03-22,,47.1136474609375
2013-03-25,,46.9339485168457
2013-03-26,,47.168331146240234
2013-03-27,,47.168331146240234
2013-03-28,,47.168331146240234
2013-04-01,,46.87923812866211
2013-04-02,,47.410545349121094
2013-04-03,,46.754234313964844
2013-04-04,,47.23084259033203
2013-04-05,,46.95737838745117
2013-04-08,,46.95737838745117
2013-04-09,,47.551185607910156
2013-04-10,,48.13717269897461
2013-04-11,,48.660648345947266
2013-04-12,,48.3325080871582
2013-04-15,,47.105838775634766
2013-04-16,,47.93402862548828
2013-04-17,,46.69954299926758
2013-04-18,,46.80112075805664
2013-04-19,,46.80112075805664
2013-04-22,,46.80112075805664
2013-04-23,,47.34022903442383
2013-04-24,,47.84028244018555
2013-04-25,,50.0201530456543
2013-04-26,,47.66057205200195
