Date,NTSG.L,NTSX,NTSI,URTH,ACWI,VT,IEF,SHY,TLT,IEI
2002-07-30,,,,,,,40.13853454589844,50.87137222290039,35.5556526184082,
2002-07-31,,,,,,,40.50672149658203,51.028385162353516,35.99616241455078,
2002-08-01,,,,,,,40.673667907714844,51.1287956237793,36.20116424560547,
2002-08-02,,,,,,,40.98776626586914,51.229286193847656,36.57190704345703,
2002-08-05,,,,,,,41.19396209716797,51.31095504760742,36.7332878112793,
2002-08-06,,,,,,,40.860172271728516,51.185359954833984,36.41925048828125,
2002-08-07,,,,,,,40.98776626586914,51.260711669921875,36.50648498535156,
2002-08-08,,,,,,,40.84543228149414,51.185359954833984,36.50648498535156,
2002-08-09,,,,,,,41.149784088134766,51.19792556762695,37.02116775512695,
2002-08-12,,,,,,,41.23324966430664,51.19164276123047,37.2479133605957,
2002-08-13,,,,,,,41.562068939208984,51.2795524597168,37.705894470214844,
2002-08-14,,,,,,,41.43940353393555,51.16655349731445,37.84983444213867,
2002-08-15,,,,,,,41.1988639831543,51.1225471496582,37.518341064453125,
2002-08-16,,,,,,,40.92888641357422,51.09115219116211,37.09962463378906,
2002-08-19,,,,,,,40.9681396484375,51.097415924072266,37.21306228637695,
2002-08-20,,,,,,,41.346134185791016,51.21678161621094,37.6274299621582,
2002-08-21,,,,,,,41.2430534362793,51.172786712646484,37.42679214477539,
2002-08-22,,,,,,,41.02213668823242,51.11628723144531,37.09962463378906,
2002-08-23,,,,,,,41.20866394042969,51.1790657043457,37.46600341796875,
2002-08-26,,,,,,,41.228328704833984,51.172786712646484,37.50093078613281,
2002-08-27,,,,,,,41.10560989379883,51.135108947753906,37.26540756225586,
2002-08-28,,,,,,,41.25773620605469,51.172786712646484,37.45295715332031,
2002-08-29,,,,,,,41.4492073059082,51.229286193847656,37.7538948059082,
2002-08-30,,,,,,,41.52775192260742,51.248165130615234,37.980690002441406,
2002-09-03,,,,,,,41.980865478515625,51.36952209472656,38.56458282470703,
2002-09-04,,,,,,,41.96607971191406,51.35065841674805,38.55583190917969,
2002-09-05,,,,,,,42.133583068847656,51.40727615356445,38.76607894897461,
2002-09-06,,,,,,,41.80851364135742,51.30664825439453,38.31052780151367,
2002-09-09,,,,,,,41.749412536621094,51.23746871948242,38.25360870361328,
2002-09-10,,,,,,,41.89715576171875,51.2689208984375,38.437591552734375,
2002-09-11,,,,,,,41.74446105957031,51.23746871948242,38.236061096191406,
2002-09-12,,,,,,,41.961185455322266,51.275184631347656,38.53395462036133,
2002-09-13,,,,,,,42.15822219848633,51.31294250488281,38.888736724853516,
2002-09-16,,,,,,,42.17298889160156,51.294105529785156,38.954444885253906,
2002-09-17,,,,,,,42.31090545654297,51.331790924072266,39.0289306640625,
2002-09-18,,,,,,,42.36018753051758,51.325538635253906,39.03765869140625,
2002-09-19,,,,,,,42.57196044921875,51.432464599609375,39.30049514770508,
2002-09-20,,,,,,,42.557212829589844,51.438724517822266,39.11650848388672,
2002-09-23,,,,,,,42.79855728149414,51.45130920410156,39.46694564819336,
2002-09-24,,,,,,,42.951229095458984,51.47650146484375,39.72102355957031,
2002-09-25,,,,,,,42.62614440917969,51.426143646240234,39.23918533325195,
2002-09-26,,,,,,,42.59660720825195,51.44499206542969,39.14718246459961,
2002-09-27,,,,,,,42.877376556396484,51.551998138427734,39.44066619873047,
2002-09-30,,,,,,,43.128536224365234,51.62740707397461,39.59834289550781,
2002-10-01,,,,,,,42.752105712890625,51.5644645690918,39.107200622558594,
2002-10-02,,,,,,,42.895381927490234,51.608543395996094,39.33148193359375,
2002-10-03,,,,,,,42.870662689208984,51.614871978759766,39.23470687866211,
2002-10-04,,,,,,,42.915164947509766,51.570716857910156,39.35781478881836,
2002-10-07,,,,,,,43.083126068115234,51.633758544921875,39.42382049560547,
2002-10-08,,,,,,,43.00408935546875,51.5833625793457,39.436981201171875,
2002-10-09,,,,,,,43.221435546875,51.6904182434082,39.63923645019531,
2002-10-10,,,,,,,42.97443771362305,51.64005661010742,39.32707214355469,
2002-10-11,,,,,,,42.668155670166016,51.558162689208984,38.860965728759766,
2002-10-14,,,,,,,42.633548736572266,51.570716857910156,38.80379867553711,
2002-10-15,,,,,,,41.91725540161133,51.375484466552734,37.884830474853516,
2002-10-16,,,,,,,41.91725540161133,51.394344329833984,37.902442932128906,
2002-10-17,,,,,,,41.694942474365234,51.35026168823242,37.44071578979492,
2002-10-18,,,,,,,41.818450927734375,51.394344329833984,37.5374641418457,
2002-10-21,,,,,,,41.497371673583984,51.280975341796875,37.17251968383789,
2002-10-22,,,,,,,41.47758483886719,51.27468490600586,37.06697082519531,
2002-10-23,,,,,,,41.56648635864258,51.31248092651367,37.08015823364258,
2002-10-24,,,,,,,41.76409912109375,51.40067672729492,37.405548095703125,
2002-10-25,,,,,,,41.94688034057617,51.48884963989258,37.5418586730957,
2002-10-28,,,,,,,41.99629211425781,51.558162689208984,37.489105224609375,
2002-10-29,,,,,,,42.376705169677734,51.67155456542969,37.9771614074707,
2002-10-30,,,,,,,42.37172317504883,51.66522979736328,37.963958740234375,
2002-10-31,,,,,,,42.58909225463867,51.75342559814453,38.13548278808594,
2002-11-01,,,,,,,42.33378601074219,51.69855880737305,37.97600173950195,
2002-11-04,,,,,,,42.199981689453125,51.64807891845703,37.80816650390625,
2002-11-05,,,,,,,42.08596420288086,51.64176940917969,37.662410736083984,
2002-11-06,,,,,,,42.22478485107422,51.660701751708984,37.81259536743164,
2002-11-07,,,,,,,42.636173248291016,51.685909271240234,38.748958587646484,
2002-11-08,,,,,,,42.74027633666992,51.66698455810547,39.06256103515625,
2002-11-11,,,,,,,42.84931945800781,51.717437744140625,39.274559020996094,
2002-11-12,,,,,,,42.715484619140625,51.73008728027344,39.04930877685547,
2002-11-13,,,,,,,42.765071868896484,51.73637771606445,39.13324737548828,
2002-11-14,,,,,,,42.2297248840332,51.61018753051758,38.320556640625,
2002-11-15,,,,,,,42.259464263916016,51.635440826416016,38.47515106201172,
2002-11-18,,,,,,,42.29908752441406,51.635440826416016,38.64739990234375,
2002-11-19,,,,,,,42.33378601074219,51.62275695800781,38.7886962890625,
2002-11-20,,,,,,,42.10081100463867,51.578636169433594,38.40888214111328,
2002-11-21,,,,,,,41.857940673828125,51.50920867919922,38.03784942626953,
2002-11-22,,,,,,,41.80836486816406,51.49032211303711,38.00251388549805,
2002-11-25,,,,,,,41.743919372558594,51.52188491821289,37.931846618652344,
2002-11-26,,,,,,,42.12063980102539,51.61649703979492,38.40888214111328,
