Date,EFA
2001-08-27,21.856170654296875
2001-08-28,21.606151580810547
2001-08-29,21.50749969482422
2001-08-30,21.201337814331055
2001-08-31,21.252370834350586
2001-09-04,20.767623901367188
2001-09-05,20.640058517456055
2001-09-06,20.172319412231445
2001-09-07,20.053255081176758
2001-09-10,19.82363510131836
2001-09-17,18.956193923950195
2001-09-18,18.8031063079834
2001-09-19,18.7520809173584
2001-09-20,17.935670852661133
2001-09-21,17.433916091918945
2001-09-24,18.241825103759766
2001-09-25,18.45444107055664
2001-09-26,18.54798698425293
2001-09-27,18.840532302856445
2001-09-28,19.207927703857422
2001-10-01,19.10416603088379
2001-10-02,19.171627044677734
2001-10-03,19.367511749267578
2001-10-04,19.573619842529297
2001-10-05,19.60428237915039
2001-10-08,19.48674964904785
2001-10-09,19.43564796447754
2001-10-10,19.82742691040039
2001-10-11,19.96369171142578
2001-10-12,19.938154220581055
2001-10-15,19.62302017211914
2001-10-16,19.895565032958984
2001-10-17,19.912593841552734
2001-10-18,19.750774383544922
2001-10-19,19.554887771606445
2001-10-22,19.69115447998047
2001-10-23,19.847869873046875
2001-10-24,20.047164916992188
2001-10-25,20.018199920654297
2001-10-26,20.14767074584961
2001-10-29,19.7269287109375
2001-10-30,19.503786087036133
2001-10-31,19.558292388916016
2001-11-01,19.970508575439453
2001-11-02,19.968812942504883
2001-11-05,20.168102264404297
2001-11-06,20.377622604370117
2001-11-07,20.193653106689453
2001-11-08,20.338438034057617
2001-11-09,20.304372787475586
2001-11-12,20.031827926635742
2001-11-13,20.215797424316406
2001-11-14,20.23624038696289
2001-11-15,20.323108673095703
2001-11-16,20.437238693237305
2001-11-19,20.539440155029297
2001-11-20,20.3980655670166
2001-11-21,20.345256805419922
2001-11-23,20.409982681274414
2001-11-26,20.607585906982422
2001-11-27,20.447460174560547
2001-11-28,20.091459274291992
2001-11-29,20.135744094848633
2001-11-30,20.212387084960938
2001-12-03,20.04034996032715
2001-12-04,20.32481575012207
2001-12-05,20.813690185546875
2001-12-06,20.878421783447266
2001-12-07,20.563289642333984
2001-12-10,20.168102264404297
2001-12-11,20.2089786529541
2001-12-12,20.292449951171875
2001-12-13,19.81209945678711
2001-12-14,19.92622184753418
2001-12-17,20.162996292114258
2001-12-18,20.217496871948242
2001-12-19,20.006284713745117
2001-12-20,19.909183502197266
2001-12-21,20.00968360900879
2001-12-24,19.935026168823242
2001-12-26,19.917987823486328
2001-12-27,20.182199478149414
2001-12-28,20.342424392700195
2001-12-31,20.335609436035156
2002-01-02,20.44810676574707
2002-01-03,20.632198333740234
2002-01-04,20.768566131591797
2002-01-07,20.492422103881836
2002-01-08,20.25890350341797
2002-01-09,20.04582405090332
2002-01-10,20.09355354309082
2002-01-11,19.979345321655273
2002-01-14,19.779916763305664
2002-01-15,19.764572143554688
2002-01-16,19.416841506958008
2002-01-17,19.696386337280273
2002-01-18,19.687862396240234
2002-01-22,19.457744598388672
2002-01-23,19.508888244628906
2002-01-24,19.614566802978516
2002-01-25,19.33501434326172
2002-01-28,19.515705108642578
2002-01-29,18.973649978637695
2002-01-30,19.183305740356445
2002-01-31,19.159454345703125
2002-02-01,19.11682891845703
2002-02-04,18.960010528564453
2002-02-05,18.58159065246582
2002-02-06,18.554323196411133
2002-02-07,18.760578155517578
2002-02-08,19.012849807739258
2002-02-11,19.244678497314453
2002-02-12,19.236154556274414
2002-02-13,19.261720657348633
2002-02-14,19.415132522583008
2002-02-15,19.295814514160156
2002-02-19,18.886707305908203
2002-02-20,18.971942901611328
2002-02-21,18.842395782470703
2002-02-22,18.978759765625
2002-02-25,19.21739959716797
2002-02-26,19.10831069946289
2002-02-27,19.321380615234375
2002-02-28,19.389562606811523
2002-03-01,19.756044387817383
2002-03-04,20.43105697631836
2002-03-05,20.2060546875
2002-03-06,20.41571807861328
2002-03-07,20.732765197753906
2002-03-08,20.763456344604492
2002-03-11,20.79584503173828
2002-03-12,20.55720329284668
2002-03-13,20.335609436035156
2002-03-14,20.536745071411133
2002-03-15,20.765159606933594
2002-03-18,20.741289138793945
2002-03-19,20.845266342163086
2002-03-20,20.57765007019043
