Date,SHY,IEI,IEF,TLT
2002-07-30,50.87141799926758,,40.13856887817383,35.55562973022461
2002-07-31,51.02837371826172,,40.506717681884766,35.99617004394531
2002-08-01,51.128841400146484,,40.67362594604492,36.201168060302734
2002-08-02,51.22929763793945,,40.98776626586914,36.57188415527344
2002-08-05,51.31095886230469,,41.19394302368164,36.73328399658203
2002-08-06,51.18538284301758,,40.86015701293945,36.41923522949219
2002-08-07,51.26068878173828,,40.98776626586914,36.506473541259766
2002-08-08,51.18538284301758,,40.84542465209961,36.506473541259766
2002-08-09,51.19791793823242,,41.1497802734375,37.021141052246094
2002-08-12,51.19160079956055,,41.23322296142578,37.247920989990234
2002-08-13,51.279541015625,,41.562110900878906,37.70589065551758
2002-08-14,51.16652297973633,,41.439388275146484,37.84981918334961
2002-08-15,51.122520446777344,,41.19883728027344,37.518375396728516
2002-08-16,51.09114456176758,,40.92887878417969,37.09963607788086
2002-08-19,51.09744644165039,,40.96815872192383,37.21304702758789
2002-08-20,51.21674346923828,,41.34613800048828,37.627384185791016
2002-08-21,51.17283630371094,,41.24304962158203,37.42679214477539
2002-08-22,51.11625671386719,,41.02216720581055,37.09963607788086
2002-08-23,51.1790885925293,,41.20865249633789,37.46601486206055
2002-08-26,51.17283630371094,,41.228294372558594,37.50092697143555
2002-08-27,51.135128021240234,,41.10555648803711,37.26540756225586
2002-08-28,51.17283630371094,,41.25777816772461,37.45294189453125
2002-08-29,51.22929763793945,,41.4492073059082,37.75389099121094
2002-08-30,51.24818420410156,,41.527732849121094,37.980682373046875
2002-09-03,51.36956024169922,,41.98089599609375,38.56459045410156
2002-09-04,51.350677490234375,,41.96611785888672,38.555843353271484
2002-09-05,51.40727996826172,,42.13359451293945,38.76607131958008
2002-09-06,51.306617736816406,,41.8084831237793,38.31056213378906
2002-09-09,51.23748016357422,,41.749385833740234,38.25360870361328
2002-09-10,51.26893997192383,,41.89716339111328,38.43757247924805
2002-09-11,51.23748016357422,,41.744449615478516,38.236087799072266
