Date,DFSVX
1993-02-26,1.5864261388778687
1993-03-01,1.5864261388778687
1993-03-02,1.5864261388778687
1993-03-03,1.5864261388778687
1993-03-04,1.5848397016525269
1993-03-05,1.5784940719604492
1993-03-08,1.583253264427185
1993-03-09,1.5864261388778687
1993-03-10,1.5895990133285522
1993-03-11,1.5927717685699463
1993-03-12,1.5864261388778687
1993-03-15,1.5864261388778687
1993-03-16,1.5848397016525269
1993-03-17,1.5784940719604492
1993-03-18,1.583253264427185
1993-03-19,1.5800801515579224
1993-03-22,1.5753209590911865
1993-03-23,1.5737351179122925
1993-03-24,1.568975567817688
1993-03-25,1.5721479654312134
1993-03-26,1.5721479654312134
1993-03-29,1.568975567817688
1993-03-30,1.5642157793045044
1993-03-31,1.5737351179122925
1993-04-01,1.5769069194793701
1993-04-02,1.5658020973205566
1993-04-05,1.5626293420791626
1993-04-06,1.5562840700149536
1993-04-07,1.5562840700149536
1993-04-08,1.5562840700149536
1993-04-12,1.5642157793045044
1993-04-13,1.5721479654312134
1993-04-14,1.5737351179122925
1993-04-15,1.5753209590911865
1993-04-16,1.5784940719604492
1993-04-19,1.5737351179122925
1993-04-20,1.5642157793045044
1993-04-21,1.5594573020935059
1993-04-22,1.5562840700149536
1993-04-23,1.5499380826950073
1993-04-26,1.5261417627334595
1993-04-27,1.5213823318481445
1993-04-28,1.5293148756027222
1993-04-29,1.527727723121643
1993-04-30,1.540419340133667
1993-05-03,1.5451788902282715
1993-05-04,1.551524043083191
1993-05-05,1.5562840700149536
1993-05-06,1.5562840700149536
1993-05-07,1.5594573020935059
1993-05-10,1.5578709840774536
1993-05-11,1.5626293420791626
1993-05-12,1.568975567817688
1993-05-13,1.5642157793045044
1993-05-14,1.5626293420791626
1993-05-17,1.5610431432724
1993-05-18,1.5610431432724
1993-05-19,1.5626293420791626
1993-05-20,1.568975567817688
1993-05-21,1.5705618858337402
1993-05-24,1.567388892173767
1993-05-25,1.5705618858337402
1993-05-26,1.5769069194793701
1993-05-27,1.583253264427185
1993-05-28,1.5816664695739746
1993-06-01,1.583253264427185
1993-06-02,1.5895990133285522
1993-06-03,1.5911858081817627
1993-06-04,1.588012933731079
1993-06-07,1.583253264427185
1993-06-08,1.5737351179122925
1993-06-09,1.5737351179122925
1993-06-10,1.5721479654312134
1993-06-11,1.5769069194793701
1993-06-14,1.5784940719604492
1993-06-15,1.5784940719604492
1993-06-16,1.5800801515579224
1993-06-17,1.5769069194793701
1993-06-18,1.5705618858337402
1993-06-21,1.5658020973205566
1993-06-22,1.5626293420791626
1993-06-23,1.5610431432724
1993-06-24,1.5626293420791626
1993-06-25,1.5658020973205566
1993-06-28,1.5737351179122925
1993-06-29,1.5753209590911865
1993-06-30,1.5816664695739746
1993-07-01,1.5895990133285522
1993-07-02,1.5911858081817627
1993-07-06,1.5943580865859985
1993-07-07,1.5975313186645508
1993-07-08,1.6054627895355225
1993-07-09,1.6118086576461792
1993-07-12,1.614981770515442
1993-07-13,1.621327519416809
1993-07-14,1.6308457851409912
1993-07-15,1.6308457851409912
1993-07-16,1.6308457851409912
1993-07-19,1.6245001554489136
1993-07-20,1.6229132413864136
1993-07-21,1.6229132413864136
1993-07-22,1.6181541681289673
1993-07-23,1.6229132413864136
1993-07-26,1.6308457851409912
1993-07-27,1.6276729106903076
1993-07-28,1.629259705543518
1993-07-29,1.6308457851409912
1993-07-30,1.629259705543518
1993-08-02,1.6387789249420166
1993-08-03,1.6403640508651733
1993-08-04,1.641951084136963
1993-08-05,1.6403640508651733
1993-08-06,1.641951084136963
1993-08-09,1.641951084136963
1993-08-10,1.6451236009597778
1993-08-11,1.653056263923645
1993-08-12,1.6514701843261719
1993-08-13,1.649882435798645
1993-08-16,1.6514701843261719
1993-08-17,1.653056263923645
1993-08-18,1.6562286615371704
1993-08-19,1.654643177986145
1993-08-20,1.6594020128250122
1993-08-23,1.6578150987625122
1993-08-24,1.6641610860824585
1993-08-25,1.6673338413238525
1993-08-26,1.6689198017120361
1993-08-27,1.6705060005187988
1993-08-30,1.6752654314041138
1993-08-31,1.6816108226776123
1993-09-01,1.6863707304000854
1993-09-02,1.6927167177200317
1993-09-03,1.6974761486053467
1993-09-07,1.6879574060440063
1993-09-08,1.6705060005187988
1993-09-09,1.6800246238708496
1993-09-10,1.691130518913269
1993-09-13,1.6943023204803467
1993-09-14,1.6863707304000854
1993-09-15,1.6863707304000854
1993-09-16,1.691130518913269
1993-09-17,1.6927167177200317
1993-09-20,1.6974761486053467
1993-09-21,1.6863707304000854
1993-09-22,1.6974761486053467
1993-09-23,1.7022353410720825
1993-09-24,1.7101672887802124
1993-09-27,1.721272587776184
1993-09-28,1.7276191711425781
1993-09-29,1.730790376663208
1993-09-30,1.740309476852417
1993-10-01,1.7434816360473633
1993-10-04,1.745068907737732
1993-10-05,1.746654987335205
1993-10-06,1.7545870542526245
1993-10-07,1.7545870542526245
1993-10-08,1.7545870542526245
1993-10-11,1.7593458890914917
1993-10-12,1.7625192403793335
1993-10-13,1.7736245393753052
1993-10-14,1.7767975330352783
1993-10-15,1.784729242324829
1993-10-18,1.784729242324829
1993-10-19,1.7752103805541992
1993-10-20,1.7767975330352783
1993-10-21,1.7752103805541992
1993-10-22,1.7815561294555664
1993-10-25,1.7831435203552246
1993-10-26,1.7767975330352783
1993-10-27,1.7815561294555664
1993-10-28,1.787901759147644
1993-10-29,1.7990062236785889
1993-11-01,1.8005934953689575
1993-11-02,1.7990062236785889
1993-11-03,1.784729242324829
1993-11-04,1.7656916379928589
1993-11-05,1.7545870542526245
1993-11-08,1.7641056776046753
1993-11-09,1.7688652276992798
1993-11-10,1.7815561294555664
1993-11-11,1.784729242324829
1993-11-12,1.791075348854065
1993-11-15,1.7894878387451172
1993-11-16,1.7862871885299683
1993-11-17,1.7766832113265991
1993-11-18,1.7686799764633179
1993-11-19,1.765479564666748
1993-11-22,1.746272087097168
1993-11-23,1.7510744333267212
1993-11-24,1.759076476097107
1993-11-26,1.7622779607772827
1993-11-29,1.765479564666748
1993-11-30,1.7670795917510986
1993-12-01,1.773482084274292
1993-12-02,1.7782841920852661
1993-12-03,1.7814850807189941
1993-12-06,1.7814850807189941
1993-12-07,1.7814850807189941
1993-12-08,1.779884934425354
1993-12-09,1.7766832113265991
1993-12-10,1.773482084274292
1993-12-13,1.773482084274292
1993-12-14,1.7622779607772827
1993-12-15,1.757462978363037
1993-12-16,1.7590683698654175
1993-12-17,1.7703033685684204
1993-12-20,1.7654883861541748
1993-12-21,1.7606728076934814
1993-12-22,1.7606728076934814
1993-12-23,1.7670925855636597
1993-12-27,1.7703033685684204
1993-12-28,1.77672278881073
1993-12-29,1.787958025932312
1993-12-30,1.789563536643982
1993-12-31,1.8024026155471802
1994-01-03,1.799193024635315
1994-01-04,1.805612564086914
1994-01-05,1.8120325803756714
1994-01-06,1.815242886543274
1994-01-07,1.826476812362671
1994-01-10,1.8328975439071655
1994-01-11,1.8328975439071655
1994-01-12,1.8361082077026367
1994-01-13,1.8393176794052124
1994-01-14,1.8521583080291748
1994-01-17,1.858577013015747
1994-01-18,1.8633925914764404
1994-01-19,1.8633925914764404
1994-01-20,1.8714181184768677
1994-01-21,1.8762332201004028
1994-01-24,1.8762332201004028
1994-01-25,1.8682063817977905
1994-01-26,1.8714181184768677
1994-01-27,1.8762332201004028
1994-01-28,1.8842569589614868
1994-01-31,1.895492672920227
1994-02-01,1.8922826051712036
1994-02-02,1.9019126892089844
1994-02-03,1.9035170078277588
1994-02-04,1.8730218410491943
1994-02-07,1.8666025400161743
1994-02-08,1.8810471296310425
1994-02-09,1.8906774520874023
1994-02-10,1.8842569589614868
1994-02-11,1.8826520442962646
1994-02-14,1.8826520442962646
1994-02-15,1.8842569589614868
1994-02-16,1.8922826051712036
1994-02-17,1.8906774520874023
1994-02-18,1.8874669075012207
1994-02-22,1.8906774520874023
1994-02-23,1.8922826051712036
1994-02-24,1.8762332201004028
1994-02-25,1.8778376579284668
1994-02-28,1.8890714645385742
1994-03-01,1.8810471296310425
1994-03-02,1.8746263980865479
1994-03-03,1.8730218410491943
1994-03-04,1.8778376579284668
1994-03-07,1.8906774520874023
1994-03-08,1.8938871622085571
1994-03-09,1.895492672920227
1994-03-10,1.8922826051712036
1994-03-11,1.8938871622085571
1994-03-14,1.9035170078277588
1994-03-15,1.9067264795303345
1994-03-16,1.9195672273635864
1994-03-17,1.917961835861206
1994-03-18,1.9259876012802124
1994-03-21,1.9195672273635864
1994-03-22,1.9259876012802124
1994-03-23,1.9324074983596802
1994-03-24,1.9195672273635864
1994-03-25,1.9195672273635864
1994-03-28,1.9019126892089844
1994-03-29,1.8746263980865479
1994-03-30,1.8425261974334717
1994-03-31,1.826476812362671
1994-04-04,1.7943788766860962
1994-04-05,1.8280829191207886
1994-04-06,1.8328975439071655
1994-04-07,1.8441319465637207
1994-04-08,1.8409230709075928
1994-04-11,1.8441319465637207
1994-04-12,1.8377121686935425
1994-04-13,1.8280829191207886
1994-04-14,1.8280829191207886
1994-04-15,1.8312928676605225
1994-04-18,1.8200565576553345
1994-04-19,1.807218313217163
1994-04-20,1.7959827184677124
1994-04-21,1.805612564086914
1994-04-22,1.8120325803756714
1994-04-25,1.8232671022415161
1994-04-26,1.8312928676605225
1994-04-28,1.8361082077026367
1994-04-29,1.8393176794052124
1994-05-02,1.8489468097686768
1994-05-03,1.8473424911499023
1994-05-04,1.850551962852478
1994-05-05,1.8553669452667236
1994-05-06,1.8457369804382324
1994-05-09,1.8312928676605225
1994-05-10,1.8361082077026367
1994-05-11,1.8232671022415161
1994-05-12,1.826476812362671
1994-05-13,1.8248724937438965
1994-05-16,1.8184523582458496
1994-05-17,1.815242886543274
1994-05-18,1.8280829191207886
1994-05-19,1.8377121686935425
1994-05-20,1.8377121686935425
1994-05-23,1.8345026969909668
1994-05-24,1.8345026969909668
1994-05-25,1.8393176794052124
1994-05-26,1.8457369804382324
1994-05-27,1.8473424911499023
1994-05-31,1.8441319465637207
1994-06-01,1.8457369804382324
1994-06-02,1.8553669452667236
1994-06-03,1.858577013015747
1994-06-06,1.8633925914764404
1994-06-07,1.8617879152297974
1994-06-08,1.860182762145996
1994-06-09,1.860182762145996
1994-06-10,1.8666025400161743
1994-06-13,1.8649977445602417
1994-06-14,1.8714181184768677
1994-06-15,1.8730218410491943
1994-06-16,1.8778376579284668
1994-06-17,1.8714181184768677
1994-06-20,1.8553669452667236
1994-06-21,1.8409230709075928
1994-06-22,1.8473424911499023
1994-06-23,1.8345026969909668
1994-06-24,1.8136383295059204
1994-06-27,1.8120325803756714
1994-06-28,1.8040083646774292
1994-06-29,1.8120325803756714
1994-06-30,1.8104268312454224
1994-07-01,1.8184523582458496
1994-07-05,1.8200565576553345
1994-07-06,1.8216627836227417
1994-07-07,1.826476812362671
1994-07-08,1.8200565576553345
1994-07-11,1.8184523582458496
1994-07-12,1.8168470859527588
1994-07-13,1.8232671022415161
1994-07-14,1.8345026969909668
1994-07-15,1.8409230709075928
1994-07-18,1.8377121686935425
1994-07-19,1.8393176794052124
1994-07-20,1.8328975439071655
1994-07-21,1.8345026969909668
1994-07-22,1.8361082077026367
1994-07-25,1.8361082077026367
1994-07-26,1.8361082077026367
1994-07-27,1.8328975439071655
1994-07-28,1.8345026969909668
1994-07-29,1.8409230709075928
1994-08-01,1.8457369804382324
1994-08-02,1.8473424911499023
1994-08-03,1.8521583080291748
1994-08-04,1.850551962852478
1994-08-05,1.8457369804382324
1994-08-08,1.8473424911499023
1994-08-09,1.8457369804382324
1994-08-10,1.8521583080291748
1994-08-11,1.8489468097686768
1994-08-12,1.8553669452667236
1994-08-15,1.858577013015747
1994-08-16,1.858577013015747
1994-08-17,1.8617879152297974
1994-08-18,1.8633925914764404
1994-08-19,1.8682063817977905
1994-08-22,1.8633925914764404
1994-08-23,1.8714181184768677
1994-08-24,1.8810471296310425
1994-08-25,1.8826520442962646
1994-08-26,1.8890714645385742
1994-08-29,1.8906774520874023
1994-08-30,1.8987019062042236
1994-08-31,1.9035170078277588
1994-09-01,1.900307059288025
1994-09-02,1.9035170078277588
