Date,IEMG
2012-10-24,34.081302642822266
2012-10-25,34.30747604370117
2012-10-26,34.06010055541992
2012-10-31,34.08837127685547
2012-11-01,34.63261032104492
2012-11-02,34.32160568237305
2012-11-05,34.58313751220703
2012-11-06,34.82343673706055
2012-11-07,34.314544677734375
2012-11-08,33.96822738647461
2012-11-09,34.10956954956055
2012-11-12,34.1519889831543
2012-11-13,33.80565643310547
2012-11-14,33.381587982177734
2012-11-15,33.50174331665039
2012-11-16,33.57949447631836
2012-11-19,34.08837127685547
2012-11-20,33.99649429321289
2012-11-21,33.918758392333984
2012-11-23,34.47710418701172
2012-11-26,34.455909729003906
2012-11-27,34.20146179199219
2012-11-28,34.427642822265625
2012-11-29,34.68914794921875
2012-11-30,34.63261032104492
2012-12-03,34.68208312988281
2012-12-04,34.781028747558594
2012-12-05,35.10614776611328
2012-12-06,35.311119079589844
2012-12-07,35.452476501464844
2012-12-10,35.657447814941406
2012-12-11,35.76345443725586
2012-12-12,35.84121322631836
2012-12-13,35.72813415527344
2012-12-14,35.88361740112305
2012-12-17,35.91896057128906
2012-12-18,36.26038360595703
2012-12-19,36.26038360595703
2012-12-20,36.44455337524414
2012-12-21,35.89912796020508
2012-12-24,35.88496017456055
2012-12-26,36.16121292114258
2012-12-27,36.343997955322266
2012-12-28,36.414852142333984
2012-12-31,36.98160171508789
2013-01-02,37.73257827758789
2013-01-03,37.49169921875
2013-01-04,37.5129508972168
2013-01-07,37.300418853759766
2013-01-08,37.03828048706055
2013-01-09,37.22248458862305
2013-01-10,37.49169921875
2013-01-11,37.187068939208984
2013-01-14,37.33583450317383
2013-01-15,37.13038635253906
2013-01-16,37.12330627441406
2013-01-17,37.37834167480469
2013-01-18,37.38543701171875
2013-01-22,37.33583450317383
2013-01-23,37.14455795288086
2013-01-24,37.03828048706055
2013-01-25,36.93201446533203
2013-01-28,36.64154815673828
2013-01-29,37.06662368774414
2013-01-30,36.86117172241211
2013-01-31,36.8965950012207
2013-02-01,37.158721923828125
2013-02-04,36.68405532836914
2013-02-05,36.86117172241211
2013-02-06,36.79033279418945
2013-02-07,36.514034271240234
2013-02-08,36.79033279418945
2013-02-11,36.719478607177734
2013-02-12,36.76907730102539
2013-02-13,36.96036148071289
2013-02-14,36.98160171508789
2013-02-15,36.875335693359375
2013-02-19,36.85408020019531
2013-02-20,36.58486557006836
2013-02-21,36.23772430419922
2013-02-22,36.43610382080078
2013-02-25,35.91183853149414
2013-02-26,36.181053161621094
2013-02-27,36.52110290527344
2013-02-28,36.329830169677734
2013-03-01,36.421932220458984
2013-03-04,36.17396545410156
