Date,NTSG.L,URTH,NTSX,SPY
2015-09-08,,56.4066162109375,,164.60452270507812
2015-09-09,,55.653648376464844,,162.40342712402344
2015-09-10,,55.76823425292969,,163.28721618652344
2015-09-11,,55.72731399536133,,164.02919006347656
2015-09-14,,55.62091064453125,,163.42062377929688
2015-09-15,,56.16109085083008,,165.46327209472656
2015-09-16,,56.733985900878906,,166.89727783203125
2015-09-17,,56.742164611816406,,166.52206420898438
2015-09-18,,55.78460693359375,,163.80084228515625
2015-09-21,,55.7354850769043,,164.64732360839844
2015-09-22,,54.818851470947266,,162.5102081298828
2015-09-23,,54.835205078125,,162.2504425048828
2015-09-24,,54.8433952331543,,161.66378784179688
2015-09-25,,55.29353713989258,,161.6219024658203
2015-09-28,,53.39475631713867,,157.56561279296875
2015-09-29,,53.21471405029297,,157.6578369140625
2015-09-30,,54.64696502685547,,160.59939575195312
2015-10-01,,54.696075439453125,,161.01849365234375
2015-10-02,,55.138031005859375,,163.42373657226562
2015-10-05,,56.69306945800781,,166.3318634033203
2015-10-06,,56.570308685302734,,165.76199340820312
2015-10-07,,57.06135559082031,,167.11959838867188
2015-10-08,,57.1513786315918,,168.62814331054688
2015-10-09,,57.306884765625,,168.7287139892578
2015-10-12,,57.282325744628906,,168.88795471191406
2015-10-13,,56.733985900878906,,167.8236083984375
2015-10-14,,56.9222297668457,,167.01904296875
2015-10-15,,57.85523986816406,,169.5835418701172
2015-10-16,,57.85523986816406,,170.3546142578125
2015-10-19,,57.74884796142578,,170.4384002685547
2015-10-20,,57.822505950927734,,170.22047424316406
2015-10-21,,57.29871368408203,,169.16458129882812
2015-10-22,,58.15807342529297,,172.02236938476562
2015-10-23,,58.5590934753418,,173.90802001953125
2015-10-26,,58.50999069213867,,173.48056030273438
2015-10-27,,58.41996383666992,,173.1453399658203
2015-10-28,,58.56728744506836,,175.1147918701172
2015-10-29,,58.99287414550781,,175.0142364501953
2015-10-30,,58.45269012451172,,174.25997924804688
2015-11-02,,58.935577392578125,,176.32164001464844
2015-11-03,,59.11563491821289,,176.83285522460938
2015-11-04,,58.886474609375,,176.29649353027344
2015-11-05,,59.107460021972656,,176.1204833984375
2015-11-06,,58.747337341308594,,176.02830505371094
2015-11-09,,58.13351058959961,,174.38568115234375
2015-11-10,,58.24810028076172,,174.78797912597656
2015-11-11,,58.18260955810547,,174.10076904296875
2015-11-12,,57.46238708496094,,171.6703643798828
2015-11-13,,57.06135559082031,,169.7427520751953
2015-11-16,,57.928897857666016,,172.3240509033203
2015-11-17,,57.994384765625,,172.1983642578125
2015-11-18,,58.534542083740234,,174.93043518066406
2015-11-19,,58.5590934753418,,174.77960205078125
2015-11-20,,58.788272857666016,,175.41653442382812
2015-11-23,,58.42813491821289,,175.2153778076172
2015-11-24,,58.69004821777344,,175.45005798339844
2015-11-25,,58.673675537109375,,175.42494201660156
2015-11-27,,58.493614196777344,,175.62603759765625
2015-11-30,,58.61637878417969,,174.8969268798828
2015-12-01,,58.97649383544922,,176.56471252441406
2015-12-02,,58.673675537109375,,174.76287841796875
2015-12-03,,58.11714553833008,,172.31568908691406
2015-12-04,,58.98468017578125,,175.67633056640625
2015-12-07,,58.534542083740234,,174.6119384765625
2015-12-08,,57.97800827026367,,173.4386749267578
2015-12-09,,57.6424446105957,,172.08938598632812
2015-12-10,,57.67518997192383,,172.53350830078125
2015-12-11,,56.5784797668457,,169.18966674804688
2015-12-14,,56.742164611816406,,170.04449462890625
2015-12-15,,57.241416931152344,,171.82962036132812
2015-12-16,,57.928897857666016,,174.34381103515625
2015-12-17,,57.29871368408203,,171.6871337890625
2015-12-18,,56.545738220214844,,168.62850952148438
2015-12-21,,56.79313278198242,,170.0195770263672
2015-12-22,,57.347511291503906,,171.56234741210938
2015-12-23,,58.249359130859375,,173.6868438720703
2015-12-24,,57.91841125488281,,173.40020751953125
2015-12-28,,57.9846076965332,,173.0039825439453
2015-12-29,,58.58034896850586,,174.85028076171875
2015-12-30,,57.926692962646484,,173.61093139648438
2015-12-31,,57.58744812011719,,171.87420654296875
2016-01-04,,56.76004409790039,,169.47157287597656
2016-01-05,,56.362884521484375,,169.7581787109375
2016-01-06,,55.70924377441406,,167.6168212890625
2016-01-07,,53.90550231933594,,163.59548950195312
2016-01-08,,53.62417984008789,,161.7997283935547
2016-01-11,,53.70693588256836,,161.95999145507812
2016-01-12,,54.013057708740234,,163.26663208007812
2016-01-13,,52.879512786865234,,159.19467163085938
2016-01-14,,53.79793167114258,,161.80813598632812
2016-01-15,,52.07692337036133,,158.33474731445312
2016-01-19,,52.39133834838867,,158.54547119140625
2016-01-20,,51.7046012878418,,156.51377868652344
2016-01-21,,51.87833786010742,,157.39056396484375
2016-01-22,,53.11118698120117,,160.6194305419922
2016-01-25,,52.300323486328125,,158.19140625
2016-01-26,,53.23529815673828,,160.349609375
2016-01-27,,52.788490295410156,,158.6044921875
2016-01-28,,53.01189041137695,,159.43072509765625
2016-01-29,,54.07097244262695,,163.31724548339844
2016-02-01,,54.104068756103516,,163.25820922851562
2016-02-02,,52.98707580566406,,160.31591796875
2016-02-03,,53.359405517578125,,161.27700805664062
2016-02-04,,53.41731643676758,,161.52993774414062
2016-02-05,,52.40788650512695,,158.45278930664062
2016-02-08,,51.638404846191406,,156.31982421875
2016-02-09,,51.141963958740234,,156.32827758789062
2016-02-10,,51.19988250732422,,156.19334411621094
2016-02-11,,50.6537971496582,,154.16160583496094
2016-02-12,,51.40673828125,,157.33995056152344
2016-02-16,,52.56509780883789,,159.99560546875
2016-02-17,,53.38422393798828,,162.60902404785156
2016-02-18,,53.37595748901367,,161.94305419921875
2016-02-19,,53.21046829223633,,161.8671875
2016-02-22,,53.78965377807617,,164.2108612060547
2016-02-23,,53.07809829711914,,162.136962890625
2016-02-24,,53.22702407836914,,162.87884521484375
2016-02-25,,53.88893127441406,,164.8516082763672
2016-02-26,,53.84758377075195,,164.47218322753906
2016-02-29,,53.75655746459961,,163.18235778808594
2016-03-01,,55.01421356201172,,167.01824951171875
2016-03-02,,55.26244354248047,,167.7685546875
2016-03-03,,55.57685852050781,,168.42613220214844
2016-03-04,,56.098121643066406,,168.97413635253906
2016-03-07,,55.899532318115234,,169.10902404785156
2016-03-08,,55.26244354248047,,167.26268005371094
2016-03-09,,55.684417724609375,,168.08897399902344
2016-03-10,,55.46929168701172,,168.2238006591797
2016-03-11,,56.7765998840332,,170.9384765625
2016-03-14,,56.56147384643555,,170.71929931640625
2016-03-15,,56.42082214355469,,170.44107055664062
2016-03-16,,56.82624816894531,,171.427490234375
2016-03-17,,57.16545867919922,,172.51504516601562
2016-03-18,,57.1903076171875,,173.1929168701172
2016-03-21,,57.215118408203125,,173.43865966796875
2016-03-22,,57.264766693115234,,173.34547424316406
2016-03-23,,56.56974792480469,,172.201416015625
2016-03-24,,56.65248107910156,,172.1251983642578
2016-03-28,,56.81797409057617,,172.22691345214844
2016-03-29,,57.37232208251953,,173.82000732421875
