Date,NTSD,SPY,EFA,VEA
2026-01-02,,679.55859375,95.52831268310547,62.76227569580078
2026-01-05,,684.0845336914062,96.62102508544922,63.507080078125
2026-01-06,,688.1529541015625,96.76869201660156,63.695762634277344
2026-01-07,,685.9347534179688,96.40444946289062,63.437564849853516
2026-01-08,,685.8651123046875,96.41429901123047,63.49714660644531
2026-01-09,,690.4010009765625,97.27073669433594,64.08306121826172
2026-01-12,,691.4852294921875,97.86139678955078,64.4703598022461
2026-01-13,,690.1026000976562,97.3002700805664,64.11285400390625
2026-01-14,,686.7106323242188,97.75311279296875,64.42070770263672
2026-01-15,,688.5806884765625,97.71372985839844,64.51008605957031
2026-01-16,,688.0037231445312,97.97952270507812,64.68883514404297
2026-01-20,,673.9981689453125,96.4930419921875,63.824859619140625
2026-01-21,,681.77685546875,97.48731231689453,64.55973815917969
2026-01-22,,685.3379516601562,97.8712387084961,64.90731048583984
2026-01-23,,685.5865478515625,98.41267395019531,65.32440185546875
2026-01-26,,689.0680541992188,98.9048843383789,65.62232971191406
2026-01-27,,691.8134765625,100.49964141845703,66.69485473632812
2026-01-28,,691.7438354492188,99.43647003173828,66.25789642333984
2026-01-29,,690.3711547851562,100.10588073730469,66.60547637939453
2026-01-30,,688.3120727539062,99.17066955566406,65.74149322509766
2026-02-02,,691.7339477539062,99.82039642333984,65.99969482421875
2026-02-03,,685.885009765625,99.86961364746094,66.25789642333984
2026-02-04,,682.5626831054688,100.19447326660156,66.33734130859375
2026-02-05,,674.0379638671875,98.7670669555664,65.4435806274414
2026-02-06,,686.96923828125,101.01154327392578,66.90339660644531
2026-02-09,,690.2816772460938,102.37004089355469,67.89646911621094
2026-02-10,,688.4613037109375,102.61614990234375,68.06529235839844
2026-02-11,,688.3021850585938,103.30525207519531,68.57176208496094
2026-02-12,,677.668701171875,102.52755737304688,68.02556610107422
2026-02-13,,678.1461181640625,102.61614990234375,68.28376770019531
2026-02-17,,679.2402954101562,102.59646606445312,68.10501098632812
2026-02-18,,682.662109375,102.71459197998047,68.33341217041016
2026-02-19,,680.8616333007812,102.42911529541016,68.31356048583984
2026-02-20,,685.7855834960938,103.265869140625,69.03849792480469
2026-02-23,,678.7827758789062,102.84256744384766,68.70085144042969
2026-02-24,,683.7164916992188,103.02960968017578,68.97891235351562
2026-02-25,,689.4859008789062,104.0140380859375,69.77337646484375
2026-02-26,,685.6561889648438,103.92543029785156,69.82302856445312
2026-02-27,,682.3637084960938,103.73838806152344,69.75350952148438
2026-03-02,,682.751708984375,101.6907958984375,68.53203582763672
2026-03-03,,676.7337036132812,98.53079986572266,66.14865112304688
2026-03-04,,681.5082397460938,99.80070495605469,66.91332244873047
2026-03-05,,677.70849609375,97.61529541015625,65.33433532714844
2026-03-06,,668.82568359375,96.74899291992188,64.82786560058594
2026-03-09,,674.6845703125,97.44793701171875,65.4535140991211
2026-03-10,,673.6002807617188,97.67435455322266,65.5130844116211
2026-03-11,,672.7548217773438,97.4676284790039,65.40385437011719
2026-03-12,,662.5390625,95.9417724609375,64.1227798461914
2026-03-13,,658.7890014648438,94.79984283447266,63.37797927856445
2026-03-16,,665.493408203125,96.5718002319336,64.73849487304688
2026-03-17,,667.2440185546875,96.83760070800781,64.95697021484375
2026-03-18,,657.9335327148438,95.18376922607422,63.83479309082031
2026-03-19,38.95361328125,656.3121948242188,95.01641082763672,63.71562576293945
2026-03-20,37.72539138793945,646.9034423828125,92.1320571899414,61.715152740478516
2026-03-23,38.67401885986328,653.6959228515625,94.34700012207031,63.3266716003418
2026-03-24,38.49427795410156,651.5015869140625,93.78588104248047,62.81934356689453
2026-03-25,38.95361328125,655.1322021484375,95.15423583984375,63.635047912597656
2026-03-26,37.76533508300781,643.432373046875,93.18539428710938,62.15284729003906
2026-03-27,37.00643539428711,632.4606323242188,92.33879089355469,61.725101470947266
2026-03-30,36.92654800415039,630.3460693359375,92.60457611083984,61.705204010009766
2026-03-31,38.55419158935547,648.6688842773438,95.61690521240234,63.74447250366211
2026-04-01,39.273155212402344,653.5562744140625,97.07386016845703,64.79891967773438
2026-04-02,39.07344055175781,654.144775390625,96.47335815429688,64.3015365600586
2026-04-06,39.44290542602539,657.23681640625,96.95572662353516,64.7790298461914
2026-04-07,39.26316452026367,657.5260009765625,96.81790161132812,64.74917602539062
2026-04-08,40.9207649230957,674.27294921875,100.59809112548828,67.46488952636719
2026-04-09,41.040592193603516,678.162841796875,100.36182403564453,67.19630432128906
2026-04-10,41.270263671875,677.7140502929688,100.58824157714844,67.38530731201172
2026-04-13,41.809478759765625,684.3369750976562,101.20842742919922,67.85284423828125
2026-04-14,42.428585052490234,692.675537109375,102.02549743652344,68.52928161621094
2026-04-15,42.74812316894531,698.1414184570312,101.70063781738281,68.34027862548828
2026-04-16,42.718162536621094,699.8569946289062,101.40531158447266,68.27064514160156
2026-04-17,43.44710922241211,708.3152465820312,102.69490814208984,69.26541137695312
2026-04-20,43.317298889160156,706.8988037109375,102.29129791259766,68.96697998046875
2026-04-21,42.53842544555664,702.2708129882812,100.04680633544922,67.46488952636719
2026-04-22,42.93784713745117,709.3825073242188,100.38151550292969,67.99211120605469
2026-04-23,42.55839538574219,706.6295776367188,99.66288757324219,67.3355712890625
2026-04-24,43.03770065307617,712.10546875,100.18462371826172,67.78321075439453
2026-04-27,42.97779083251953,713.332275390625,99.80070495605469,67.71357727050781
2026-04-28,42.618309020996094,709.8612060546875,99.38724517822266,67.3753662109375
2026-04-29,42.388641357421875,709.7515258789062,98.373291015625,66.72876739501953
2026-04-30,43.467079162597656,716.8132934570312,100.72605895996094,68.43975830078125
