Date,SPY,SSO,UPRO
2006-06-01,88.52655792236328,,
2006-06-02,88.71221160888672,,
2006-06-05,87.41934204101562,,
2006-06-06,87.2061996459961,,
2006-06-07,86.55287170410156,,
2006-06-08,86.47721099853516,,
2006-06-09,86.20214080810547,,
2006-06-12,85.26689147949219,,
2006-06-13,84.27661895751953,,
2006-06-14,84.9299545288086,,
2006-06-15,86.73170471191406,,
2006-06-16,86.09964752197266,,
2006-06-19,85.4227294921875,,
2006-06-20,85.71283721923828,,
2006-06-21,86.34834289550781,3.643158435821533,
2006-06-22,85.9684066772461,3.604430913925171,
2006-06-23,85.95460510253906,3.6039249897003174,
2006-06-26,86.33448028564453,3.6248130798339844,
2006-06-27,85.58849334716797,3.5606141090393066,
2006-06-28,86.16871643066406,3.592205286026001,
2006-06-29,87.90933990478516,3.7445530891418457,
2006-06-30,87.91624450683594,3.7425169944763184,
2006-07-03,88.27545166015625,3.793468475341797,
2006-07-05,87.77127075195312,3.743025064468384,
2006-07-06,88.02677917480469,3.7547447681427,
2006-07-07,87.45350646972656,3.7114343643188477,
2006-07-10,87.61921691894531,3.7180581092834473,
2006-07-11,88.00605773925781,3.7496490478515625,
2006-07-12,87.06666564941406,3.6757688522338867,
2006-07-13,85.65066528320312,3.564689874649048,
2006-07-14,85.31912994384766,3.532590389251709,
2006-07-17,85.19479370117188,3.529022216796875,
2006-07-18,85.62995910644531,3.534627914428711,
2006-07-19,86.81798553466797,3.6558969020843506,
2006-07-20,86.2239990234375,3.613095283508301,
2006-07-21,85.61615753173828,3.556028366088867,
2006-07-24,87.17716217041016,3.668635368347168,
2006-07-25,87.48800659179688,3.715001344680786,
2006-07-26,87.60546875,3.7221357822418213,
2006-07-27,87.52255249023438,3.686467409133911,
2006-07-28,88.39977264404297,3.7705397605895996,
2006-07-31,88.31000518798828,3.760349750518799,
2006-08-01,87.87480926513672,3.7267205715179443,
2006-08-02,88.4688491821289,3.7552566528320312,
2006-08-03,88.70372009277344,3.774108648300171,
2006-08-04,88.55174255371094,3.7730884552001953,
2006-08-07,88.34456634521484,3.7521965503692627,
2006-08-08,88.00605773925781,3.721625566482544,
2006-08-09,87.70904541015625,3.6930923461914062,
2006-08-10,87.97844696044922,3.7257020473480225,
2006-08-11,87.72979736328125,3.6986958980560303,
2006-08-14,87.79887390136719,3.7114343643188477,
2006-08-15,88.84873962402344,3.8026411533355713,
2006-08-16,89.58786010742188,3.8663330078125,
2006-08-17,89.81578826904297,3.8821284770965576,
2006-08-18,90.27164459228516,3.8979251384735107,
2006-08-21,89.88485717773438,3.8795788288116455,
2006-08-22,89.8779296875,3.886204242706299,
2006-08-23,89.62926483154297,3.8510468006134033,
2006-08-24,89.55331420898438,3.865314245223999,
2006-08-25,89.66383361816406,3.872447967529297,
2006-08-28,90.09205627441406,3.9055659770965576,
2006-08-29,90.19569396972656,3.9239096641540527,
2006-08-30,90.2509536743164,3.923400640487671,
2006-08-31,90.23714447021484,3.920344352722168,
2006-09-01,90.77588653564453,3.960087776184082,
2006-09-05,90.94861602783203,3.967221736907959,
2006-09-06,90.14729309082031,3.8979251384735107,
2006-09-07,89.73287200927734,3.8586912155151367,
2006-09-08,89.98844909667969,3.886204242706299,
2006-09-11,90.07826232910156,3.8851850032806396,
2006-09-12,90.96238708496094,3.961106300354004,
2006-09-13,91.32846069335938,3.999830961227417,
2006-09-14,91.33539581298828,3.980468273162842,
2006-09-15,91.54975891113281,4.01460599899292,
2006-09-18,91.67465209960938,4.014096260070801,
2006-09-19,91.44572448730469,3.9881112575531006,
2006-09-20,91.93132019042969,4.036517143249512,
2006-09-21,91.48731994628906,3.9926960468292236,
2006-09-22,91.20982360839844,3.9707863330841064,
2006-09-25,91.91051483154297,4.044668197631836,
2006-09-26,92.67367553710938,4.09766149520874,
2006-09-27,92.78467559814453,4.107851028442383,
2006-09-28,92.74999237060547,4.121096611022949,
2006-09-29,92.67367553710938,4.104284763336182,
2006-10-02,92.3267822265625,4.070146083831787,
2006-10-03,92.52104949951172,4.0849223136901855,
2006-10-04,93.60334014892578,4.1807146072387695,
2006-10-05,93.7837142944336,4.200584888458252,
2006-10-06,93.6657485961914,4.188357830047607,
2006-10-09,93.72126770019531,4.1924357414245605,
2006-10-10,93.84616088867188,4.205172538757324,
2006-10-11,93.73516082763672,4.188357830047607,
2006-10-12,94.5468521118164,4.263258457183838,
2006-10-13,94.78966522216797,4.28312873840332,
2006-10-16,94.93537902832031,4.296378135681152,
2006-10-17,94.63703918457031,4.261731147766113,
2006-10-18,94.76190948486328,4.273958206176758,
2006-10-19,94.91452026367188,4.281601428985596,
2006-10-20,94.93537902832031,4.287716865539551,
2006-10-23,95.3724365234375,4.327459335327148,
2006-10-24,95.65689086914062,4.346822738647461,
2006-10-25,95.98295593261719,4.371280193328857,
2006-10-26,96.28128051757812,4.408985137939453,
2006-10-27,95.6777114868164,4.350897789001465,
2006-10-30,95.60832214355469,4.345293045043945,
2006-10-31,95.5944595336914,4.331026554107666,
2006-11-01,94.94924926757812,4.279563903808594,
2006-11-02,94.89375305175781,4.275997161865234,
2006-11-03,94.72721099853516,4.249502658843994,
2006-11-06,95.79560089111328,4.352938652038574,
2006-11-07,96.16332244873047,4.375865459442139,
