Date,NTSI
2021-05-21,34.8121452331543
2021-05-24,35.00640106201172
2021-05-25,35.06103515625
2021-05-26,35.058433532714844
2021-05-27,35.07231903076172
2021-05-28,35.18418884277344
2021-06-01,35.21453857421875
2021-06-02,35.366302490234375
2021-06-03,35.17203903198242
2021-06-04,35.5258674621582
2021-06-07,35.59872055053711
2021-06-08,35.64033889770508
2021-06-09,35.62907028198242
2021-06-10,35.74007797241211
2021-06-11,35.772159576416016
2021-06-14,35.736610412597656
2021-06-15,35.80078125
2021-06-16,35.54580307006836
2021-06-17,35.343753814697266
2021-06-18,34.793060302734375
2021-06-21,35.1017951965332
2021-06-22,35.1616325378418
2021-06-23,34.885868072509766
2021-06-24,35.21139907836914
2021-06-25,35.24784851074219
2021-06-28,35.12978744506836
2021-06-29,35.12284469604492
2021-06-30,34.8789176940918
2021-07-01,34.92839050292969
2021-07-02,35.09853744506836
2021-07-06,34.988304138183594
2021-07-07,35.18535614013672
2021-07-08,34.81207275390625
2021-07-09,35.26434326171875
2021-07-12,35.38847732543945
2021-07-13,35.19403839111328
2021-07-14,35.35637283325195
2021-07-15,35.12025451660156
2021-07-16,34.87544250488281
2021-07-19,34.4578971862793
2021-07-20,34.70964431762695
2021-07-21,35.032562255859375
2021-07-22,35.094200134277344
2021-07-23,35.25566101074219
2021-07-26,35.26608657836914
2021-07-27,35.20270919799805
2021-07-28,35.37981033325195
2021-07-29,35.56904220581055
2021-07-30,35.42060470581055
2021-08-02,35.6254768371582
2021-08-03,35.86333465576172
2021-08-04,35.81037139892578
2021-08-05,35.8902473449707
2021-08-06,35.657588958740234
2021-08-09,35.63674545288086
2021-08-10,35.65325164794922
2021-08-11,35.89110565185547
2021-08-12,35.83902359008789
2021-08-13,36.09857940673828
2021-08-16,35.98051834106445
2021-08-17,35.716617584228516
2021-08-18,35.569915771484375
2021-08-19,35.29820251464844
2021-08-20,35.398040771484375
2021-08-23,35.6818962097168
2021-08-24,35.700992584228516
2021-08-25,35.64022445678711
2021-08-26,35.461395263671875
2021-08-27,35.80950164794922
2021-08-30,35.85465621948242
2021-08-31,35.76957321166992
2021-09-01,36.061256408691406
2021-09-02,36.2183723449707
2021-09-03,36.37549591064453
2021-09-07,36.366825103759766
2021-09-08,36.1732292175293
2021-09-09,36.201011657714844
2021-09-10,36.00742721557617
2021-09-13,36.294761657714844
2021-09-14,36.194061279296875
2021-09-15,36.19580841064453
2021-09-16,36.14719009399414
2021-09-17,35.63502502441406
2021-09-20,35.1662483215332
2021-09-21,35.481380462646484
2021-09-22,35.65238952636719
2021-09-23,35.8207893371582
2021-09-24,35.44330596923828
2021-09-27,35.40407943725586
2021-09-28,34.6142463684082
2021-09-29,34.59331512451172
2021-09-30,34.498287200927734
2021-10-01,34.6090087890625
2021-10-04,34.27423858642578
2021-10-05,34.44685745239258
2021-10-06,34.25855255126953
2021-10-07,34.458187103271484
2021-10-08,34.35270690917969
2021-10-11,34.26552963256836
2021-10-12,34.353580474853516
2021-10-13,34.69008255004883
2021-10-14,35.03443908691406
2021-10-15,35.20966339111328
2021-10-18,35.06320571899414
2021-10-19,35.20269775390625
2021-10-20,35.237571716308594
2021-10-21,35.070186614990234
2021-10-22,35.28901290893555
2021-10-25,35.30731964111328
2021-10-26,35.36659240722656
2021-10-27,35.330841064453125
2021-10-28,35.598487854003906
2021-10-29,35.42325973510742
2021-11-01,35.717918395996094
2021-11-02,35.69525146484375
2021-11-03,35.89838790893555
2021-11-04,35.92627716064453
2021-11-05,36.05966567993164
2021-11-08,36.0431022644043
2021-11-09,36.05356216430664
2021-11-10,35.516536712646484
2021-11-11,35.60197067260742
2021-11-12,35.771976470947266
2021-11-15,35.65340805053711
2021-11-16,35.61243438720703
2021-11-17,35.574951171875
2021-11-18,35.623775482177734
2021-11-19,35.37966537475586
2021-11-22,35.0588493347168
2021-11-23,34.949005126953125
2021-11-24,34.79556655883789
2021-11-26,34.210601806640625
2021-11-29,34.32917022705078
2021-11-30,34.098140716552734
2021-12-01,34.03363037109375
2021-12-02,34.3134651184082
2021-12-03,34.2524528503418
2021-12-06,34.47563171386719
2021-12-07,35.06440353393555
2021-12-08,35.10453796386719
2021-12-09,34.86378860473633
2021-12-10,34.93705368041992
2021-12-13,34.668392181396484
2021-12-14,34.4442253112793
2021-12-15,34.883853912353516
2021-12-16,34.96235656738281
2021-12-17,34.57070541381836
2021-12-20,34.4730110168457
2021-12-21,34.73905563354492
2021-12-22,35.08097839355469
2021-12-23,35.2467041015625
2021-12-27,35.454246520996094
2021-12-28,35.4279670715332
2021-12-29,35.390316009521484
2021-12-30,35.336021423339844
