Date,VT
2008-06-26,33.787479400634766
2008-06-27,33.73295593261719
2008-06-30,33.76021957397461
2008-07-01,33.46036911010742
2008-07-02,32.96970748901367
2008-07-03,33.058292388916016
2008-07-07,32.990150451660156
2008-07-08,33.051490783691406
2008-07-09,32.669857025146484
2008-07-10,32.61534881591797
2008-07-11,32.47222900390625
2008-07-14,32.36320495605469
2008-07-15,31.86571502685547
2008-07-16,32.51993942260742
2008-07-17,32.93564224243164
2008-07-18,32.90155029296875
2008-07-21,33.00376892089844
2008-07-22,33.18778991699219
2008-07-23,33.446746826171875
2008-07-24,32.71075439453125
2008-07-25,32.85385513305664
2008-07-28,32.32912063598633
2008-07-29,32.64259719848633
2008-07-30,33.18778991699219
2008-07-31,32.85385513305664
2008-08-01,32.66304397583008
2008-08-04,32.1860237121582
2008-08-05,32.97651672363281
2008-08-06,33.19458770751953
2008-08-07,32.438167572021484
2008-08-08,32.86749267578125
2008-08-11,33.06511306762695
2008-08-12,32.608524322509766
2008-08-13,32.247352600097656
2008-08-14,32.39045715332031
2008-08-15,32.36320495605469
2008-08-18,31.824838638305664
2008-08-19,31.552244186401367
2008-08-20,31.838457107543945
2008-08-21,32.083778381347656
2008-08-22,32.2541618347168
2008-08-25,31.661270141601562
2008-08-26,31.824838638305664
2008-08-27,31.86571502685547
2008-08-28,32.54037094116211
2008-08-29,32.247352600097656
2008-09-02,31.34779930114746
2008-09-03,31.456830978393555
2008-09-04,30.2983341217041
2008-09-05,30.100696563720703
2008-09-08,30.95252799987793
2008-09-09,30.182485580444336
2008-09-10,30.427818298339844
2008-09-11,30.4073543548584
2008-09-12,30.748104095458984
2008-09-15,29.487375259399414
2008-09-16,29.978036880493164
2008-09-17,28.356128692626953
2008-09-18,29.848554611206055
2008-09-19,31.62721061706543
2008-09-22,30.48232650756836
2008-09-23,30.679946899414062
2008-09-24,29.712255477905273
2008-09-25,30.55727767944336
2008-09-26,30.85032081604004
2008-09-29,28.894489288330078
2008-09-30,29.3101863861084
2008-10-01,28.880855560302734
2008-10-02,27.32710075378418
2008-10-03,27.08858299255371
2008-10-06,25.793781280517578
2008-10-07,24.608015060424805
2008-10-08,24.22640609741211
2008-10-09,23.067888259887695
2008-10-10,22.33871841430664
2008-10-13,25.344018936157227
2008-10-14,25.882375717163086
2008-10-15,22.740785598754883
2008-10-16,23.279144287109375
2008-10-17,23.05426597595215
2008-10-20,24.669361114501953
2008-10-21,23.14284896850586
2008-10-22,21.445980072021484
2008-10-23,21.39828109741211
2008-10-24,21.24154281616211
2008-10-27,20.0557804107666
2008-10-28,21.261985778808594
2008-10-29,22.829374313354492
2008-10-30,23.027002334594727
2008-10-31,23.027002334594727
2008-11-03,23.040630340576172
2008-11-04,24.28091049194336
2008-11-05,23.00655746459961
2008-11-06,21.650428771972656
2008-11-07,22.706714630126953
2008-11-10,22.495452880859375
2008-11-11,21.602724075317383
2008-11-12,20.614593505859375
2008-11-13,22.15471649169922
2008-11-14,20.83266258239746
2008-11-17,20.655475616455078
2008-11-18,20.80539894104004
2008-11-19,19.428821563720703
2008-11-20,18.140840530395508
2008-11-21,19.565120697021484
2008-11-24,20.58051300048828
2008-11-25,20.791765213012695
2008-11-26,21.296052932739258
2008-11-28,21.459613800048828
2008-12-01,19.694589614868164
2008-12-02,20.635034561157227
2008-12-03,21.05072784423828
2008-12-04,20.267030715942383
2008-12-05,20.9144287109375
2008-12-08,21.779909133911133
2008-12-09,21.4664249420166
2008-12-10,21.902563095092773
2008-12-11,21.575469970703125
2008-12-12,21.773088455200195
2008-12-15,21.602724075317383
2008-12-16,22.78167724609375
2008-12-17,22.672639846801758
2008-12-18,21.97071647644043
2008-12-19,21.88894271850586
2008-12-22,21.650428771972656
2008-12-23,21.452800750732422
2008-12-24,21.592039108276367
2008-12-26,21.777231216430664
2008-12-29,21.763511657714844
2008-12-30,22.332809448242188
2008-12-31,22.62088394165039
2009-01-02,23.2313289642334
2009-01-05,23.299917221069336
2009-01-06,23.21761131286621
2009-01-07,22.70319175720215
2009-01-08,22.627742767333984
2009-01-09,22.079029083251953
2009-01-12,21.51659393310547
2009-01-13,21.33139419555664
2009-01-14,20.58376693725586
2009-01-15,20.823837280273438
2009-01-16,21.077611923217773
2009-01-20,19.52748680114746
2009-01-21,20.576904296875
2009-01-22,20.179086685180664
2009-01-23,20.206518173217773
2009-01-26,20.343706130981445
2009-01-27,20.734664916992188
2009-01-28,21.372549057006836
2009-01-29,20.460309982299805
2009-01-30,20.165372848510742
2009-02-02,20.13107681274414
2009-02-03,20.528898239135742
2009-02-04,20.38486099243164
2009-02-05,21.276525497436523
2009-02-06,21.399982452392578
2009-02-09,21.338254928588867
2009-02-10,20.343706130981445
2009-02-11,20.487749099731445
2009-02-12,20.43972396850586
2009-02-13,20.364280700683594
2009-02-17,19.27370262145996
2009-02-18,19.15709686279297
2009-02-19,19.102237701416016
2009-02-20,18.51921844482422
2009-02-23,18.224285125732422
2009-02-24,18.937612533569336
2009-02-25,18.663249969482422
2009-02-26,18.53293800354004
2009-02-27,18.24485969543457
2009-03-02,17.312040328979492
2009-03-03,17.16800308227539
2009-03-04,17.895050048828125
2009-03-05,17.161142349243164
2009-03-06,17.099407196044922
2009-03-09,16.804481506347656
2009-03-10,17.997926712036133
2009-03-11,18.011655807495117
2009-03-12,18.676971435546875
2009-03-13,19.20511817932129
2009-03-16,18.786712646484375
2009-03-17,19.3422908782959
2009-03-18,19.794986724853516
2009-03-19,19.69209861755371
2009-03-20,19.335432052612305
2009-03-23,20.8306884765625
2009-03-24,20.233957290649414
2009-03-25,20.515174865722656
2009-03-26,20.864986419677734
2009-03-27,20.288835525512695
2009-03-30,19.452035903930664
2009-03-31,19.85671615600586
2009-04-01,20.275114059448242
2009-04-02,21.13248634338379
2009-04-03,21.228515625
2009-04-06,21.009031295776367
2009-04-07,20.528898239135742
2009-04-08,20.85126495361328
2009-04-09,21.578323364257812
2009-04-13,21.70863914489746
2009-04-14,21.413707733154297
2009-04-15,21.674345016479492
2009-04-16,21.92812156677246
2009-04-17,21.8869686126709
2009-04-20,20.885560989379883
2009-04-21,21.351974487304688
2009-04-22,21.228515625
2009-04-23,21.674345016479492
2009-04-24,21.914405822753906
2009-04-27,21.667484283447266
2009-04-28,21.489152908325195
2009-04-29,22.051589965820312
2009-04-30,22.250490188598633
2009-05-01,22.511138916015625
2009-05-04,23.3753719329834
2009-05-05,23.23818588256836
2009-05-06,23.60856819152832
2009-05-07,23.34107208251953
2009-05-08,24.171009063720703
2009-05-11,23.471391677856445
2009-05-12,23.60171127319336
2009-05-13,22.915815353393555
2009-05-14,23.087299346923828
2009-05-15,22.963829040527344
2009-05-18,23.85549545288086
2009-05-19,23.951519012451172
2009-05-20,23.93780517578125
2009-05-21,23.71831703186035
2009-05-22,23.80062484741211
2009-05-26,24.294469833374023
2009-05-27,23.882923126220703
2009-05-28,24.26703453063965
2009-05-29,24.609981536865234
2009-06-01,25.337038040161133
2009-06-02,25.29588508605957
2009-06-03,24.767724990844727
2009-06-04,25.007797241210938
2009-06-05,24.884334564208984
2009-06-08,24.767724990844727
2009-06-09,24.98722267150879
2009-06-10,24.911771774291992
2009-06-11,25.289026260375977
2009-06-12,25.220430374145508
2009-06-15,24.45222282409668
2009-06-16,24.12299919128418
2009-06-17,24.020112991333008
2009-06-18,24.074975967407227
2009-06-19,24.14357566833496
2009-06-22,23.40279197692871
2009-06-23,23.656585693359375
2009-06-24,23.876073837280273
2009-06-25,24.383642196655273
2009-06-26,24.397354125976562
2009-06-29,24.596261978149414
2009-06-30,24.18472671508789
2009-07-01,24.61684226989746
2009-07-02,23.88979148864746
2009-07-06,23.85549545288086
2009-07-07,23.3753719329834
2009-07-08,23.313634872436523
2009-07-09,23.5194091796875
2009-07-10,23.4096736907959
2009-07-13,23.86235809326172
2009-07-14,24.020112991333008
2009-07-15,24.843189239501953
2009-07-16,24.95979118347168
2009-07-17,25.014663696289062
2009-07-20,25.48792266845703
2009-07-21,25.48792266845703
2009-07-22,25.56338119506836
2009-07-23,26.132675170898438
2009-07-24,26.201263427734375
2009-07-27,26.297290802001953
2009-07-28,26.187557220458984
2009-07-29,25.90632438659668
2009-07-30,26.43446922302246
2009-07-31,26.63337516784668
2009-08-03,27.20953369140625
2009-08-04,27.120370864868164
2009-08-05,27.09292984008789
2009-08-06,26.91459846496582
2009-08-07,27.106639862060547
2009-08-10,26.935176849365234
2009-08-11,26.6470947265625
2009-08-12,26.942033767700195
2009-08-13,27.278118133544922
2009-08-14,26.996896743774414
2009-08-17,26.19440269470215
2009-08-18,26.551067352294922
2009-08-19,26.660812377929688
2009-08-20,26.96946907043457
2009-08-21,27.5181827545166
2009-08-24,27.5524845123291
2009-08-25,27.62793731689453
2009-08-26,27.538774490356445
2009-08-27,27.621065139770508
2009-08-28,27.614229202270508
2009-08-31,27.346715927124023
2009-09-01,26.749982833862305
2009-09-02,26.797998428344727
2009-09-03,27.09292984008789
2009-09-04,27.435869216918945
2009-09-08,27.936582565307617
2009-09-09,28.19036865234375
2009-09-10,28.485309600830078
2009-09-11,28.451005935668945
2009-09-14,28.540164947509766
2009-09-15,28.66363525390625
2009-09-16,29.15747833251953
2009-09-17,29.109474182128906
2009-09-18,29.123184204101562
2009-09-21,28.883113861083984
2009-09-22,29.294660568237305
2009-09-23,28.924274444580078
2009-09-24,28.499032974243164
2009-09-25,28.43043327331543
2009-09-28,28.85568618774414
2009-09-29,28.81452178955078
2009-09-30,28.780242919921875
2009-10-01,28.032604217529297
2009-10-02,27.895437240600586
2009-10-05,28.279529571533203
2009-10-06,28.629343032836914
2009-10-07,28.766515731811523
2009-10-08,29.16433334350586
2009-10-09,29.205490112304688
2009-10-12,29.356399536132812
2009-10-13,29.294660568237305
2009-10-14,29.980541229248047
2009-10-15,30.01485252380371
2009-10-16,29.671903610229492
2009-10-19,30.090299606323242
2009-10-20,29.781641006469727
2009-10-21,29.665050506591797
2009-10-22,29.966838836669922
2009-10-23,29.555309295654297
2009-10-26,29.15747833251953
2009-10-27,28.910558700561523
2009-10-28,28.10118865966797
2009-10-29,29.0820255279541
2009-10-30,28.053178787231445
2009-11-02,28.23838996887207
2009-11-03,28.300100326538086
2009-11-04,28.485309600830078
2009-11-05,28.951709747314453
2009-11-06,28.951709747314453
2009-11-09,29.815937042236328
2009-11-10,29.76105499267578
2009-11-11,29.93939781188965
2009-11-12,29.507291793823242
2009-11-13,29.809085845947266
2009-11-16,30.27549171447754
2009-11-17,30.206899642944336
2009-11-18,30.460681915283203
2009-11-19,29.713058471679688
2009-11-20,29.514141082763672
2009-11-23,30.007991790771484
2009-11-24,29.843379974365234
2009-11-25,30.20003318786621
2009-11-27,29.41812515258789
2009-11-30,29.54843521118164
2009-12-01,30.172611236572266
2009-12-02,30.227489471435547
2009-12-03,30.021717071533203
2009-12-04,30.076581954956055
2009-12-07,29.9188175201416
2009-12-08,29.521005630493164
2009-12-09,29.57587432861328
2009-12-10,29.713058471679688
2009-12-11,29.76105499267578
2009-12-14,29.99427032470703
2009-12-15,29.767932891845703
2009-12-16,29.946260452270508
2009-12-17,29.356399536132812
2009-12-18,29.49357032775879
2009-12-21,29.65132713317871
2009-12-22,29.822797775268555
2009-12-23,29.987411499023438
2009-12-24,30.16988754272461
2009-12-28,30.23952865600586
2009-12-29,30.225603103637695
2009-12-30,30.162919998168945
2009-12-31,30.00970458984375
2010-01-04,30.71311378479004
2010-01-05,30.803640365600586
2010-01-06,30.95685577392578
2010-01-07,30.83846664428711
2010-01-08,31.04044532775879
2010-01-11,31.137941360473633
2010-01-12,30.78971290588379
2010-01-13,31.026504516601562
2010-01-14,31.110088348388672
2010-01-15,30.768831253051758
2010-01-19,31.13096046447754
2010-01-20,30.51114273071289
2010-01-21,29.835596084594727
2010-01-22,29.222719192504883
2010-01-25,29.44559669494629
2010-01-26,29.29932975769043
2010-01-27,29.194854736328125
2010-01-28,28.763071060180664
2010-01-29,28.477529525756836
2010-02-01,29.055574417114258
2010-02-02,29.501293182373047
2010-02-03,29.25058937072754
2010-02-04,28.212879180908203
2010-02-05,27.96912956237793
2010-02-08,27.788055419921875
2010-02-09,28.386991500854492
2010-02-10,28.23377227783203
2010-02-11,28.60288429260254
2010-02-12,28.428773880004883
2010-02-16,29.01378631591797
2010-02-17,29.125221252441406
2010-02-18,29.292367935180664
2010-02-19,29.222719192504883
2010-02-22,29.25058937072754
2010-02-23,28.72128677368164
2010-02-24,28.96504020690918
2010-02-25,28.902368545532227
2010-02-26,29.069499969482422
2010-03-01,29.327190399169922
2010-03-02,29.577913284301758
2010-03-03,29.67540168762207
2010-03-04,29.731122970581055
2010-03-05,30.260425567626953
2010-03-08,30.295242309570312
2010-03-09,30.295242309570312
2010-03-10,30.434537887573242
2010-03-11,30.490243911743164
2010-03-12,30.545969009399414
2010-03-15,30.420595169067383
2010-03-16,30.761865615844727
2010-03-17,30.89417839050293
2010-03-18,30.775789260864258
2010-03-19,30.545969009399414
2010-03-22,30.629531860351562
2010-03-23,30.901140213012695
2010-03-24,30.650421142578125
2010-03-25,30.552927017211914
2010-03-26,30.67131233215332
2010-03-29,30.95685577392578
2010-03-30,31.033475875854492
2010-03-31,31.00560760498047
2010-04-01,31.388647079467773
2010-04-05,31.62545394897461
2010-04-06,31.63241195678711
2010-04-07,31.388647079467773
2010-04-08,31.437402725219727
2010-04-09,31.74384117126465
2010-04-12,31.806514739990234
2010-04-13,31.778654098510742
2010-04-14,32.16170883178711
2010-04-15,32.12688446044922
2010-04-16,31.500099182128906
2010-04-19,31.465269088745117
2010-04-20,31.702062606811523
2010-04-21,31.590635299682617
2010-04-22,31.493125915527344
2010-04-23,31.750795364379883
2010-04-26,31.695087432861328
2010-04-27,30.71311378479004
2010-04-28,30.761865615844727
2010-04-29,31.277223587036133
2010-04-30,30.8663272857666
2010-05-03,31.151866912841797
2010-05-04,30.10719871520996
2010-05-05,29.717199325561523
2010-05-06,28.575021743774414
2010-05-07,28.3660888671875
2010-05-10,29.98184585571289
2010-05-11,29.619699478149414
2010-05-12,29.98184585571289
2010-05-13,29.647550582885742
2010-05-14,28.951114654541016
2010-05-17,29.00681495666504
2010-05-18,28.519319534301758
2010-05-19,28.331268310546875
2010-05-20,27.258752822875977
2010-05-21,27.857690811157227
2010-05-24,27.432872772216797
2010-05-25,27.24481773376465
2010-05-26,27.077682495117188
2010-05-27,28.34520149230957
2010-05-28,27.815908432006836
2010-06-01,27.474651336669922
2010-06-02,28.247692108154297
2010-06-03,28.275564193725586
2010-06-04,27.21000862121582
2010-06-07,26.875707626342773
2010-06-08,27.258752822875977
2010-06-09,27.189117431640625
2010-06-10,28.05269432067871
2010-06-11,28.171098709106445
2010-06-14,28.157142639160156
2010-06-15,29.00681495666504
2010-06-16,28.930213928222656
2010-06-17,28.94415283203125
2010-06-18,28.97895622253418
2010-06-21,29.041643142700195
2010-06-22,28.575021743774414
2010-06-23,28.616823196411133
2010-06-24,28.1084041595459
2010-06-25,28.296457290649414
2010-06-28,28.157142639160156
2010-06-29,27.23785972595215
2010-06-30,27.03589630126953
2010-07-01,27.11250114440918
2010-07-02,27.077682495117188
2010-07-06,27.425899505615234
2010-07-07,28.240739822387695
2010-07-08,28.477529525756836
2010-07-09,28.672529220581055
2010-07-12,28.54716682434082
2010-07-13,29.01378631591797
2010-07-14,29.020755767822266
2010-07-15,29.06254005432129
2010-07-16,28.212879180908203
2010-07-19,28.40091896057129
2010-07-20,28.73520278930664
2010-07-21,28.324316024780273
2010-07-22,29.104333877563477
2010-07-23,29.362009048461914
2010-07-26,29.584869384765625
2010-07-27,29.605764389038086
2010-07-28,29.473440170288086
2010-07-29,29.46647071838379
2010-07-30,29.522201538085938
2010-08-02,30.330068588256836
2010-08-03,30.176837921142578
2010-08-04,30.316125869750977
2010-08-05,30.295242309570312
2010-08-06,30.2186279296875
2010-08-09,30.34400177001953
2010-08-10,30.135066986083984
2010-08-11,29.06254005432129
2010-08-12,28.96504020690918
2010-08-13,28.874500274658203
2010-08-16,28.992904663085938
2010-08-17,29.40379524230957
2010-08-18,29.44559669494629
2010-08-19,28.992904663085938
2010-08-20,28.811813354492188
2010-08-23,28.69342613220215
2010-08-24,28.247692108154297
2010-08-25,28.296457290649414
2010-08-26,28.171098709106445
2010-08-27,28.73520278930664
2010-08-30,28.310394287109375
2010-08-31,28.34520149230957
2010-09-01,29.257537841796875
2010-09-02,29.44559669494629
2010-09-03,29.779870986938477
2010-09-07,29.43861198425293
2010-09-08,29.668439865112305
2010-09-09,29.863454818725586
2010-09-10,29.98881721496582
2010-09-13,30.455427169799805
2010-09-14,30.545969009399414
2010-09-15,30.57381820678711
2010-09-16,30.497209548950195
2010-09-17,30.413631439208984
2010-09-20,30.8802490234375
2010-09-21,30.85936164855957
2010-09-22,30.824539184570312
2010-09-23,30.50417137145996
2010-09-24,31.228464126586914
2010-09-27,31.110088348388672
2010-09-28,31.305082321166992
2010-09-29,31.277223587036133
2010-09-30,31.19365692138672
2010-10-01,31.451330184936523
2010-10-04,31.165794372558594
2010-10-05,31.897071838378906
2010-10-06,31.966716766357422
2010-10-07,31.890079498291016
2010-10-08,32.07813262939453
2010-10-11,32.050270080566406
2010-10-12,32.09206771850586
2010-10-13,32.440284729003906
2010-10-14,32.4542236328125
2010-10-15,32.42635726928711
2010-10-18,32.50297546386719
2010-10-19,31.813488006591797
2010-10-20,32.34278106689453
2010-10-21,32.30099868774414
2010-10-22,32.37063980102539
2010-10-25,32.51689147949219
2010-10-26,32.38457107543945
2010-10-27,32.13383865356445
2010-10-28,32.34278106689453
2010-10-29,32.37760543823242
2010-11-01,32.35672378540039
2010-11-02,32.746726989746094
2010-11-03,32.92083740234375
2010-11-04,33.617271423339844
2010-11-05,33.61030960083008
