Date,NTSG.L,ACWI,VT,URTH,NTSX,SPY
2008-12-22,,22.027189254760742,21.706050872802734,,,63.50300598144531
2008-12-23,,21.730098724365234,21.507911682128906,,,62.84654235839844
2008-12-24,,21.892789840698242,21.647502899169922,,,63.21126937866211
2008-12-26,,22.055479049682617,21.83317756652832,,,63.57596969604492
2008-12-29,,21.92108154296875,21.81941795349121,,,63.393611907958984
2008-12-30,,22.57893180847168,22.390182495117188,,,64.89620208740234
2008-12-31,,22.93260383605957,22.678997039794922,,,65.82256317138672
2009-01-02,,23.43483543395996,23.29100799560547,,,67.80655670166016
2009-01-05,,23.3287296295166,23.359777450561523,,,67.72635650634766
2009-01-06,,23.62582015991211,23.27725601196289,,,68.17858123779297
2009-01-07,,22.975055694580078,22.761512756347656,,,66.13624572753906
2009-01-08,,22.98919677734375,22.685876846313477,,,66.4061050415039
2009-01-09,,22.395009994506836,22.13574981689453,,,64.98371124267578
2009-01-12,,21.878644943237305,21.571868896484375,,,63.422786712646484
2009-01-13,,21.659360885620117,21.386194229125977,,,63.539493560791016
2009-01-14,,20.9307804107666,20.636648178100586,,,61.5408935546875
2009-01-15,,21.036880493164062,20.87732696533203,,,61.56278610229492
2009-01-16,,21.206655502319336,21.13176918029785,,,62.04417037963867
2009-01-20,,19.78485107421875,19.577653884887695,,,58.76914596557617
2009-01-21,,20.6619815826416,20.62976837158203,,,61.30750274658203
2009-01-22,,20.18098258972168,20.230924606323242,,,60.35926055908203
2009-01-23,,20.272933959960938,20.258434295654297,,,60.621803283691406
2009-01-26,,20.527585983276367,20.395965576171875,,,61.03758239746094
2009-01-27,,20.852970123291016,20.78793716430664,,,61.65760803222656
2009-01-28,,21.6027774810791,21.427459716796875,,,63.743736267089844
2009-01-29,,20.697355270385742,20.512868881225586,,,61.672203063964844
2009-01-30,,20.32244873046875,20.21717643737793,,,60.41758346557617
2009-02-02,,20.294158935546875,20.18279266357422,,,60.235260009765625
2009-02-03,,20.70442008972168,20.581636428833008,,,61.081356048583984
2009-02-04,,20.753936767578125,20.437227249145508,,,60.78230667114258
2009-02-05,,20.994441986083984,21.331178665161133,,,61.686763763427734
2009-02-06,,21.560331344604492,21.4549617767334,,,63.44465637207031
