date,usd_per_eur,usd_per_gbp,usd_per_jpy
1971-01-04,,2.3938,0.0027954043552399855
1971-01-05,,2.3949,0.002794779352170146
1971-01-06,,2.3967,0.002794388867154753
1971-01-07,,2.3963,0.0027943107832453123
1971-01-08,,2.3972,0.002794701246436756
1971-01-11,,2.3992,0.0027936862690319877
1971-01-12,,2.4001,0.0027928280176506733
1971-01-13,,2.4021,0.0027898672023211695
1971-01-14,,2.4071,0.0027901785714285715
1971-01-15,,2.4057,0.0027901785714285715
1971-01-18,,2.4052,0.002791035194953808
1971-01-19,,2.4081,0.0027905678805636948
1971-01-20,,2.408,0.0027901785714285715
1971-01-21,,2.4092,0.0027911910012002124
1971-01-22,,2.4103,0.002794076557697681
1971-01-25,,2.4147,0.0027954043552399855
1971-01-26,,2.416,0.0027950136955671085
1971-01-27,,2.4161,0.002794935576734956
1971-01-28,,2.4169,0.0027946231450688874
1971-01-29,,2.4174,0.002795482500279548
1971-02-01,,2.4184,0.002795873291022451
1971-02-02,,2.4181,0.0027968116347364003
1971-02-03,,2.4184,0.002796889858477373
1971-02-04,,2.4167,0.002797124555956477
1971-02-05,,2.4147,0.002796968086594132
1971-02-08,,2.4182,0.0027972810428263726
1971-02-09,,2.4151,0.002797202797202797
1971-02-10,,2.4159,0.002797202797202797
1971-02-11,,2.4158,0.002797202797202797
1971-02-12,,,
1971-02-15,,,
1971-02-16,,2.4193,0.002796968086594132
1971-02-17,,2.4193,0.002796968086594132
1971-02-18,,2.4191,0.002796968086594132
1971-02-19,,2.419,0.0027967334153708467
1971-02-22,,2.4192,0.0027964205816554807
1971-02-23,,2.4193,0.0027968116347364003
1971-02-24,,2.4193,0.0027964205816554807
1971-02-25,,2.4177,0.0027967334153708467
1971-02-26,,2.416,0.0027967334153708467
1971-03-01,,2.4162,0.0027961860022928725
1971-03-02,,2.4184,0.0027967334153708467
1971-03-03,,2.4193,0.0027972810428263726
1971-03-04,,2.4179,0.0027975940691005734
1971-03-05,,2.4183,0.0027964987835230296
1971-03-08,,2.4192,0.0027968116347364003
1971-03-09,,2.4188,0.002797515805964304
