Date,NTSG.L,NTSG.DE,NTSG.MI,WGEC.L,URTH
2012-01-12,,,,,38.219696044921875
2012-01-13,,,,,38.219696044921875
2012-01-17,,,,,38.219696044921875
2012-01-18,,,,,38.219696044921875
2012-01-19,,,,,39.34425735473633
2012-01-20,,,,,39.34425735473633
2012-01-23,,,,,39.34425735473633
2012-01-24,,,,,39.245479583740234
2012-01-25,,,,,39.245479583740234
2012-01-26,,,,,39.245479583740234
2012-01-27,,,,,39.245479583740234
2012-01-30,,,,,39.245479583740234
2012-01-31,,,,,39.245479583740234
2012-02-01,,,,,40.240840911865234
2012-02-02,,,,,40.240840911865234
2012-02-03,,,,,40.704349517822266
2012-02-06,,,,,40.704349517822266
2012-02-07,,,,,40.704349517822266
2012-02-08,,,,,40.704349517822266
2012-02-09,,,,,40.704349517822266
2012-02-10,,,,,40.704349517822266
2012-02-13,,,,,40.704349517822266
2012-02-14,,,,,40.704349517822266
2012-02-15,,,,,40.704349517822266
2012-02-16,,,,,40.704349517822266
2012-02-17,,,,,40.704349517822266
2012-02-21,,,,,41.79092025756836
2012-02-22,,,,,41.79092025756836
2012-02-23,,,,,41.79092025756836
2012-02-24,,,,,41.79092025756836
2012-02-27,,,,,41.79092025756836
2012-02-28,,,,,41.79092025756836
2012-02-29,,,,,41.79092025756836
2012-03-01,,,,,41.79092025756836
2012-03-02,,,,,41.39580535888672
2012-03-05,,,,,41.39580535888672
2012-03-06,,,,,41.39580535888672
2012-03-07,,,,,41.39580535888672
2012-03-08,,,,,41.084266662597656
2012-03-09,,,,,41.23623275756836
2012-03-12,,,,,41.23623275756836
2012-03-13,,,,,41.23623275756836
2012-03-14,,,,,41.59336471557617
2012-03-15,,,,,41.59336471557617
2012-03-16,,,,,41.59336471557617
2012-03-19,,,,,41.59336471557617
2012-03-20,,,,,41.59336471557617
2012-03-21,,,,,41.59336471557617
2012-03-22,,,,,41.59336471557617
2012-03-23,,,,,41.59336471557617
2012-03-26,,,,,41.59336471557617
2012-03-27,,,,,42.30000305175781
2012-03-28,,,,,41.85929489135742
2012-03-29,,,,,41.61615753173828
2012-03-30,,,,,41.77572250366211
2012-04-02,,,,,41.77572250366211
2012-04-03,,,,,41.77572250366211
2012-04-04,,,,,41.77572250366211
2012-04-05,,,,,41.22105407714844
2012-04-09,,,,,40.88671112060547
2012-04-10,,,,,40.24844741821289
2012-04-11,,,,,40.62076950073242
2012-04-12,,,,,41.251426696777344
2012-04-13,,,,,41.251426696777344
2012-04-16,,,,,40.64357376098633
2012-04-17,,,,,41.46419143676758
2012-04-18,,,,,41.46419143676758
2012-04-19,,,,,41.46419143676758
2012-04-20,,,,,41.46419143676758
2012-04-23,,,,,41.46419143676758
2012-04-24,,,,,41.46419143676758
2012-04-25,,,,,41.46419143676758
2012-04-26,,,,,41.46419143676758
2012-04-27,,,,,41.9428825378418
2012-04-30,,,,,41.9428825378418
2012-05-01,,,,,42.07204818725586
2012-05-02,,,,,41.66934585571289
2012-05-03,,,,,41.66934585571289
2012-05-04,,,,,41.66934585571289
2012-05-07,,,,,40.795528411865234
2012-05-08,,,,,40.795528411865234
2012-05-09,,,,,40.043296813964844
2012-05-10,,,,,40.043296813964844
2012-05-11,,,,,40.043296813964844
2012-05-14,,,,,39.481021881103516
2012-05-15,,,,,39.481021881103516
2012-05-16,,,,,39.481021881103516
2012-05-17,,,,,38.660396575927734
2012-05-18,,,,,38.326072692871094
2012-05-21,,,,,38.326072692871094
2012-05-22,,,,,38.326072692871094
2012-05-23,,,,,38.11331558227539
2012-05-24,,,,,38.11331558227539
2012-05-25,,,,,38.11331558227539
2012-05-29,,,,,38.11331558227539
2012-05-30,,,,,38.538818359375
2012-05-31,,,,,38.36405944824219
2012-06-01,,,,,38.36405944824219
2012-06-04,,,,,38.36405944824219
