Date,NTSE
2021-05-20,34.607540130615234
2021-05-21,34.36915588378906
2021-05-24,34.678104400634766
2021-05-25,35.00166702270508
2021-05-26,35.226261138916016
2021-05-27,35.23917770385742
2021-05-28,35.4586181640625
2021-06-01,36.15565490722656
2021-06-02,36.214168548583984
2021-06-03,35.79939270019531
2021-06-04,36.231380462646484
2021-06-07,36.00505828857422
2021-06-08,35.87769317626953
2021-06-09,35.832088470458984
2021-06-10,36.16167068481445
2021-06-11,36.009361267089844
2021-06-14,36.04722595214844
2021-06-15,35.80025100708008
2021-06-16,35.38289260864258
2021-06-17,35.577369689941406
2021-06-18,35.363101959228516
2021-06-21,35.4586181640625
2021-06-22,35.35276412963867
2021-06-23,35.49734115600586
2021-06-24,35.83602523803711
2021-06-25,36.02388381958008
2021-06-28,36.10921859741211
2021-06-29,36.07732009887695
2021-06-30,35.927371978759766
2021-07-01,35.667972564697266
2021-07-02,35.67744827270508
2021-07-06,35.235355377197266
2021-07-07,35.22672653198242
2021-07-08,34.652774810791016
2021-07-09,35.065574645996094
2021-07-12,35.053504943847656
2021-07-13,35.073333740234375
2021-07-14,35.31550216674805
2021-07-15,35.45942687988281
2021-07-16,35.158653259277344
2021-07-19,34.734657287597656
2021-07-20,34.88804626464844
2021-07-21,34.9595832824707
2021-07-22,35.106937408447266
2021-07-23,34.62691879272461
2021-07-26,33.90473937988281
2021-07-27,33.43764877319336
2021-07-28,34.264102935791016
2021-07-29,34.33993911743164
2021-07-30,34.07710266113281
2021-08-02,34.34856033325195
2021-08-03,34.489898681640625
2021-08-04,34.71137619018555
2021-08-05,34.57004928588867
2021-08-06,34.1675910949707
2021-08-09,34.3261604309082
2021-08-10,34.27876281738281
2021-08-11,34.398563385009766
2021-08-12,34.07194137573242
2021-08-13,34.060726165771484
2021-08-16,33.825462341308594
2021-08-17,33.272178649902344
2021-08-18,33.311824798583984
2021-08-19,32.7568359375
2021-08-20,32.74562454223633
2021-08-23,33.17824935913086
2021-08-24,33.866825103759766
2021-08-25,33.88406753540039
2021-08-26,33.55571365356445
2021-08-27,33.95214080810547
2021-08-30,34.100372314453125
2021-08-31,34.59934997558594
2021-09-01,35.03368377685547
2021-09-02,34.8044548034668
2021-09-03,34.98973846435547
2021-09-07,35.192264556884766
2021-09-08,34.70879364013672
2021-09-09,34.618316650390625
2021-09-10,34.53557586669922
2021-09-13,34.68466567993164
2021-09-14,34.37010955810547
2021-09-15,34.35803985595703
2021-09-16,33.97627258300781
2021-09-17,33.825462341308594
2021-09-20,33.017948150634766
2021-09-21,33.2618408203125
2021-09-22,33.66257858276367
2021-09-23,33.76770782470703
2021-09-24,33.34998321533203
2021-09-27,33.59837341308594
2021-09-28,33.03300476074219
2021-09-29,32.88972091674805
2021-09-30,33.11117172241211
2021-10-01,33.145904541015625
2021-10-04,32.66826629638672
2021-10-05,32.88972091674805
2021-10-06,32.78550338745117
2021-10-07,33.29527282714844
2021-10-08,33.40122985839844
2021-10-11,33.292667388916016
2021-10-12,33.21017837524414
2021-10-13,33.66697311401367
2021-10-14,33.81895446777344
2021-10-15,34.056907653808594
2021-10-18,34.0030632019043
2021-10-19,34.32959747314453
2021-10-20,34.31134796142578
2021-10-21,33.989173889160156
2021-10-22,33.94487380981445
2021-10-25,34.2010612487793
2021-10-26,34.04648208618164
2021-10-27,33.84848403930664
2021-10-28,33.82156753540039
2021-10-29,33.34565353393555
2021-11-01,33.63310623168945
2021-11-02,33.34305191040039
2021-11-03,33.52975845336914
2021-11-04,33.45073318481445
2021-11-05,33.506309509277344
2021-11-08,33.7060661315918
2021-11-09,33.68000411987305
2021-11-10,33.4090461730957
2021-11-11,33.86671829223633
2021-11-12,33.930118560791016
2021-11-15,33.81547546386719
2021-11-16,33.827640533447266
2021-11-17,33.7069206237793
2021-11-18,33.34218215942383
2021-11-19,33.292667388916016
2021-11-22,33.011295318603516
2021-11-23,32.94790267944336
2021-11-24,32.877567291259766
2021-11-26,32.07685470581055
2021-11-29,32.220157623291016
2021-11-30,32.20363998413086
2021-12-01,32.35475540161133
2021-12-02,32.710819244384766
2021-12-03,32.33565139770508
2021-12-06,32.48761749267578
2021-12-07,32.89956283569336
2021-12-08,32.989646911621094
2021-12-09,32.84095764160156
2021-12-10,32.83309555053711
2021-12-13,32.41416549682617
2021-12-14,32.32931900024414
2021-12-15,32.23661422729492
2021-12-16,32.31708908081055
2021-12-17,32.158775329589844
2021-12-20,31.710115432739258
2021-12-21,32.14303207397461
2021-12-22,32.284725189208984
2021-12-23,32.424659729003906
2021-12-27,32.54410934448242
2021-12-28,32.37810516357422
2021-12-29,32.2006950378418
2021-12-30,32.97799301147461
2021-12-31,32.65038299560547
2022-01-03,32.703956604003906
2022-01-04,32.65565490722656
2022-01-05,32.117244720458984
2022-01-06,32.18838882446289
2022-01-07,32.451011657714844
2022-01-10,32.47997283935547
2022-01-11,33.23797607421875
2022-01-12,33.75090789794922
2022-01-13,33.32931900024414
2022-01-14,33.198448181152344
2022-01-18,32.450130462646484
2022-01-19,32.70834732055664
2022-01-20,32.91035842895508
2022-01-21,32.620513916015625
2022-01-24,32.09353256225586
2022-01-25,32.155025482177734
2022-01-26,31.64999008178711
2022-01-27,31.400537490844727
2022-01-28,31.56039810180664
2022-01-31,32.58187484741211
2022-02-01,32.753150939941406
2022-02-02,32.782127380371094
2022-02-03,32.3227653503418
2022-02-04,32.29994201660156
2022-02-07,32.20156478881836
2022-02-08,32.48526382446289
2022-02-09,32.96393966674805
2022-02-10,32.57396697998047
2022-02-11,32.24197006225586
2022-02-14,32.00921630859375
2022-02-15,32.586273193359375
2022-02-16,32.800575256347656
2022-02-17,32.44837188720703
2022-02-18,32.147987365722656
2022-02-22,31.63153076171875
2022-02-23,31.1879825592041
2022-02-24,30.451091766357422
2022-02-25,30.908687591552734
2022-02-28,30.60743522644043
2022-03-01,30.27103614807129
2022-03-02,30.14982795715332
2022-03-03,29.777420043945312
2022-03-04,29.276784896850586
2022-03-07,28.350160598754883
2022-03-08,28.388811111450195
2022-03-09,29.001873016357422
2022-03-10,28.4423885345459
2022-03-11,27.749399185180664
2022-03-14,26.651506423950195
2022-03-15,26.70948028564453
2022-03-16,28.60487937927246
2022-03-17,28.531099319458008
2022-03-18,29.10726547241211
2022-03-21,28.408140182495117
2022-03-22,28.844654083251953
2022-03-23,28.834999084472656
2022-03-24,28.905261993408203
2022-03-25,28.545595169067383
2022-03-28,28.757165908813477
2022-03-29,29.28255271911621
2022-03-30,29.211151123046875
2022-03-31,28.876169204711914
2022-04-01,29.23230743408203
2022-04-04,29.71538734436035
2022-04-05,28.966968536376953
2022-04-06,28.60289764404297
2022-04-07,28.33491325378418
2022-04-08,28.267915725708008
2022-04-11,27.910017013549805
2022-04-12,27.876516342163086
2022-04-13,28.260860443115234
2022-04-14,27.707263946533203
2022-04-18,27.54153823852539
2022-04-19,27.33349609375
2022-04-20,27.292945861816406
2022-04-21,26.70585060119629
2022-04-22,26.523374557495117
2022-04-25,26.428171157836914
2022-04-26,26.00680160522461
2022-04-27,26.20514488220215
2022-04-28,26.465192794799805
2022-04-29,26.563922882080078
2022-05-02,26.47224235534668
2022-05-03,26.66442108154297
2022-05-04,27.011741638183594
2022-05-05,25.890439987182617
2022-05-06,25.4664249420166
