date,value
1886-04-06,16559.64
1886-04-07,17028.90
1886-04-08,16971.02
1886-04-09,17018.45
1886-04-12,17917.47
1886-04-13,17494.27
1886-04-14,17471.08
1886-04-15,16787.27
1886-04-16,16451.92
1886-04-19,16446.91
1886-04-20,16724.75
1886-04-21,17014.30
1886-04-22,16956.54
1886-04-26,16898.92
1886-04-27,16754.21
1886-04-28,16202.75
1886-04-29,15994.32
1886-04-30,15594.41
1886-05-03,14622.89
1886-05-04,15077.31
1886-05-05,15653.99
1886-05-06,15111.31
1886-05-07,15631.99
1886-05-10,15924.73
1886-05-11,15869.68
1886-05-12,16449.03
1886-05-13,16273.11
1886-05-14,15699.76
1886-05-17,16017.93
1886-05-18,15627.05
1886-05-19,15539.75
1886-05-20,15970.73
1886-05-21,16267.22
1886-05-24,16533.39
1886-05-25,16588.29
1886-05-26,17141.07
1886-05-27,17600.64
1886-05-28,17095.51
1886-06-01,17956.65
1886-06-02,17634.80
1886-06-03,17316.88
1886-06-04,17787.91
1886-06-07,17647.80
1886-06-08,17517.39
1886-06-09,18169.54
1886-06-10,17663.37
1886-06-11,18006.26
1886-06-14,18217.82
1886-06-15,18266.93
1886-06-16,18790.86
1886-06-17,19036.25
1886-06-18,19292.35
1886-06-21,19295.85
1886-06-22,19165.49
1886-06-23,19635.35
1886-06-24,18739.44
1886-06-25,19258.35
1886-06-28,19090.08
1886-06-29,18647.75
1886-06-30,18632.54
1886-07-01,18869.27
1886-07-02,18929.19
1886-07-06,18828.96
1886-07-07,19123.61
1886-07-08,18766.48
1886-07-09,18704.35
1886-07-12,18118.88
1886-07-13,18360.22
1886-07-14,18428.27
1886-07-15,18977.57
1886-07-16,18971.59
1886-07-19,18701.57
1886-07-20,19106.59
1886-07-21,19280.54
1886-07-22,19245.87
1886-07-23,19135.13
1886-07-26,19479.80
1886-07-27,19569.56
1886-07-28,19977.01
1886-07-29,19658.68
1886-07-30,19883.97
1886-08-02,20713.45
1886-08-03,20387.44
1886-08-04,20460.03
1886-08-05,20740.67
1886-08-06,20923.91
1886-08-09,20183.93
1886-08-10,20540.37
1886-08-11,20176.78
1886-08-12,20082.20
1886-08-13,19919.56
1886-08-16,19612.10
1886-08-17,18807.97
1886-08-18,18465.56
1886-08-19,18976.67
1886-08-20,19666.20
1886-08-23,19467.53
1886-08-24,19671.63
1886-08-25,19184.28
1886-08-26,19253.90
1886-08-27,19579.73
1886-08-30,19554.36
1886-08-31,19174.57
1886-09-01,19376.49
1886-09-02,19665.44
1886-09-03,20255.17
1886-09-06,20542.80
1886-09-07,20358.24
1886-09-08,20784.42
1886-09-09,20488.78
1886-09-10,20778.45
1886-09-13,21349.74
1886-09-14,21271.98
1886-09-15,21336.07
1886-09-16,21673.97
1886-09-17,21880.45
1886-09-20,22976.90
1886-09-21,23195.53
1886-09-22,23166.73
1886-09-23,23051.52
1886-09-24,23248.99
1886-09-27,22624.57
1886-09-28,23425.60
1886-09-29,23625.06
1886-09-30,22950.45
1886-10-01,22492.78
1886-10-04,23036.16
1886-10-05,23652.61
1886-10-06,23568.70
1886-10-07,23244.92
1886-10-08,23302.59
1886-10-11,22721.46
1886-10-12,22299.23
1886-10-13,23459.16
1886-10-14,23875.79
1886-10-15,23890.38
1886-10-18,23596.98
1886-10-19,23862.36
1886-10-20,23448.38
1886-10-21,23886.33
1886-10-22,23571.12
1886-10-25,23258.76
1886-10-26,23769.77
1886-10-27,23685.72
1886-10-28,24049.82
1886-10-29,24086.49
1886-11-01,24774.89
1886-11-03,24992.25
1886-11-04,24452.55
1886-11-05,24366.88
1886-11-08,24403.79
1886-11-09,24451.87
1886-11-10,24879.06
1886-11-11,24397.69
1886-11-12,24646.07
1886-11-15,24884.86
1886-11-16,25192.79
1886-11-17,25059.92
1886-11-18,25323.90
1886-11-19,25395.83
1886-11-22,25113.77
1886-11-23,24856.53
1886-11-24,24916.33
1886-11-26,25167.89
1886-11-29,25806.96
1886-11-30,25118.12
1886-12-01,25801.44
1886-12-02,26024.05
1886-12-03,26561.04
1886-12-06,26082.55
1886-12-07,24971.28
1886-12-08,25470.92
1886-12-09,25771.43
1886-12-10,24761.78
1886-12-13,23543.70
1886-12-14,22572.29
1886-12-15,21091.19
1886-12-16,21929.39
1886-12-17,21762.13
1886-12-20,20440.04
1886-12-21,21160.19
1886-12-22,21358.10
1886-12-23,21475.36
1886-12-24,21377.46
1886-12-27,20747.80
1886-12-28,21424.43
1886-12-29,22207.65
1886-12-30,22852.23
1886-12-31,23124.24
1887-01-03,22945.92
1887-01-04,21729.15
1887-01-05,21919.81
1887-01-06,22319.30
1887-01-07,21609.23
1887-01-10,21901.96
1887-01-11,21834.06
1887-01-12,22232.27
1887-01-13,21713.08
1887-01-14,22140.65
1887-01-17,22197.62
1887-01-18,22390.70
1887-01-19,22732.17
1887-01-20,22428.70
1887-01-21,21980.56
1887-01-24,20509.92
1887-01-25,21535.79
1887-01-26,20956.86
1887-01-27,20750.41
1887-01-28,21204.40
1887-01-31,20550.68
1887-02-01,20188.36
1887-02-02,20692.74
1887-02-03,20358.72
1887-02-04,20796.80
1887-02-07,21520.76
1887-02-08,21883.07
1887-02-09,22507.65
1887-02-10,22712.32
1887-02-11,22314.67
1887-02-14,22110.09
1887-02-15,20523.94
1887-02-16,22061.00
1887-02-17,21630.20
1887-02-18,21900.82
1887-02-21,21977.65
1887-02-23,22550.83
1887-02-24,22934.00
1887-02-25,23013.08
1887-02-28,22154.65
1887-03-01,21826.92
1887-03-02,22458.72
1887-03-03,22704.32
1887-03-04,22181.33
1887-03-07,22788.43
1887-03-08,22845.93
1887-03-09,22469.26
1887-03-10,22264.41
1887-03-11,22321.05
1887-03-14,21762.70
1887-03-15,22310.45
1887-03-16,22398.39
1887-03-17,22162.77
1887-03-18,22300.23
1887-03-21,22284.08
1887-03-22,22331.06
1887-03-23,22335.96
1887-03-24,22878.15
1887-03-25,22658.30
1887-03-28,23439.44
1887-03-29,23509.61
1887-03-30,23329.34
1887-03-31,23670.22
1887-04-01,23445.39
1887-04-04,23896.01
1887-04-05,24099.09
1887-04-06,23993.34
1887-04-07,24340.37
1887-04-11,24189.35
1887-04-12,24305.21
1887-04-13,23898.45
1887-04-14,24035.38
1887-04-15,23841.55
1887-04-18,24186.88
1887-04-19,24003.34
1887-04-20,24394.24
1887-04-21,24020.19
1887-04-22,24113.34
1887-04-25,24306.23
1887-04-26,23688.69
1887-04-27,23966.68
1887-04-28,23839.48
1887-04-29,24337.94
1887-05-02,23920.32
1887-05-03,23892.24
1887-05-04,24039.87
1887-05-05,24375.48
1887-05-06,24191.25
1887-05-09,23841.97
1887-05-10,24033.15
1887-05-11,24500.73
1887-05-12,24907.29
1887-05-13,24991.14
1887-05-16,25075.15
1887-05-17,25159.34
1887-05-18,25765.86
1887-05-19,25413.30
1887-05-20,25429.62
1887-05-23,24897.39
1887-05-24,24857.21
1887-05-25,25019.63
1887-05-26,25182.71
1887-05-27,24710.96
1887-05-31,25119.19
1887-06-01,25169.37
1887-06-02,24482.49
1887-06-03,24732.21
1887-06-06,24871.52
1887-06-07,24707.68
1887-06-08,24343.08
1887-06-09,24347.91
1887-06-10,24530.07
1887-06-13,23777.54
1887-06-14,23357.00
1887-06-15,23555.75
1887-06-16,23950.62
1887-06-17,23619.18
1887-06-20,23843.50
1887-06-21,23837.38
1887-06-22,23279.49
1887-06-23,22513.28
1887-06-24,21732.37
1887-06-27,20752.12
1887-06-28,21309.73
1887-06-29,22613.58
1887-06-30,22012.14
1887-07-01,22058.73
1887-07-05,21498.77
1887-07-06,21195.18
1887-07-07,21301.76
1887-07-08,20724.33
1887-07-11,20949.67
1887-07-12,20893.83
1887-07-13,19779.81
1887-07-14,20347.87
1887-07-15,20481.23
1887-07-18,20923.24
1887-07-19,20323.21
1887-07-20,20673.85
1887-07-21,21078.40
1887-07-22,20931.27
1887-07-25,20543.04
1887-07-26,20090.06
1887-07-27,19389.06
1887-07-28,19862.61
1887-07-29,18758.86
1887-08-01,18529.58
1887-08-02,17727.03
1887-08-03,18731.08
1887-08-04,19286.57
1887-08-05,19919.45
1887-08-08,19146.16
1887-08-09,19245.44
1887-08-10,19250.04
1887-08-11,19216.64
1887-08-12,19496.40
1887-08-15,19941.64
1887-08-16,19975.44
1887-08-17,19863.28
1887-08-18,19509.18
1887-08-19,19379.68
1887-08-22,18764.51
1887-08-23,18881.03
1887-08-24,18173.67
1887-08-25,17739.97
1887-08-26,17771.41
1887-08-29,18108.59
1887-08-30,17066.15
1887-08-31,18172.66
1887-09-01,19088.74
1887-09-02,19338.10
1887-09-06,20216.36
1887-09-07,19419.08
1887-09-08,19214.25
1887-09-09,19776.29
1887-09-12,18991.13
1887-09-13,19201.82
1887-09-14,18498.39
1887-09-15,18180.70
1887-09-16,18237.74
1887-09-19,16978.52
1887-09-20,17044.54
1887-09-21,17357.43
1887-09-22,17736.49
1887-09-23,17605.35
1887-09-26,17384.89
1887-09-27,17844.50
1887-09-28,18230.33
1887-09-29,18225.69
1887-09-30,18349.92
1887-10-03,17531.65
1887-10-04,17706.50
1887-10-05,17467.38
1887-10-06,17758.01
1887-10-07,17202.11
1887-10-10,16313.00
1887-10-11,16436.92
1887-10-12,15308.97
1887-10-13,15762.98
1887-10-14,14783.78
1887-10-17,14987.60
1887-10-18,15378.48
1887-10-19,15235.34
1887-10-20,16297.85
1887-10-21,16293.72
1887-10-24,15115.66
1887-10-25,15661.67
1887-10-26,15980.52
1887-10-27,16085.51
1887-10-28,15702.37
1887-10-31,15482.90
1887-11-01,16365.61
1887-11-02,16361.44
1887-11-03,16280.67
1887-11-04,17065.49
1887-11-07,16763.60
1887-11-09,17044.65
1887-11-10,16533.30
1887-11-11,17111.42
1887-11-14,17825.38
1887-11-15,18054.79
1887-11-16,18721.73
1887-11-17,18884.21
1887-11-18,18898.03
1887-11-21,18378.83
1887-11-22,18539.29
1887-11-23,19014.46
1887-11-25,18925.08
1887-11-28,17956.64
1887-11-29,18015.23
1887-11-30,17757.25
1887-12-01,17546.60
1887-12-02,17950.93
1887-12-05,18505.70
1887-12-06,17985.41
1887-12-07,17773.08
1887-12-08,17248.94
1887-12-09,17569.34
1887-12-12,16631.76
1887-12-13,16430.53
1887-12-14,17063.32
1887-12-15,16928.32
1887-12-16,17035.46
1887-12-19,16863.52
1887-12-20,16762.71
1887-12-21,16897.39
1887-12-22,17085.27
1887-12-23,17477.25
1887-12-27,17785.61
1887-12-28,17527.24
1887-12-29,17898.84
1887-12-30,17793.92
1888-01-03,17635.13
1888-01-04,17414.35
1888-01-05,17650.37
1888-01-06,17924.47
1888-01-09,18374.05
1888-01-10,18350.49
1888-01-11,18013.07
1888-01-12,18117.50
1888-01-13,17874.57
1888-01-16,18041.92
1888-01-17,17963.96
1888-01-18,17968.10
1888-01-19,17353.68
1888-01-20,17322.25
1888-01-23,17202.12
1888-01-24,17126.73
1888-01-25,17421.40
1888-01-26,17763.88
1888-01-27,17948.40
1888-01-30,18333.94
1888-01-31,17951.32
1888-02-01,17955.46
1888-02-02,17659.98
1888-02-03,17520.45
1888-02-06,17372.76
1888-02-07,17332.48
1888-02-08,17026.35
1888-02-09,17249.40
1888-02-10,17394.84
1888-02-13,17176.90
1888-02-14,17136.98
1888-02-15,17404.83
1888-02-16,17515.53
1888-02-17,17965.59
1888-02-20,17616.04
1888-02-21,17620.17
1888-02-23,17812.25
1888-02-24,17789.35
1888-02-27,17064.05
1888-02-28,17252.03
1888-02-29,16938.64
1888-03-01,17247.62
1888-03-02,16943.18
1888-03-05,16415.96
1888-03-06,16641.71
1888-03-07,16258.62
1888-03-08,16254.20
1888-03-09,16351.39
1888-03-14,16431.95
1888-03-15,16487.17
1888-03-16,16038.77
1888-03-19,16390.27
1888-03-20,15826.03
1888-03-21,15006.06
1888-03-22,15398.89
1888-03-23,15138.62
1888-03-26,15044.42
1888-03-27,14885.68
1888-03-28,14663.62
1888-03-29,14603.40
1888-04-02,13612.46
1888-04-03,14139.52
1888-04-04,14843.28
1888-04-05,14871.00
1888-04-06,15550.14
1888-04-09,15015.44
1888-04-10,14606.51
1888-04-11,14665.69
1888-04-12,14868.31
1888-04-13,15137.02
1888-04-16,15221.93
1888-04-17,15527.41
1888-04-18,15382.28
1888-04-19,15747.30
1888-04-20,15984.50
1888-04-23,16392.50
1888-04-24,16884.37
1888-04-25,17062.75
1888-04-26,17321.49
1888-04-27,17280.81
1888-04-30,18286.44
1888-05-01,18584.70
1888-05-02,17807.15
1888-05-03,17801.86
1888-05-04,17543.60
1888-05-07,17126.88
1888-05-08,16716.90
1888-05-09,17015.03
1888-05-10,16484.32
1888-05-11,16762.45
1888-05-14,16696.79
1888-05-15,16570.78
1888-05-16,16789.55
1888-05-17,16489.55
1888-05-18,16707.55
1888-05-21,16754.49
1888-05-22,16463.68
1888-05-23,16244.80
1888-05-24,15900.67
1888-05-25,16347.51
1888-05-28,15448.49
1888-05-29,15739.04
1888-05-31,15493.74
1888-06-01,15571.28
1888-06-04,15723.20
1888-06-05,15478.16
1888-06-06,15555.63
1888-06-07,15896.66
1888-06-08,15783.47
1888-06-11,14806.92
1888-06-12,14921.91
1888-06-13,14669.64
1888-06-14,14942.00
1888-06-15,15129.55
1888-06-18,15663.17
1888-06-19,15424.11
1888-06-20,15443.74
1888-06-21,15694.96
1888-06-22,15881.96
1888-06-25,15329.07
1888-06-26,15365.07
1888-06-27,15434.07
1888-06-28,15569.35
1888-06-29,15730.32
1888-07-02,15398.84
1888-07-03,15451.42
1888-07-05,15644.58
1888-07-06,16289.20
1888-07-09,16104.09
1888-07-10,16752.46
1888-07-11,17104.16
1888-07-12,16877.61
1888-07-13,17493.60
1888-07-16,17649.15
1888-07-17,18148.21
1888-07-18,18243.21
1888-07-19,17831.69
1888-07-20,17825.77
1888-07-23,18373.22
1888-07-24,18829.85
1888-07-25,17770.18
1888-07-26,18723.06
1888-07-27,18819.84
1888-07-30,18747.85
1888-07-31,19181.94
1888-08-01,19251.68
1888-08-02,19207.18
1888-08-03,19115.18
1888-08-06,19886.67
1888-08-07,20084.56
1888-08-08,20283.72
1888-08-09,20000.86
1888-08-10,20258.05
1888-08-13,20251.37
1888-08-14,19446.90
1888-08-15,19881.35
1888-08-16,19544.16
1888-08-17,18807.12
1888-08-20,19400.42
1888-08-21,19805.16
1888-08-22,19847.10
1888-08-23,19850.27
1888-08-24,19775.80
1888-08-27,20379.11
1888-08-28,20678.49
1888-08-29,20552.07
1888-08-30,20545.32
1888-08-31,20459.18
1888-09-04,21194.59
1888-09-05,21390.20
1888-09-06,21046.93
1888-09-07,21402.86
1888-09-10,21100.31
1888-09-11,21386.09
1888-09-12,21226.33
1888-09-13,20256.92
1888-09-14,19857.60
1888-09-17,19521.76
1888-09-18,20118.58
1888-09-19,20805.46
1888-09-20,20798.64
1888-09-21,20234.05
1888-09-24,19723.32
1888-09-25,19863.76
1888-09-26,20337.32
1888-09-27,21046.66
1888-09-28,21467.40
1888-10-01,21831.87
1888-10-02,21315.75
1888-10-03,21197.09
1888-10-04,21354.34
1888-10-05,20979.28
1888-10-08,20396.01
1888-10-09,20966.70
1888-10-10,20616.68
1888-10-11,20821.03
1888-10-12,20976.32
1888-10-15,20292.32
1888-10-16,20524.16
1888-10-17,20478.50
1888-10-18,20861.02
1888-10-19,20482.28
1888-10-22,20267.50
1888-10-23,20370.53
1888-10-24,20196.25
1888-10-25,20299.02
1888-10-26,20550.48
1888-10-29,19816.86
1888-10-30,20074.01
1888-10-31,20225.38
1888-11-01,20574.69
1888-11-02,20379.45
1888-11-05,20740.34
1888-11-07,20985.11
1888-11-08,20595.41
1888-11-09,20669.44
1888-11-12,20013.87
1888-11-13,19548.52
1888-11-14,19793.40
1888-11-15,19574.32
1888-11-16,19771.19
1888-11-19,19426.24
1888-11-20,19775.42
1888-11-21,18965.09
1888-11-22,18931.52
1888-11-23,19199.29
1888-11-26,18756.84
1888-11-27,19369.02
1888-11-28,19277.63
1888-12-03,18091.34
1888-12-04,17858.23
1888-12-05,17600.04
1888-12-06,18275.80
1888-12-07,18399.28
1888-12-10,17887.00
1888-12-11,18262.05
1888-12-12,18807.34
1888-12-13,18512.21
1888-12-14,18220.25
1888-12-17,19075.70
1888-12-18,18740.18
1888-12-19,19201.16
1888-12-20,19214.79
1888-12-21,19704.11
1888-12-24,20848.41
1888-12-26,20802.64
1888-12-27,20393.60
1888-12-28,20418.28
1888-12-31,20722.02
1889-01-02,20404.77
1889-01-03,20060.96
1889-01-04,20095.23
1889-01-07,20247.80
1889-01-08,19955.41
1889-01-09,20244.56
1889-01-10,20239.41
1889-01-11,20570.79
1889-01-14,21215.86
1889-01-15,20771.37
1889-01-16,20443.96
1889-01-17,20807.21
1889-01-18,20429.12
1889-01-21,20692.59
1889-01-22,20476.57
1889-01-23,20262.10
1889-01-24,20345.98
1889-01-25,20449.91
1889-01-28,20554.16
1889-01-29,20768.59
1889-01-30,20773.34
1889-01-31,21150.09
1889-02-01,21734.77
1889-02-04,21335.57
1889-02-05,21207.36
1889-02-06,21477.00
1889-02-07,21707.78
1889-02-08,21216.01
1889-02-11,21577.30
1889-02-12,21406.97
1889-02-13,21411.74
1889-02-14,21621.42
1889-02-15,21770.55
1889-02-18,21775.33
1889-02-19,21376.15
1889-02-20,21370.68
1889-02-21,20997.05
1889-02-25,20951.26
1889-02-26,21198.15
1889-02-27,20938.53
1889-02-28,21013.85
1889-03-01,21362.22
1889-03-04,21632.61
1889-03-05,21297.42
1889-03-06,21057.52
1889-03-07,21122.95
1889-03-08,20965.52
1889-03-11,20587.05
1889-03-12,20571.84
1889-03-13,20387.40
1889-03-14,20055.68
1889-03-15,19492.29
1889-03-18,18865.36
1889-03-19,19513.86
1889-03-20,19672.49
1889-03-21,19880.70
1889-03-22,19717.19
1889-03-25,19505.79
1889-03-26,19421.97
1889-03-27,19744.33
1889-03-28,19503.50
1889-03-29,19041.83
1889-04-01,19283.60
1889-04-02,19652.34
1889-04-03,19441.60
1889-04-04,19850.89
1889-04-05,20226.61
1889-04-08,19902.70
1889-04-09,20171.04
1889-04-10,20520.91
1889-04-11,20794.63
1889-04-12,20878.85
1889-04-15,20578.52
1889-04-16,20501.73
1889-04-17,20515.15
1889-04-18,20538.58
1889-04-22,20742.20
1889-04-23,20443.35
1889-04-24,20676.24
1889-04-25,21202.35
1889-04-26,21042.25
1889-05-02,21442.19
1889-05-03,21682.37
1889-05-06,21716.89
1889-05-07,21502.33
1889-05-08,21711.95
1889-05-09,21455.97
1889-05-10,21202.06
1889-05-13,21644.51
1889-05-14,21575.47
1889-05-15,21785.42
1889-05-16,21903.15
1889-05-17,21927.42
1889-05-20,22442.19
1889-05-21,22509.18
1889-05-22,22671.84
1889-05-23,23293.93
1889-05-24,23177.88
1889-05-27,23624.98
1889-05-28,23979.07
1889-05-29,23606.18
1889-05-31,23883.34
1889-06-03,23798.45
1889-06-04,23724.79
1889-06-05,24123.60
1889-06-06,24215.82
1889-06-07,24219.21
1889-06-10,24356.18
1889-06-11,24627.71
1889-06-12,24754.89
1889-06-13,24735.68
1889-06-14,24310.22
1889-06-17,24257.83
1889-06-18,24684.39
1889-06-19,24203.36
1889-06-20,24273.43
1889-06-21,24070.27
1889-06-24,23772.23
1889-06-25,23798.22
1889-06-26,23813.13
1889-06-27,23539.53
1889-06-28,23213.04
1889-07-01,23424.08
1889-07-02,22956.11
1889-07-03,22267.22
1889-07-05,22175.59
1889-07-08,21481.54
1889-07-09,21568.12
1889-07-10,21955.82
1889-07-11,22547.53
1889-07-12,21664.51
1889-07-15,22094.73
1889-07-16,22109.05
1889-07-17,21912.58
1889-07-18,21591.60
1889-07-19,21284.20
1889-07-22,20877.07
1889-07-23,21479.08
1889-07-24,21338.21
1889-07-25,21701.97
1889-07-26,21549.74
1889-07-29,21563.87
1889-07-30,21867.92
1889-07-31,21986.65
1889-08-01,22021.89
1889-08-02,22193.62
1889-08-05,22798.78
1889-08-06,23049.57
1889-08-07,23020.91
1889-08-08,23294.86
1889-08-09,23570.92
1889-08-12,23871.05
1889-08-13,23686.70
1889-08-14,23679.48
1889-08-15,23749.30
1889-08-16,23874.37
1889-08-19,23568.37
1889-08-20,23659.89
1889-08-21,23762.63
1889-08-22,22851.29
1889-08-23,22833.58
1889-08-26,23749.61
1889-08-27,24138.89
1889-08-28,24432.13
1889-08-29,24424.68
1889-08-30,24664.03
1889-09-03,25525.86
1889-09-04,25379.49
1889-09-05,26177.02
1889-09-06,26403.86
1889-09-09,26525.71
1889-09-10,26114.98
1889-09-11,26751.54
1889-09-12,26552.89
1889-09-13,26544.80
1889-09-16,25766.96
1889-09-17,26072.51
1889-09-18,25912.49
1889-09-19,26056.02
1889-09-20,25771.72
1889-09-23,26009.84
1889-09-24,25648.41
1889-09-25,26002.44
1889-09-26,26324.31
1889-09-27,26340.03
1889-09-30,26403.27
1889-10-01,26181.10
1889-10-02,26326.88
1889-10-03,25535.45
1889-10-04,25574.18
1889-10-07,24809.86
1889-10-08,24984.75
1889-10-09,25527.01
1889-10-10,25507.62
1889-10-11,25081.81
1889-10-14,25659.70
1889-10-15,25162.37
1889-10-16,25212.22
1889-10-17,24467.49
1889-10-18,24809.91
1889-10-21,23754.49
1889-10-22,24333.48
1889-10-23,24820.54
1889-10-24,24608.03
1889-10-25,25313.66
1889-10-28,24856.17
1889-10-29,24871.38
1889-10-30,24920.78
1889-10-31,25004.45
