date,value
1886-04-06,14521.51
1886-04-07,14796.39
1886-04-08,14763.43
1886-04-09,14791.49
1886-04-12,15312.97
1886-04-13,15072.42
1886-04-14,15059.67
1886-04-15,14667.29
1886-04-16,14472.51
1886-04-19,14470.12
1886-04-20,14633.62
1886-04-21,14803.08
1886-04-22,14770.13
1886-04-26,14737.23
1886-04-27,14653.65
1886-04-28,14332.66
1886-04-29,14210.29
1886-04-30,13973.96
1886-05-03,13394.11
1886-05-04,13672.11
1886-05-05,14021.24
1886-05-06,13697.72
1886-05-07,14012.89
1886-05-10,14188.36
1886-05-11,14156.20
1886-05-12,14501.27
1886-05-13,14398.43
1886-05-14,14060.78
1886-05-17,14251.28
1886-05-18,14019.97
1886-05-19,13968.29
1886-05-20,14227.09
1886-05-21,14403.70
1886-05-24,14561.37
1886-05-25,14594.16
1886-05-26,14918.93
1886-05-27,15186.16
1886-05-28,14896.18
1886-06-01,15396.98
1886-06-02,15213.58
1886-06-03,15031.31
1886-06-04,15304.46
1886-06-07,15224.68
1886-06-08,15150.25
1886-06-09,15526.84
1886-06-10,15239.07
1886-06-11,15436.87
1886-06-14,15558.37
1886-06-15,15586.93
1886-06-16,15885.56
1886-06-17,16024.47
1886-06-18,16168.81
1886-06-21,16171.38
1886-06-22,16099.16
1886-06-23,16362.90
1886-06-24,15865.79
1886-06-25,16159.29
1886-06-28,16065.78
1886-06-29,15818.23
1886-06-30,15810.24
1886-07-01,15944.76
1886-07-02,15979.12
1886-07-06,15923.33
1886-07-07,16090.06
1886-07-08,15890.35
1886-07-09,15855.89
1886-07-12,15525.63
1886-07-13,15664.09
1886-07-14,15703.40
1886-07-15,16016.05
1886-07-16,16013.30
1886-07-19,15861.97
1886-07-20,16091.60
1886-07-21,16189.88
1886-07-22,16171.10
1886-07-23,16109.69
1886-07-26,16303.76
1886-07-27,16354.47
1886-07-28,16582.10
1886-07-29,16406.59
1886-07-30,16532.57
1886-08-02,16992.98
1886-08-03,16815.34
1886-08-04,16855.90
1886-08-05,17010.68
1886-08-06,17111.53
1886-08-09,16708.75
1886-08-10,16906.11
1886-08-11,16707.26
1886-08-12,16655.69
1886-08-13,16566.41
1886-08-16,16396.58
1886-08-17,15949.02
1886-08-18,15756.05
1886-08-19,16047.41
1886-08-20,16436.76
1886-08-23,16326.69
1886-08-24,16441.43
1886-08-25,16170.52
1886-08-26,16210.27
1886-08-27,16393.78
1886-08-30,16380.25
1886-08-31,16168.79
1886-09-01,16282.92
1886-09-02,16445.43
1886-09-03,16774.85
1886-09-06,16934.30
1886-09-07,16833.53
1886-09-08,17069.11
1886-09-09,16907.91
1886-09-10,17067.93
1886-09-13,17381.43
1886-09-14,17339.90
1886-09-15,17375.41
1886-09-16,17559.53
1886-09-17,17671.73
1886-09-20,18262.78
1886-09-21,18379.34
1886-09-22,18364.84
1886-09-23,18304.66
1886-09-24,18409.91
1886-09-27,18080.99
1886-09-28,18508.47
1886-09-29,18614.24
1886-09-30,18260.62
1886-10-01,18018.56
1886-10-04,18309.45
1886-10-05,18636.81
1886-10-06,18593.46
1886-10-07,18423.89
1886-10-08,18455.08
1886-10-11,18148.97
1886-10-12,17924.84
1886-10-13,18547.13
1886-10-14,18767.45
1886-10-15,18775.83
1886-10-18,18622.83
1886-10-19,18763.18
1886-10-20,18546.91
1886-10-21,18778.57
1886-10-22,18614.10
1886-10-25,18450.38
1886-10-26,18721.34
1886-10-27,18677.94
1886-10-28,18870.09
1886-10-29,18890.00
1886-11-01,19250.67
1886-11-03,19364.02
1886-11-04,19086.00
1886-11-05,19042.17
1886-11-08,19062.15
1886-11-09,19087.93
1886-11-10,19311.00
1886-11-11,19062.67
1886-11-12,19192.79
1886-11-15,19317.51
1886-11-16,19477.63
1886-11-17,19409.91
1886-11-18,19546.98
1886-11-19,19584.76
1886-11-22,19440.52
1886-11-23,19308.53
1886-11-24,19340.26
1886-11-26,19471.19
1886-11-29,19801.57
1886-11-30,19449.99
1886-12-01,19803.50
1886-12-02,19918.19
1886-12-03,20192.97
1886-12-06,19951.25
1886-12-07,19385.34
1886-12-08,19644.69
1886-12-09,19799.97
1886-12-10,19283.62
1886-12-13,18651.98
1886-12-14,18139.66
1886-12-15,17346.88
1886-12-16,17807.16
1886-12-17,17717.31
1886-12-20,17000.44
1886-12-21,17400.42
1886-12-22,17509.60
1886-12-23,17574.38
1886-12-24,17521.66
1886-12-27,17178.29
1886-12-28,17552.45
1886-12-29,17980.92
1886-12-30,18329.57
1886-12-31,18475.74
1887-01-03,18381.49
1887-01-04,17732.40
1887-01-05,17836.83
1887-01-06,18054.25
1887-01-07,17672.04
1887-01-10,17832.34
1887-01-11,17796.19
1887-01-12,18013.27
1887-01-13,17733.54
1887-01-14,17967.04
1887-01-17,17998.57
1887-01-18,18103.66
1887-01-19,18288.44
1887-01-20,18126.40
1887-01-21,17885.66
1887-01-24,17088.59
1887-01-25,17659.10
1887-01-26,17343.32
1887-01-27,17230.11
1887-01-28,17482.11
1887-01-31,17123.49
1887-02-01,16922.90
1887-02-02,17205.44
1887-02-03,17020.97
1887-02-04,17265.82
1887-02-07,17667.20
1887-02-08,17866.19
1887-02-09,18206.86
1887-02-10,18317.95
1887-02-11,18104.87
1887-02-14,17994.94
1887-02-15,17135.03
1887-02-16,17991.22
1887-02-17,17757.72
1887-02-18,17906.54
1887-02-21,17949.13
1887-02-23,18261.93
1887-02-24,18469.53
1887-02-25,18512.72
1887-02-28,18053.09
1887-03-01,17875.77
1887-03-02,18221.44
1887-03-03,18355.01
1887-03-04,18073.87
1887-03-07,18404.39
1887-03-08,18436.08
1887-03-09,18234.18
1887-03-10,18124.08
1887-03-11,18155.55
1887-03-14,17853.51
1887-03-15,18153.79
1887-03-16,18202.22
1887-03-17,18075.30
1887-03-18,18150.76
1887-03-21,18142.73
1887-03-22,18168.96
1887-03-23,18172.34
1887-03-24,18467.16
1887-03-25,18349.59
1887-03-28,18772.06
1887-03-29,18810.28
1887-03-30,18714.88
1887-03-31,18897.93
1887-04-01,18779.02
1887-04-04,19020.40
1887-04-05,19128.92
1887-04-06,19073.73
1887-04-07,19258.42
1887-04-11,19179.53
1887-04-12,19241.55
1887-04-13,19027.64
1887-04-14,19101.09
1887-04-15,18999.17
1887-04-18,19183.39
1887-04-19,19087.12
1887-04-20,19295.11
1887-04-21,19098.65
1887-04-22,19148.79
1887-04-25,19251.68
1887-04-26,18926.37
1887-04-27,19075.21
1887-04-28,19008.48
1887-04-29,19274.22
1887-05-02,19054.51
1887-05-03,19040.37
1887-05-04,19119.57
1887-05-05,19298.28
1887-05-06,19201.82
1887-05-09,19017.77
1887-05-10,19120.21
1887-05-11,19368.98
1887-05-12,19584.03
1887-05-13,19628.77
