strategy,start,end,years,CAGR,vol,Sharpe,Sortino,MaxDD,Calmar,downside_dev,worst_year,worst_year_when,best_year,best_year_when
NTSD synthetic (net),1970-01-02,2026-04-30,56.32,0.11379024122584336,0.24079421651428543,0.3894695282704709,0.546194809587602,-0.7439939727402964,0.15294511164751565,0.1717266948994995,-0.5535415406419227,2008,0.5708138852388664,1985
NTSD pure (no costs),1970-01-02,2026-04-30,56.32,0.12395875437951975,0.24065562936172985,0.4273254874568873,0.6002331011425152,-0.74149986007637,0.16717299766820287,0.17135568754386754,-0.5506235571327793,2008,0.5872088877795083,1985
testfolio NTSDSIM,1970-01-02,2026-04-30,56.32,0.11922463058537613,0.24600700209861148,0.40604171144048146,0.5731141323727256,-0.7441079459928908,0.16022491256465526,0.17431484542102696,-0.5500305123357065,2008,0.5725061603774235,1985
US market (FF),1970-01-02,2026-04-30,56.32,0.11066582471181463,0.16855769114417868,0.4516299870070464,0.6320423568105178,-0.5456553593385393,0.20281267803539446,0.12046547966797172,-0.36455869086640136,2008,0.38201121167098573,1975
VEASIM,1970-01-02,2026-04-30,56.32,0.08920348398681632,0.18633175881925929,0.3205833619716987,0.45220316788017206,-0.6068516556280066,0.14699388748392422,0.1321143455306459,-0.40611110864135536,2008,0.6531411756363934,1986
