variant,series,frac,X,scenario,label,kelly_mult,leverage,leverage_min,leverage_max,n_obs,cagr,ann_vol,sharpe,sortino,max_dd,calmar,final_wealth,log_final_wealth,final_wealth_raw,worst_day,best_day,worst_month,mdd_peak,mdd_trough,mdd_recovery,mdd_recovered,mdd_duration_days,mdd_recovery_days,mdd_duration_tdays,mdd_recovery_tdays,longest_underwater_days,n_dd_20,n_dd_35,n_dd_50,pct_days_below_20,q01,q05,q50,q95,q99,skew,kurt,wiped_out
cost_letf,mkt,half,0,half_x0,"Half Kelly, original",0.5,1.3081808227050837,1.3081808227050837,1.3081808227050837,26233,0.10323800318409591,0.2285737828533545,0.40716752411305623,0.5726168416802181,-0.9208540046922377,0.11211115188514546,18183.538243513096,9.808271971650413,18183.5382435137,-0.22800859856404626,0.20489285707122834,-0.3656549389377317,1929-09-03,1932-07-08,1946-02-02,True,5996.0,4957.0,4896,4051,5996.0,19,8,3,0.38687912171692146,-0.04030223678418332,-0.02058801292452735,0.0008732103674667244,0.01966158447590461,0.039009220965259626,-0.1642667944406135,16.12728055718175,False
cash_day,mkt,half,0,half_x0,"Half Kelly, original",0.5,1.3081808227050837,1.3081808227050837,1.3081808227050837,26233,0.11820138587007545,0.228546674180072,0.46614813037710473,0.6570431657481695,-0.9175848811609626,0.12881793095862984,69785.7099319718,11.153184539022357,69785.70993197126,-0.2278467354797666,0.20499193491788664,-0.36494235466291225,1929-09-03,1932-07-08,1945-10-01,True,5872.0,4833.0,4798,3953,5872.0,19,9,4,0.3467007204665879,-0.04027106384893396,-0.020538438916469816,0.0009232723290820335,0.019691894258305746,0.03905178851661153,-0.16403206846925103,16.12979217984354,False
walkforward,mkt,quarter,0,quarter_x0,"Quarter Kelly, original",0.25,0.5507736021993406,0.084993203740369,0.7179481983229161,23258,0.07595393855266487,0.09003872771677592,0.48475411706465554,0.674373113653366,-0.35588767995724313,0.21342109555967234,717.7790371227154,6.5761617739442215,651.6602882395409,-0.11486599182894527,0.06951820835822717,-0.147673198957873,2007-10-09,2009-03-09,2011-04-27,True,1296.0,779.0,894,539,2831.0,6,1,0,0.029624215323759567,-0.015772515043172376,-0.008239620483339035,0.0003760402410186411,0.008246284398419871,0.014929649650942494,-0.6323042647638508,21.381559592249015,False
fixed_1936,mkt,quarter,0,quarter_x0,"Quarter Kelly, original",0.25,0.6540904113525419,0.6540904113525419,0.6540904113525419,23258,0.08658861852319664,0.10321569500425658,0.5304907763180517,0.739246421539203,-0.3839923480027134,0.22549568754058813,1736.5701852472853,7.459667289016249,1556.2674477306343,-0.11377336773988331,0.07430467072964875,-0.16266534220639073,2007-10-09,2009-03-09,2011-02-04,True,1214.0,697.0,838,483,2246.0,7,2,0,0.05464786310086852,-0.017985335772536186,-0.009515129046882365,0.0005270452056762709,0.009353492882341349,0.016946336867560596,-0.5177901820697187,15.34237991384343,False
cost_futures,mkt,quarter,0,quarter_x0,"Quarter Kelly, original",0.25,0.6540904113525419,0.6540904113525419,0.6540904113525419,26233,0.08124897953109812,0.1142700235401623,0.46614813037710473,0.6570431657481695,-0.6806677551014767,0.11936657631003131,2436.7573240471997,7.798423468874926,2436.7573240471665,-0.11377336773988331,0.10249596745894332,-0.19975284637958501,1929-09-03,1932-06-01,1943-06-05,True,5023.0,4021.0,4112,3297,5023.0,7,2,1,0.125986353066748,-0.020048575628523035,-0.010203810417099654,0.0005232723290820335,0.009942174252558637,0.019612850554249703,-0.16933866312555826,16.116793934321954,False
cost_broker,mkt,quarter,0,quarter_x0,"Quarter Kelly, original",0.25,0.6540904113525419,0.6540904113525419,0.6540904113525419,26233,0.08124897953109812,0.1142700235401623,0.46614813037710473,0.6570431657481695,-0.6806677551014767,0.11936657631003131,2436.7573240471997,7.798423468874926,2436.7573240471665,-0.11377336773988331,0.10249596745894332,-0.19975284637958501,1929-09-03,1932-06-01,1943-06-05,True,5023.0,4021.0,4112,3297,5023.0,7,2,1,0.125986353066748,-0.020048575628523035,-0.010203810417099654,0.0005232723290820335,0.009942174252558637,0.019612850554249703,-0.16933866312555826,16.116793934321954,False
cost_letf,mkt,quarter,0,quarter_x0,"Quarter Kelly, original",0.25,0.6540904113525419,0.6540904113525419,0.6540904113525419,26233,0.07145673403137946,0.1142700235401623,0.38652282528067283,0.543174360898658,-0.6897874493588411,0.10359239516143509,982.5977661940137,6.890199846369474,982.5977661940049,-0.11380799798821883,0.1024613372106078,-0.2004239729183176,1929-09-03,1932-07-08,1945-02-19,True,5648.0,4609.0,4623,3778,5648.0,7,2,1,0.16509739640910304,-0.02008320587685856,-0.010238440665435182,0.0004886420807465057,0.009907544004223109,0.019578220305914176,-0.16933866312555804,16.116793934321954,False
cash_day,mkt,quarter,0,quarter_x0,"Quarter Kelly, original",0.25,0.6540904113525419,0.6540904113525419,0.6540904113525419,26233,0.08124897953109812,0.1142700235401623,0.46614813037710473,0.6570431657481695,-0.6806677551014767,0.11936657631003131,2436.7573240471997,7.798423468874926,2436.7573240471665,-0.11377336773988331,0.10249596745894332,-0.19975284637958501,1929-09-03,1932-06-01,1943-06-05,True,5023.0,4021.0,4112,3297,5023.0,7,2,1,0.125986353066748,-0.020048575628523035,-0.010203810417099654,0.0005232723290820335,0.009942174252558637,0.019612850554249703,-0.16933866312555826,16.116793934321954,False
walkforward,mkt,full,10,full_x10,"Full Kelly, -10 best days",1.0,1.9000262220737216,4.1762113583609977e-05,2.671705340186208,23252,0.12611396689761084,0.31731096958598415,0.42987304030173246,0.5897807077523941,-0.9469339962834361,0.13318136997149527,43011.49098036115,10.669222591076988,36670.34556337361,-0.41696251710643506,0.20534241809645348,-0.6066711621192118,2000-03-24,2009-03-09,2017-10-20,True,6419.0,3147.0,4420,2172,6419.0,28,13,8,0.46529330810252884,-0.05705452325837215,-0.02983034511037272,0.0007110806923937994,0.02911291998925431,0.05334936782129999,-1.0048063331475878,20.709315026123377,False
fixed_1936,mkt,full,10,full_x10,"Full Kelly, -10 best days",1.0,2.6163616454101675,2.6163616454101675,2.6163616454101675,23252,0.1629291727767758,0.40768756563350755,0.4954318999123938,0.6815760395438653,-0.9698108376241475,0.16800098169238997,773707.2675391573,13.558948873719682,631750.7273907133,-0.4559934709595332,0.22683855465706151,-0.6659872846565488,2000-03-24,2009-03-09,2017-10-18,True,6417.0,3145.0,4418,2170,6417.0,33,15,11,0.5760364699810769,-0.07210958141332062,-0.03842215235207048,0.0017698169872461004,0.03699069920028336,0.06665435307012763,-0.7898567977647523,13.590985505984108,False
cost_futures,mkt,full,10,full_x10,"Full Kelly, -10 best days",1.0,2.6163616454101675,2.6163616454101675,2.6163616454101675,26223,0.10506036873225334,0.44846339745714797,0.3808078864623414,0.5256644831332503,-0.9983853369749502,0.10523028017476717,21440.54183516807,9.973038887028094,21359.185750566616,-0.45654397663289187,0.2267966469665335,-0.6665845915824218,1929-09-03,1933-03-31,1956-08-02,True,9830.0,8525.0,7731,6680,9830.0,31,13,9,0.6997292453189948,-0.08060757379204797,-0.04127795401440781,0.0017007525168891212,0.0390873681326716,0.07712733781141723,-0.5911132364703285,12.834099312383168,False
cost_broker,mkt,full,10,full_x10,"Full Kelly, -10 best days",1.0,2.6163616454101675,2.6163616454101675,2.6163616454101675,26223,0.09262709950177411,0.44846339745714797,0.35557980069625744,0.49038139655544055,-0.998457323916509,0.09277021389200565,6928.931748836225,8.843460931504715,6905.61281115152,-0.4565870343291846,0.22675358927024075,-0.6669036027685515,1929-09-03,1933-03-31,1958-12-18,True,10698.0,9393.0,8330,7279,10698.0,28,12,9,0.7291309156084353,-0.08065063148834073,-0.04132101171070056,0.00165769482059637,0.03904431043637885,0.07708428011512447,-0.5911132364703282,12.834099312383168,False
cost_letf,mkt,full,10,full_x10,"Full Kelly, -10 best days",1.0,2.6163616454101675,2.6163616454101675,2.6163616454101675,26223,0.08571694755832626,0.4484832385456322,0.3414371468721785,0.470640708414102,-0.9984751025778489,0.08584785673375676,3677.891581909352,8.210094927271774,3666.398944167688,-0.45669541812347597,0.22675151066892996,-0.6669495855991023,1929-09-03,1933-03-31,1959-01-02,True,10713.0,9408.0,8338,7287,10713.0,24,10,9,0.7466727681806048,-0.08066135355564658,-0.041353102843039086,0.0016212638139398116,0.03902700440030645,0.07705823637408273,-0.5907249834219527,12.834048320758171,False
