series,frac,X,scenario,label,kelly_mult,leverage,n_obs,cagr,ann_vol,sharpe,sortino,max_dd,calmar,final_wealth,log_final_wealth,final_wealth_raw,worst_day,best_day,worst_month,mdd_peak,mdd_trough,mdd_recovery,mdd_recovered,mdd_duration_days,mdd_recovery_days,mdd_duration_tdays,mdd_recovery_tdays,longest_underwater_days,n_dd_20,n_dd_35,n_dd_50,pct_days_below_20,q01,q05,q50,q95,q99,skew,kurt,wiped_out
mkt,quarter,10,quarter_x10,"Quarter Kelly, -10 best days",0.25,0.6540904113525419,26223,0.07398650366757743,0.11207637250718284,0.4129792954883247,0.5708003578496096,-0.7227408803528812,0.10236933550991777,1243.427393116084,7.125626872408126,1240.054474606318,-0.11377336773988331,0.05670963866426538,-0.22205050782129854,1929-09-03,1932-06-01,1946-01-28,True,5991.0,4989.0,4886,4073,5991.0,7,2,1,0.2084429699119094,-0.020058575628523034,-0.010203810417099654,0.0005232723290820335,0.00988053808801762,0.019346686186985408,-0.5981709159161375,12.826499037879987,False
mkt,unlev,10,unlev_x10,"Unlevered 1.00x, -10 best days",,1.0,26223,0.09133584991370292,0.17134697039235033,0.41297929548832457,0.5708003578496094,-0.8711707447236291,0.10484265049864407,6157.421215938184,8.725413335099713,6136.97490994831,-0.1741,0.0867,-0.3227558174124975,1929-09-03,1932-07-08,1950-05-19,True,7563.0,6524.0,6107,5264,7563.0,16,6,2,0.3222362048583305,-0.0307,-0.015700000000000002,0.0007000000000000001,0.015000000000000001,0.029500000000000002,-0.5946915630379411,12.831462274357898,False
mkt,full,15,full_x15,"Full Kelly, -15 best days",1.0,2.6163616454101675,26218,0.11014383010958007,0.44573122314263264,0.3910033995040853,0.537245135271482,-0.9988432039699907,0.11027139161762693,33901.73911635607,10.431221593420107,33700.13197832404,-0.4559934709595332,0.20695420615194426,-0.6659872846565488,1929-09-03,1933-03-31,1958-12-29,True,10709.0,9404.0,8331,7282,10709.0,29,13,10,0.6998626897551301,-0.08067361854723022,-0.041238513997480644,0.0017698169872461004,0.03908954309193026,0.0763872818980048,-0.6903549306586595,12.463557177182416,False
mkt,half,15,half_x15,"Half Kelly, -15 best days",0.5,1.3081808227050837,26218,0.09802217721164207,0.22285801620602916,0.3910033995040853,0.537245135271482,-0.9487014261584555,0.10332247270730892,11329.678306570278,9.335180960553672,11269.363347607166,-0.2278467354797666,0.10347710307597213,-0.40357156127674365,1929-09-03,1932-07-08,1954-02-03,True,8919.0,7880.0,7097,6256,8919.0,18,8,4,0.42329697154626594,-0.04029530927361511,-0.020538438916469816,0.0009157265758935587,0.019622712340576255,0.03831921995728687,-0.6929356887301578,12.462001331659412,False
mkt,quarter,15,quarter_x15,"Quarter Kelly, -15 best days",0.25,0.6540904113525419,26218,0.07115014850078952,0.11142804840507747,0.3910033995040853,0.537245135271482,-0.7499012113187288,0.09487936201045652,954.9227360241249,6.861630432520992,951.1834631066652,-0.11377336773988331,0.051738551537986066,-0.22205050782129854,1929-09-03,1932-06-01,1950-11-18,True,7746.0,6744.0,6236,5425,7746.0,7,2,1,0.2508963307651232,-0.020063575628523032,-0.010203810417099654,0.0005232723290820335,0.009853776786598493,0.019234030970358966,-0.6979792582464186,12.455912464995087,False
mkt,unlev,15,unlev_x15,"Unlevered 1.00x, -15 best days",,1.0,26218,0.08699000179790367,0.1703553013628215,0.39100339950408525,0.5372451352714819,-0.8897231034298232,0.09777199385130388,4134.336050837699,8.327082026448707,4114.697546958638,-0.1741,0.0791,-0.3227558174124975,1929-09-03,1932-07-08,1951-09-10,True,8042.0,7003.0,6464,5623,8042.0,16,7,2,0.3491875810511862,-0.0307,-0.015700000000000002,0.0007000000000000001,0.015,0.029300000000000003,-0.6945070187684586,12.460547936429695,False
mkt,full,25,full_x25,"Full Kelly, -25 best days",1.0,2.6163616454101675,26208,0.09071306328602848,0.4416236635019503,0.3509634412327219,0.4776908385979405,-0.9996351193058328,0.09074617481328737,5816.345904286592,8.668427492047046,5768.495018737023,-0.4559934709595332,0.1779125918878914,-0.6659872846565488,1929-09-03,1942-04-28,1965-10-19,True,13195.0,8575.0,10038,6276,13195.0,26,12,9,0.7544642857142857,-0.08071594578013844,-0.041238513997480644,0.0017698169872461004,0.038983788516611495,0.07535121538781282,-0.8374062373726502,12.079550677559547,False
mkt,half,25,half_x25,"Half Kelly, -25 best days",0.5,1.3081808227050837,26208,0.08796070178791635,0.220806099885591,0.3509634412327219,0.4776908385979405,-0.9666290223841699,0.0909973730883469,4519.661161252731,8.416192305691702,4483.555684306919,-0.2278467354797666,0.0889562959439457,-0.40357156127674365,1929-09-03,1933-03-31,1956-02-24,True,9670.0,8365.0,7608,6564,9670.0,18,8,4,0.4564255189255189,-0.040311472890069214,-0.020538438916469816,0.0009157265758935587,0.019536862504829767,0.03773994687739486,-0.839872682442237,12.07902734635619,False
mkt,quarter,25,quarter_x25,"Quarter Kelly, -25 best days",0.25,0.6540904113525419,26208,0.06612486921744083,0.11040401595850988,0.3509634412327219,0.4776908385979405,-0.7932943894114208,0.08335476728443991,597.155015248887,6.392176736720867,593.5283641500879,-0.11377336773988331,0.04447814797197285,-0.22205050782129854,1929-09-03,1933-03-31,1954-05-26,True,9031.0,7726.0,7167,6123,9031.0,7,2,1,0.29174297924297926,-0.020073575628523035,-0.010203810417099654,0.0005232723290820335,0.009815129046882365,0.018899162457932207,-0.8446581195818518,12.075043917509248,False
mkt,unlev,25,unlev_x25,"Unlevered 1.00x, -25 best days",,1.0,26208,0.07929039648719821,0.16878766865564576,0.350963441232722,0.4776908385979406,-0.9192167762494251,0.08625864816209919,2033.3219653879441,7.617426170684845,2018.6147297129976,-0.1741,0.068,-0.3227558174124975,1929-09-03,1933-03-31,1955-02-10,True,9291.0,7986.0,7347,6303,9291.0,16,7,2,0.39285714285714285,-0.0307,-0.015700000000000002,0.0007000000000000001,0.015,0.028893000000000026,-0.8413686550403947,12.078217108409481,False
mkt,full,35,full_x35,"Full Kelly, -35 best days",1.0,2.6163616454101675,26198,0.07393916150632132,0.4385353025407751,0.31526927143839195,0.4260221478790625,-0.9998759484461253,0.07394833491217363,1237.967474306803,7.121226180126218,1226.261095036734,-0.4559934709595332,0.16058296886364326,-0.6666875637627108,1929-09-03,1942-04-28,1983-04-15,True,19582.0,14962.0,14418,10663,19582.0,20,8,7,0.8241850522940682,-0.08074857484317417,-0.041238513997480644,0.0017698169872461004,0.03882215235207048,0.07404418548017147,-0.9380918663042629,11.952469874066097,False
mkt,half,35,half_x35,"Half Kelly, -35 best days",0.5,1.3081808227050837,26198,0.07925451252374885,0.21926396692199698,0.31526927143839195,0.4260221478790625,-0.9809429873292511,0.08079420878427389,2026.5841813733455,7.614106985483572,2006.1008949747552,-0.2278467354797666,0.08039148443182163,-0.41435750018826545,1929-09-03,1933-03-31,1959-07-29,True,10921.0,9616.0,8464,7427,10921.0,16,8,4,0.4962592564317887,-0.04032348559145955,-0.020538438916469816,0.0009157265758935587,0.019465698888375748,0.03702451728255376,-0.9404208351642671,11.95276196930767,False
mkt,quarter,35,quarter_x35,"Quarter Kelly, -35 best days",0.25,0.6540904113525419,26198,0.061772800608035666,0.10963504446886957,0.31526927143839195,0.4260221478790625,-0.8446753923864045,0.07313199977746851,396.9545694063939,5.983821839394444,393.79806004326093,-0.11377336773988331,0.04029574221591081,-0.23214764022765266,1929-09-03,1933-03-31,1955-09-23,True,9516.0,8211.0,7496,6459,9516.0,7,2,2,0.33353691121459655,-0.02008150017099115,-0.010203810417099654,0.0005232723290820335,0.009811356170288128,0.018580865101474504,-0.9449101839373476,11.950400549812413,False
mkt,unlev,35,unlev_x35,"Unlevered 1.00x, -35 best days",,1.0,26198,0.07262481933789408,0.16760980766657335,0.31526927143839195,0.4260221478790624,-0.9475689786502984,0.07664330615945203,1095.5085237591059,6.998973939707319,1085.3262662356033,-0.1741,0.0615,-0.33405706860493634,1929-09-03,1933-03-31,1958-10-03,True,10622.0,9317.0,8259,7222,10622.0,15,7,2,0.41881059622871974,-0.030702999999999998,-0.015700000000000002,0.0007000000000000001,0.0149,0.028302999999999887,-0.9418285606662583,11.952452894265912,False
mkt,full,50,full_x50,"Full Kelly, -50 best days",1.0,2.6163616454101675,26183,0.051223172095907855,0.43465595800414714,0.2653247140256499,0.35525629231900285,-0.9999701470405278,0.05122470130483989,146.4906492137515,4.986961598527563,145.10483313813853,-0.4559934709595332,0.14154516501669007,-0.7162476003671908,1929-09-03,1942-04-28,1987-07-30,True,21149.0,16529.0,15492,11747,21149.0,12,4,4,0.8820226864759577,-0.08076357484317417,-0.041238513997480644,0.0017698169872461004,0.03865051618752924,0.07283485374240266,-1.0595915329657128,11.887663050080684,False
mkt,half,50,half_x50,"Half Kelly, -50 best days",0.5,1.3081808227050837,26183,0.06739329976476943,0.21732599512302592,0.2653247140256499,0.35525629231900285,-0.9883578687474169,0.06818714343841821,672.4178681712783,6.51087997490428,664.124918461421,-0.2278467354797666,0.07077258250834503,-0.43874754893248213,1929-09-03,1934-07-26,1966-01-05,True,13273.0,11486.0,10074,8657,13273.0,15,7,5,0.5627697360883016,-0.04032697644082185,-0.020538438916469816,0.0009157265758935587,0.01936107617603524,0.03646742687120133,-1.0618343683534686,11.888464181155557,False
mkt,quarter,50,quarter_x50,"Quarter Kelly, -50 best days",0.25,0.6540904113525419,26183,0.055823214538684475,0.10866782056744385,0.2653247140256499,0.35525629231900285,-0.8764374790168089,0.06369332197124566,226.52499837325016,5.422855306926792,224.19570758236566,-0.11377336773988331,0.03542088221303727,-0.2415367167663185,1929-09-03,1933-03-31,1961-01-04,True,11446.0,10141.0,8815,7784,11446.0,7,2,2,0.37692395829354924,-0.02008612288333173,-0.010203810417099654,0.0005232723290820335,0.009745947129152874,0.018258442608138855,-1.0661248761559277,11.88708830640652,False
mkt,unlev,50,unlev_x50,"Unlevered 1.00x, -50 best days",,1.0,26183,0.06352975968871448,0.166129199479056,0.2653247140256499,0.3552562923190028,-0.9632953334445661,0.06595044892571399,468.1920317398731,6.148878535988173,462.73697146439844,-0.1741,0.05410000000000001,-0.35124937506478227,1929-09-03,1934-07-26,1964-01-03,True,12540.0,10753.0,9568,8151,12540.0,14,7,3,0.4783256311347057,-0.030718000000000002,-0.015700000000000002,0.0007000000000000001,0.0148,0.027899999999999998,-1.0631845926278294,11.888463473510399,False
mkt,full,75,full_x75,"Full Kelly, -75 best days",1.0,2.6163616454101675,26158,0.01937383729644546,0.4299396781827125,0.1922754570892733,0.2545300538370219,-0.9999931441557762,0.01937397012136661,6.79099985102669,1.915598184194789,6.75390934677983,-0.4559934709595332,0.1203526356888677,-0.747577193773274,1929-09-03,1942-04-28,1997-06-19,True,24761.0,20141.0,17977,14244,24761.0,8,3,3,0.9389479317990672,-0.08078857484317417,-0.041238513997480644,0.0016698169872461004,0.03834648928312844,0.07086826797682719,-1.1951747594662003,11.984607864314947,False
mkt,half,75,half_x75,"Half Kelly, -75 best days",0.5,1.3081808227050837,26158,0.050633494722427834,0.2149696158372386,0.1922754570892733,0.2545300538370219,-0.9942839256319486,0.050924583428466993,138.51057837056078,4.9309467008375245,136.57161811289265,-0.2278467354797666,0.06017631784443385,-0.47156732452763994,1929-09-03,1942-04-28,1980-08-07,True,18601.0,13981.0,13715,9982,18601.0,7,4,4,0.7265463720467926,-0.04033279452309236,-0.020543061628810387,0.0009157265758935587,0.01923025809376473,0.03548144851993147,-1.1973528838732483,11.985684318457974,False
mkt,quarter,75,quarter_x75,"Quarter Kelly, -75 best days",0.25,0.6540904113525419,26158,0.04738204361865606,0.10749146691884642,0.19227545708927327,0.2545300538370218,-0.9068995518914633,0.05224618704445748,101.64818452726685,4.6215176798781386,100.31395187387635,-0.11377336773988331,0.030088158922216925,-0.26441623011896676,1929-09-03,1942-04-28,1965-10-08,True,13184.0,8564.0,10001,6268,13184.0,7,3,2,0.4526339934245737,-0.020093827403899353,-0.010231421554265058,0.0005232723290820335,0.009653492882341349,0.017753976035342064,-1.2014831497736667,11.984769981434717,False
mkt,unlev,75,unlev_x75,"Unlevered 1.00x, -75 best days",,1.0,26158,0.050654126281133076,0.1643287839655875,0.19227545708927332,0.25453005383702193,-0.9777055084222952,0.051809185736175996,138.78237709129021,4.932907073810735,136.8388450779381,-0.1741,0.046,-0.38066766115969664,1929-09-03,1942-04-28,1972-03-06,True,15525.0,10905.0,11588,7855,15525.0,10,5,2,0.5898004434589801,-0.030743,-0.015700000000000002,0.0007000000000000001,0.0147,0.027143000000000028,-1.1986581077448109,11.985838516679237,False
mkt,full,100,full_x100,"Full Kelly, -100 best days",1.0,2.6163616454101675,26133,-0.00803839536107363,0.4263115503038832,0.12654430900379854,0.16602197691968595,-0.9999983156513647,-0.008038408900556692,0.44676714901052983,-0.8057177395337651,0.448141454599602,-0.4559934709595332,0.10910228061360398,-0.7731775517877604,1929-09-03,1942-04-28,,False,35303.0,30683.0,25187,21467,35303.0,4,1,1,0.963226571767497,-0.08081357484317417,-0.04126316846329704,0.0016698169872461004,0.03803724385844743,0.06828703894520537,-1.2931494376590298,12.152934979578514,False
mkt,half,100,half_x100,"Half Kelly, -100 best days",0.5,1.3081808227050837,26133,0.03605989389014122,0.21315769114802152,0.12654430900379854,0.16602197691968595,-0.9972202076093055,0.03616041232917824,34.345884792787174,3.5364822092436614,33.885973424879595,-0.2278467354797666,0.05455114030680199,-0.4998188529141414,1929-09-03,1942-04-28,1985-11-27,True,20539.0,15919.0,15042,11322,20539.0,4,3,3,0.824819194122374,-0.04033861260536287,-0.020569256998740324,0.0009157265758935587,0.01909944001149422,0.03414351947260268,-1.2952231429145555,12.154173171089695,False
mkt,quarter,100,quarter_x100,"Quarter Kelly, -100 best days",0.25,0.6540904113525419,26133,0.040005150494963004,0.10658770414615071,0.12654430900379854,0.16602197691968595,-0.9354055394619469,0.042767707488641026,50.19463381192508,3.9159081248070886,49.45092245999738,-0.11377336773988331,0.02731393398885998,-0.28465428792335545,1929-09-03,1942-04-28,1972-04-11,True,15561.0,10941.0,11599,7879,15561.0,6,4,2,0.543144682967895,-0.02010153192446698,-0.010234628499370162,0.0005232723290820335,0.009615129046882364,0.01707175973630134,-1.2991207617612062,12.153488851183003,False
mkt,unlev,100,unlev_x100,"Unlevered 1.00x, -100 best days",,1.0,26133,0.03943106508314389,0.16294473518551317,0.1265443090037985,0.16602197691968593,-0.9871973468021961,0.039942434216291164,47.50269106158097,3.8607863633638337,46.80869960258727,-0.1741,0.0417,-0.4063148592405069,1929-09-03,1942-04-28,1980-11-13,True,18699.0,14079.0,13768,10048,18699.0,7,3,2,0.7374583859488004,-0.030768,-0.015700000000000002,0.0007000000000000001,0.0146,0.026099999999999998,-1.2964600524237957,12.154411533515862,False
mkt,full,150,full_x150,"Full Kelly, -150 best days",1.0,2.6163616454101675,26083,-0.05599685753144859,0.4203888357234971,0.004827980430448349,0.006240095217547617,-0.9999998562424323,-0.055996865581421786,0.003173892246914835,-5.7527966061262665,0.0032800317406498363,-0.4559934709595332,0.09795192553834027,-0.7948309635251117,1929-09-03,1942-04-28,,False,35303.0,30683.0,25137,21442,35303.0,4,1,1,0.9634244527086608,-0.08092595288164371,-0.04130015016202166,0.0016698169872461004,0.037413971529365396,0.0639461296383907,-1.4489254224776147,12.530526972510915,False
mkt,half,150,half_x150,"Half Kelly, -150 best days",0.5,1.3081808227050837,26083,0.01014669519126615,0.21019907995593123,0.004827980430448349,0.006240095217547617,-0.9992123600411188,0.01015469343358463,2.7396840896381556,1.0078426180004199,2.723941153841857,-0.2278467354797666,0.04902596276917014,-0.5249128096782889,1929-09-03,1942-04-28,1996-10-02,True,24501.0,19881.0,17751,14056,24501.0,3,2,2,0.919526128129433,-0.04035987073143436,-0.020569256998740324,0.0008849084936230502,0.01871377694255231,0.032025159328812745,-1.450886200225509,12.531819427812662,False
mkt,quarter,150,quarter_x150,"Quarter Kelly, -150 best days",0.25,0.6540904113525419,26083,0.02677552427503629,0.1051112446346275,0.004827980430448349,0.006240095217547617,-0.9658988413648403,0.02772083693278043,13.983079739122335,2.6378480086186085,13.773752981308187,-0.11377336773988331,0.024562981384585066,-0.3030943036373841,1929-09-03,1942-04-28,1982-11-03,True,19419.0,14799.0,14235,10540,19419.0,3,2,2,0.7479967795115593,-0.020129393710793544,-0.010234628499370162,0.0004924542468115251,0.00942267480007084,0.01606535329181072,-1.454518622438847,12.531055540742699,False
mkt,unlev,150,unlev_x150,"Unlevered 1.00x, -150 best days",,1.0,26083,0.019396072700722813,0.16068443194521378,0.004827980430448402,0.006240095217547687,-0.995145867849915,0.019490683051952413,6.805803733887361,1.917775738443902,6.731580218601019,-0.1741,0.037500000000000006,-0.42936837681709616,1929-09-03,1942-04-28,1991-02-13,True,22443.0,17823.0,16326,12631,22443.0,3,2,2,0.8457232680289843,-0.030817999999999998,-0.015700000000000002,0.0007,0.0144,0.0245,-1.45204697394378,12.53205998193829,False
mkt,full,200,full_x200,"Full Kelly, -200 best days",1.0,2.6163616454101675,26033,-0.09742946295910367,0.41559997602444404,-0.10768558556819487,-0.1374625370215006,-0.9999999858167749,-0.09742946434096769,3.5947789249001e-05,-10.233442970848035,3.886473186061575e-05,-0.4559934709595332,0.08879465977940468,-0.7948309635251117,1929-09-03,1942-04-28,,False,35303.0,30683.0,25087,21418,35303.0,4,1,1,0.9633542042791842,-0.08114922521072575,-0.04133851399748065,0.0015698169872461003,0.03689069920028336,0.061564775094485824,-1.5724598788985913,12.917272308330347,False
mkt,half,200,half_x200,"Half Kelly, -200 best days",0.5,1.3081808227050837,26033,-0.012701734960413472,0.2078078675999916,-0.10768558556819487,-0.1374625370215006,-0.999758923395977,-0.012704797789919463,0.27911280045424747,-1.2761392761656891,0.28184161651362516,-0.2278467354797666,0.04444732988970234,-0.5249128096782889,1929-09-03,1942-04-28,,False,35303.0,30683.0,25087,21418,35303.0,1,1,1,0.9621634079821765,-0.040398234566893336,-0.020581584231648523,0.0008849084936230502,0.01854534960014168,0.030863205629513422,-1.5742601839421735,12.918428686403553,False
mkt,quarter,200,quarter_x200,"Quarter Kelly, -200 best days",0.25,0.6540904113525419,26033,0.014990590040674833,0.10391893501165725,-0.1076855855681949,-0.13746253702150063,-0.9812624810355219,0.015276840122181508,4.416769010284844,1.4854084356356172,4.367032444377432,-0.11377336773988331,0.022273664944851168,-0.3030943036373841,1929-09-03,1942-04-28,1987-06-15,True,21104.0,16484.0,15369,11700,21104.0,3,2,2,0.8243767525832597,-0.020179393710793542,-0.010246955732278362,0.0004924542468115251,0.009326447676665078,0.01546126288045818,-1.577539655560601,12.917208060507495,False
mkt,unlev,200,unlev_x200,"Unlevered 1.00x, -200 best days",,1.0,26033,0.0016446810990633194,0.1588580767006215,-0.10768558556819487,-0.13746253702150055,-0.9980458617687995,0.0016479013260457915,1.178278010233692,0.16405405928149835,1.1768052053272944,-0.1741,0.034,-0.42936837681709616,1929-09-03,1942-04-28,1997-10-07,True,24871.0,20251.0,17974,14305,24871.0,3,2,2,0.9303192102331655,-0.030867999999999996,-0.015700000000000002,0.0007,0.014199999999999999,0.0236,-1.575316730152997,12.918554683030711,False
mkt,full,300,full_x300,"Full Kelly, -300 best days",1.0,2.6163616454101675,25933,-0.16575105979915755,0.4084022635903195,-0.3092122897289875,-0.3871254288104909,-0.999999999261433,-0.16575105992157582,1.3897163491896324e-08,-18.09158108296512,1.709147275326626e-08,-0.4559934709595332,0.07378139840056672,-0.8105616694357715,1929-09-03,2011-12-19,,False,35303.0,5246.0,24989,3584,35303.0,4,1,1,0.9652951837427216,-0.08134429431756246,-0.041477131860746266,0.0015698169872461003,0.0359441545421193,0.056775047705400636,-1.7530221249047282,13.640772577542705,False
mkt,half,300,half_x300,"Half Kelly, -300 best days",0.5,1.3081808227050837,25933,-0.051420996361382844,0.204213141488076,-0.3092122897289875,-0.3871254288104909,-0.9999434349057137,-0.051423905159426755,0.005143307012600056,-5.270059018734791,0.0054628167065661135,-0.2278467354797666,0.03689069920028336,-0.5438736762985505,1929-09-03,1942-04-28,,False,35303.0,30683.0,24989,21357,35303.0,1,1,1,0.9620946284656615,-0.04060070001347498,-0.020643220396189536,0.0007924542468115252,0.018022077271059648,0.028477662066373765,-1.7546317030198408,13.641465759897752,False
mkt,quarter,300,quarter_x300,"Quarter Kelly, -300 best days",0.25,0.6540904113525419,25933,-0.0052659905609023245,0.10212582383399844,-0.3092122897289875,-0.3871254288104909,-0.9909889612046002,-0.005313874086449188,0.5903178081619945,-0.5270942292047719,0.5938868942837771,-0.11377336773988331,0.01854912247673592,-0.31731776011670676,1929-09-03,1942-04-28,1998-07-16,True,25153.0,20533.0,18111,14479,25153.0,3,2,2,0.9291636139281996,-0.020292653338485244,-0.010269219458234908,0.00046163616454101674,0.009061038635529824,0.014293761926350158,-1.7574802754804493,13.638987441983577,False
mkt,unlev,300,unlev_x300,"Unlevered 1.00x, -300 best days",,1.0,25933,-0.02863689101516393,0.15611217193227522,-0.30921228972898757,-0.3871254288104909,-0.9993581405716443,-0.02865528367916561,0.05499237630591712,-2.900560715976967,0.05684710584823622,-0.1741,0.028200000000000003,-0.4469552014121886,1929-09-03,1942-04-28,,False,35303.0,30683.0,24989,21357,35303.0,1,1,1,0.9620175066517564,-0.031036,-0.015700000000000002,0.0007,0.0138,0.0218,-1.7555624783301174,13.641251173119315,False
mkt,full,500,full_x500,"Full Kelly, -500 best days",1.0,2.6163616454101675,25733,-0.2683923745328029,0.39884699642584587,-0.6549152384054832,-0.7976348666948909,-0.9999999999999967,-0.2683923745328038,2.8239738677112726e-14,-31.198046235971773,5.118076381515252e-14,-0.4559934709595332,0.05965304551535181,-0.8105616694357715,1929-09-03,2022-12-28,,False,35303.0,1219.0,24789,829,35303.0,4,1,1,0.9650254536975867,-0.0813688471722562,-0.04160015016202166,0.0014081808227050837,0.033914083527066416,0.049965060282027955,-1.9861720154233102,14.854382814076288,False
