series,variant,from_id,to_id,from_frac,from_X,to_frac,to_X,dist_all,dist_risk,dist_return,diff_cagr,diff_ann_vol,diff_sharpe,diff_sortino,diff_max_dd,diff_calmar,diff_mdd_duration_days,diff_log_final_wealth,diff_worst_month
mkt,primary,full_x0,full_x0,full,0,full,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mkt,primary,full_x0,half_x0,full,0,half,0,0.7651358632606448,1.1249512007004034,0.5169147593269432,-0.030830438607292288,-0.22856624038672793,0.0,0.0,0.07909057998762614,-0.02071100828666922,-3048.0,-2.7152038968775383,0.24549696021973788
mkt,primary,full_x0,quarter_x0,full,0,quarter,0,1.595651100002894,2.1981452682925906,1.145512194083349,-0.06778284494626961,-0.3428428910266376,0.0,0.0,0.31600770604711204,-0.03016236293526775,-3897.0,-6.069964967024969,0.4106864685030651
mkt,primary,full_x0,full_x10,full,0,full,10,0.46065906521403127,0.15429390730232087,0.5611651281916358,-0.02790337856727232,-0.008785769034283464,-0.05316883488878005,-0.08624280789855987,-0.0016268247640113254,-0.02819450215206372,579.0,-2.4542246455429595,-0.05554796977389864
mkt,primary,full_x0,half_x10,full,0,half,10,0.9129286508793709,1.040914885875347,0.8230876494314509,-0.04532957872112961,-0.23295734921759445,-0.05316883488878005,-0.08624280789855987,0.05939726543019841,-0.03888703353367194,-1102.0,-4.018116727960484,0.20686775360590648
mkt,primary,full_x0,quarter_x10,full,0,quarter,10,1.6044055573278988,2.0466747353333545,1.3076334141343384,-0.0750453208097903,-0.3450365420596171,-0.05316883488878005,-0.08624280789855987,0.27393458079570754,-0.04715960373538129,-2929.0,-6.7427615634917695,0.3883888070613516
mkt,primary,full_x0,full_x25,full,0,full,25,0.9841805811994104,0.30558904422898026,1.182962822345156,-0.05831876119133926,-0.015489251064849607,-0.11518468914438285,-0.17935232715022897,-0.0029596581572440828,-0.05878276443201169,4275.0,-5.199960943852849,-0.05554796977389864
mkt,primary,full_x0,half_x25,full,0,half,25,1.1630346571448655,1.0233372282714628,1.2223472989045019,-0.06107112268945139,-0.23630681468120893,-0.11518468914438285,-0.17935232715022897,0.030046438764418815,-0.05853156615695215,750.0,-5.452196130208193,0.20686775360590648
mkt,primary,full_x0,quarter_x25,full,0,quarter,25,1.6466788362418148,1.8640640358768568,1.5518824567552143,-0.0829069552599269,-0.34670889860829,-0.11518468914438285,-0.17935232715022897,0.2033810717371679,-0.06617417196085915,111.0,-7.476211699179029,0.3883888070613516
mkt,primary,full_x0,full_x100,full,0,full,100,2.89765403072309,1.6760949522447977,3.2894101490499112,-0.15707021983844136,-0.03080136426291674,-0.3396038213733062,-0.4910211888284835,-0.003322854502775918,-0.15756734814585574,26383.0,-14.67410617543366,-0.16273823690511025
mkt,primary,full_x0,half_x100,full,0,half,100,2.2596315453506812,1.1697012560651192,2.682512948340528,-0.11297193058722652,-0.2439552234187784,-0.3396038213733062,-0.4910211888284835,-0.0005447464607167829,-0.11336852691612082,11619.0,-10.331906226656233,0.11062046196850872
mkt,primary,full_x0,quarter_x100,full,0,quarter,100,2.2712456289605156,1.607813249895106,2.633296871417463,-0.10902667398240473,-0.3505252104206492,-0.3396038213733062,-0.4910211888284835,0.061269921686641804,-0.10676123175665803,6641.0,-9.952480311092806,0.3257850269592947
mkt,primary,half_x0,full_x0,half,0,full,0,0.7651358632606448,1.1249512007004034,0.5169147593269432,0.030830438607292288,0.22856624038672793,0.0,0.0,-0.07909057998762614,0.02071100828666922,3048.0,2.7152038968775383,-0.24549696021973788
mkt,primary,half_x0,half_x0,half,0,half,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mkt,primary,half_x0,quarter_x0,half,0,quarter,0,0.9333097884937754,1.234882166409935,0.6286301078707007,-0.036952406338977326,-0.11427665063990969,0.0,0.0,0.2369171260594859,-0.009451354648598531,-849.0,-3.354761070147431,0.16518950828332724
mkt,primary,half_x0,full_x10,half,0,full,10,0.67846086141005,1.2022597071565722,0.3142260932203759,0.0029270600400199687,0.21978047135244447,-0.05316883488878005,-0.08624280789855987,-0.08071740475163747,-0.0074834938653945,3627.0,0.2609792513345788,-0.3010449299936365
mkt,primary,half_x0,half_x10,half,0,half,10,0.33435000249821584,0.18133549983190464,0.39565400043833193,-0.014499140113837322,-0.004391108830866519,-0.05316883488878005,-0.08624280789855987,-0.019693314557427732,-0.018176025247002722,1946.0,-1.3029128310829456,-0.0386292066138314
mkt,primary,half_x0,quarter_x10,half,0,quarter,10,0.9276561396955412,1.0512042599562976,0.8148138779669777,-0.044214882202498015,-0.11647030167288915,-0.05316883488878005,-0.08624280789855987,0.1948440008080814,-0.026448595448712073,119.0,-4.027557666614231,0.1428918468416137
mkt,primary,half_x0,full_x25,half,0,full,25,0.9428960628035448,1.2505812709161241,0.8061070886736744,-0.027488322584046973,0.21307698932187832,-0.11518468914438285,-0.17935232715022897,-0.08205023814487022,-0.03807175614534247,7323.0,-2.484757046975311,-0.3010449299936365
mkt,primary,half_x0,half_x25,half,0,half,25,0.7048046482442376,0.3392595776606877,0.8342185598880751,-0.030240684082159103,-0.007740574294480995,-0.11518468914438285,-0.17935232715022897,-0.04904414122320733,-0.037820557870282934,3798.0,-2.736992233330655,-0.0386292066138314
mkt,primary,half_x0,quarter_x25,half,0,quarter,25,1.0100168171100046,0.8255151529120514,1.1055669031568423,-0.052076516652634616,-0.11814265822156211,-0.11518468914438285,-0.17935232715022897,0.12429049174954176,-0.04546316367418993,3159.0,-4.76100780230149,0.1428918468416137
mkt,primary,half_x0,full_x100,half,0,full,100,2.712366563815263,2.249893621288389,2.8786954395669677,-0.12623978123114907,0.1977648761238112,-0.3396038213733062,-0.4910211888284835,-0.08241343449040206,-0.13685633985918652,29431.0,-11.958902278556122,-0.4082351971248481
mkt,primary,half_x0,half_x100,half,0,half,100,1.9453476404123877,1.0336210322468564,2.3386780215785303,-0.08214149197993423,-0.015388983032050468,-0.3396038213733062,-0.4910211888284835,-0.07963532644834292,-0.0926575186294516,14667.0,-7.616702329778695,-0.13487649825122916
mkt,primary,half_x0,quarter_x100,half,0,quarter,100,1.8480371200973158,0.7731741008810631,2.2976378631382492,-0.07819623537511244,-0.12195897003392128,-0.3396038213733062,-0.4910211888284835,-0.017820658300984338,-0.0860502234699888,9689.0,-7.237276414215268,0.0802880667395568
mkt,primary,quarter_x0,full_x0,quarter,0,full,0,1.595651100002894,2.1981452682925906,1.145512194083349,0.06778284494626961,0.3428428910266376,0.0,0.0,-0.31600770604711204,0.03016236293526775,3897.0,6.069964967024969,-0.4106864685030651
mkt,primary,quarter_x0,half_x0,quarter,0,half,0,0.9333097884937754,1.234882166409935,0.6286301078707007,0.036952406338977326,0.11427665063990969,0.0,0.0,-0.2369171260594859,0.009451354648598531,849.0,3.354761070147431,-0.16518950828332724
mkt,primary,quarter_x0,quarter_x0,quarter,0,quarter,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mkt,primary,quarter_x0,full_x10,quarter,0,full,10,1.4449542789312835,2.265613289443772,0.7456368032736701,0.039879466378997294,0.33405712199235416,-0.05316883488878005,-0.08624280789855987,-0.31763453081112336,0.0019678607832040312,4476.0,3.6157403214820096,-0.46623443827696376
