series,frac,X,scenario,label,kelly_mult,leverage,n_obs,cagr,ann_vol,sharpe,sortino,max_dd,calmar,final_wealth,log_final_wealth,final_wealth_raw,worst_day,best_day,worst_month,mdd_peak,mdd_trough,mdd_recovery,mdd_recovered,mdd_duration_days,mdd_recovery_days,mdd_duration_tdays,mdd_recovery_tdays,longest_underwater_days,n_dd_20,n_dd_35,n_dd_50,pct_days_below_20,q01,q05,q50,q95,q99,skew,kurt,wiped_out,d_cagr,pct_cagr,d_ann_vol,pct_ann_vol,d_sharpe,pct_sharpe,d_sortino,pct_sortino,d_max_dd,pct_max_dd,d_calmar,pct_calmar,d_final_wealth,pct_final_wealth,d_worst_day,pct_worst_day,d_worst_month,pct_worst_month,d_mdd_duration_days,pct_mdd_duration_days,d_mdd_recovery_days,pct_mdd_recovery_days,d_longest_underwater_days,pct_longest_underwater_days,d_pct_days_below_20,pct_pct_days_below_20
mkt,full,0,full_x0,"Full Kelly, original",1.0,2.6163616454101675,26233,0.14903182447736774,0.4571129145667999,0.46614813037710473,0.6570431657481695,-0.9966754611485887,0.14952893924529906,1054300.8838567971,13.868388435899895,1054300.8838568085,-0.4559934709595332,0.4099838698357733,-0.6104393148826501,1929-09-03,1932-07-08,1954-02-04,True,8920.0,7881.0,7107,6262,8920.0,32,14,9,0.6196393855068044,-0.08061012769786792,-0.041238513997480644,0.0017698169872461004,0.03924542468115251,0.07803557703322302,-0.16136801291767994,16.134456146026313,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mkt,half,0,half_x0,"Half Kelly, original",0.5,1.3081808227050837,26233,0.11820138587007545,0.228546674180072,0.46614813037710473,0.6570431657481695,-0.9175848811609626,0.12881793095862984,69785.7099319718,11.153184539022357,69785.70993197126,-0.2278467354797666,0.20499193491788664,-0.36494235466291225,1929-09-03,1932-07-08,1945-10-01,True,5872.0,4833.0,4798,3953,5872.0,19,9,4,0.3467007204665879,-0.04027106384893396,-0.020538438916469816,0.0009232723290820335,0.019691894258305746,0.03905178851661153,-0.16403206846925103,16.12979217984354,False,-0.030830438607292288,-0.20687151026574369,-0.22856624038672793,-0.500021401940344,0.0,0.0,0.0,0.0,0.07909057998762614,-0.07935439676269407,-0.02071100828666922,-0.13850836093134622,-984515.1739248254,-0.9338085446000152,0.22814673547976658,-0.5003289520783802,0.24549696021973788,-0.4021643990392916,-3048.0,-0.3417040358744394,-3048.0,-0.38675295013323185,-3048.0,-0.3417040358744394,-0.2729386650402165,-0.44047985235312215
mkt,quarter,0,quarter_x0,"Quarter Kelly, original",0.25,0.6540904113525419,26233,0.08124897953109812,0.1142700235401623,0.46614813037710473,0.6570431657481695,-0.6806677551014767,0.11936657631003131,2436.7573240471997,7.798423468874926,2436.7573240471665,-0.11377336773988331,0.10249596745894332,-0.19975284637958501,1929-09-03,1932-06-01,1943-06-05,True,5023.0,4021.0,4112,3297,5023.0,7,2,1,0.125986353066748,-0.020048575628523035,-0.010203810417099654,0.0005232723290820335,0.009942174252558637,0.019612850554249703,-0.16933866312555826,16.116793934321954,False,-0.06778284494626961,-0.45482127850191656,-0.3428428910266376,-0.7500179498353169,0.0,0.0,0.0,0.0,0.31600770604711204,-0.3170617902872199,-0.03016236293526775,-0.20171588916167615,-1051864.12653275,-0.9976887458207062,0.3422201032196499,-0.7504934281175705,0.4106864685030651,-0.6727719832101817,-3897.0,-0.43688340807174886,-3860.0,-0.4897855602080954,-3897.0,-0.43688340807174886,-0.4936530324400564,-0.7966779452476161
mkt,unlev,0,unlev_x0,"Unlevered 1.00x, original",,1.0,26233,0.10244467074804008,0.17470275413524233,0.46614813037710473,0.6570431657481696,-0.8407399476860208,0.12185060437534798,16923.50490197985,9.736458757215637,16923.504901979693,-0.1741,0.1567,-0.2911037495299549,1929-09-03,1932-07-08,1945-02-06,True,5635.0,4596.0,4613,3768,5635.0,16,5,2,0.25540349940914114,-0.0307,-0.0157,0.0007999999999999999,0.0151,0.029900000000000003,-0.16567074074665789,16.126307820442385,False,-0.04658715372932766,-0.3125986942232092,-0.2824101604315576,-0.6178126922955001,0.0,0.0,1.1102230246251565e-16,2.220446049250313e-16,0.15593551346256795,-0.15645565637069536,-0.027678334869951082,-0.18510353253122036,-1037377.3789548173,-0.9839481260415234,0.2818934709595332,-0.618196287693228,0.31933556535269525,-0.5231241788777707,-3285.0,-0.36827354260089684,-3285.0,-0.4168252759802056,-3285.0,-0.36827354260089684,-0.3642358860976633,-0.5878191325745925
mkt,full,10,full_x10,"Full Kelly, -10 best days",1.0,2.6163616454101675,26223,0.12112844591009542,0.44832714553251646,0.4129792954883247,0.5708003578496096,-0.9983022859126001,0.12133443709323534,90595.85952293735,11.414163790356936,90202.52686188214,-0.4559934709595332,0.22683855465706151,-0.6659872846565488,1929-09-03,1933-03-31,1955-09-06,True,9499.0,8194.0,7502,6451,9499.0,32,14,10,0.6667048011287801,-0.08065245493077611,-0.041238513997480644,0.0017698169872461004,0.039183788516611494,0.07718266853959994,-0.5905465595082936,12.834811687223826,False,-0.02790337856727232,-0.1872310069686477,-0.008785769034283464,-0.01922012866910494,-0.05316883488878005,-0.11405995524591617,-0.08624280789855987,-0.1312589680471844,-0.0016268247640113254,0.0016322512466961925,-0.02819450215206372,-0.18855548828452018,-963705.0243338598,-0.9140702043314963,0.0,0.0,-0.05554796977389864,0.09099671076162097,579.0,0.06491031390134538,313.0,0.039715772110138214,579.0,0.06491031390134538,0.04706541562197564,0.07595613952699387
mkt,half,10,half_x10,"Half Kelly, -10 best days",0.5,1.3081808227050837,26223,0.10370224575623813,0.22415556534920547,0.4129792954883247,0.5708003578496096,-0.9372781957183903,0.11064190571162712,18963.50663742744,9.850271707939411,18892.433778675,-0.2278467354797666,0.11341927732853076,-0.40357156127674365,1929-09-03,1932-07-08,1951-01-29,True,7818.0,6779.0,6297,5454,7818.0,18,8,4,0.4030812645387637,-0.040287227465388056,-0.020538438916469816,0.0009157265758935587,0.019622712340576255,0.03859133426979997,-0.5931209809101889,12.833050823675977,False,-0.04532957872112961,-0.3041603958087049,-0.23295734921759445,-0.5096275817067325,-0.05316883488878005,-0.11405995524591617,-0.08624280789855987,-0.1312589680471844,0.05939726543019841,-0.05959539262835645,-0.03888703353367194,-0.26006359524746303,-1035337.3772193696,-0.9820131928865923,0.22814673547976658,-0.5003289520783802,0.20686775360590648,-0.3388834050534153,-1102.0,-0.12354260089686098,-1102.0,-0.13982997081588633,-1102.0,-0.12354260089686098,-0.21655812096804072,-0.34949056827773683
mkt,quarter,10,quarter_x10,"Quarter Kelly, -10 best days",0.25,0.6540904113525419,26223,0.07398650366757743,0.11207637250718284,0.4129792954883247,0.5708003578496096,-0.7227408803528812,0.10236933550991777,1243.427393116084,7.125626872408126,1240.054474606318,-0.11377336773988331,0.05670963866426538,-0.22205050782129854,1929-09-03,1932-06-01,1946-01-28,True,5991.0,4989.0,4886,4073,5991.0,7,2,1,0.2084429699119094,-0.020058575628523034,-0.010203810417099654,0.0005232723290820335,0.00988053808801762,0.019346686186985408,-0.5981709159161375,12.826499037879987,False,-0.0750453208097903,-0.5035523189289468,-0.3450365420596171,-0.7548168757966591,-0.05316883488878005,-0.11405995524591617,-0.08624280789855987,-0.1312589680471844,0.27393458079570754,-0.27484832472951615,-0.04715960373538129,-0.3153878036813794,-1053057.456463681,-0.9988206142931727,0.3422201032196499,-0.7504934281175705,0.3883888070613516,-0.636244746352903,-2929.0,-0.3283632286995516,-2892.0,-0.3669585078035782,-2929.0,-0.3283632286995516,-0.41119641559489506,-0.6636060024792914
mkt,unlev,10,unlev_x10,"Unlevered 1.00x, -10 best days",,1.0,26223,0.09133584991370292,0.17134697039235033,0.41297929548832457,0.5708003578496094,-0.8711707447236291,0.10484265049864407,6157.421215938184,8.725413335099713,6136.97490994831,-0.1741,0.0867,-0.3227558174124975,1929-09-03,1932-07-08,1950-05-19,True,7563.0,6524.0,6107,5264,7563.0,16,6,2,0.3222362048583305,-0.0307,-0.015700000000000002,0.0007000000000000001,0.015000000000000001,0.029500000000000002,-0.5946915630379411,12.831462274357898,False,-0.05769597456366482,-0.38713861798307814,-0.28576594417444956,-0.6251539500809473,-0.05316883488878016,-0.11405995524591639,-0.08624280789856009,-0.13125896804718473,0.12550471642495964,-0.12592335350599027,-0.04468628874665499,-0.29884709255743525,-1048143.462640859,-0.9941597116058432,0.2818934709595332,-0.618196287693228,0.28768349747015265,-0.47127288570110604,-1357.0,-0.15213004484304937,-1357.0,-0.17218627077782012,-1357.0,-0.15213004484304937,-0.29740318064847393,-0.47996171257775555
mkt,full,25,full_x25,"Full Kelly, -25 best days",1.0,2.6163616454101675,26208,0.09071306328602848,0.4416236635019503,0.3509634412327219,0.4776908385979405,-0.9996351193058328,0.09074617481328737,5816.345904286592,8.668427492047046,5768.495018737023,-0.4559934709595332,0.1779125918878914,-0.6659872846565488,1929-09-03,1942-04-28,1965-10-19,True,13195.0,8575.0,10038,6276,13195.0,26,12,9,0.7544642857142857,-0.08071594578013844,-0.041238513997480644,0.0017698169872461004,0.038983788516611495,0.07535121538781282,-0.8374062373726502,12.079550677559547,False,-0.05831876119133926,-0.3913175014521524,-0.015489251064849607,-0.033884956148151235,-0.11518468914438285,-0.24709889762123616,-0.17935232715022897,-0.27296886490859695,-0.0029596581572440828,0.0029695304766843567,-0.05878276443201169,-0.39311965114378167,-1048484.5379525105,-0.9944832201192799,0.0,0.0,-0.05554796977389864,0.09099671076162097,4275.0,0.47926008968609857,694.0,0.08805989087679222,4275.0,0.47926008968609857,0.13482490020748128,0.21758607241727823
mkt,half,25,half_x25,"Half Kelly, -25 best days",0.5,1.3081808227050837,26208,0.08796070178791635,0.220806099885591,0.3509634412327219,0.4776908385979405,-0.9666290223841699,0.0909973730883469,4519.661161252731,8.416192305691702,4483.555684306919,-0.2278467354797666,0.0889562959439457,-0.40357156127674365,1929-09-03,1933-03-31,1956-02-24,True,9670.0,8365.0,7608,6564,9670.0,18,8,4,0.4564255189255189,-0.040311472890069214,-0.020538438916469816,0.0009157265758935587,0.019536862504829767,0.03773994687739486,-0.839872682442237,12.07902734635619,False,-0.06107112268945139,-0.40978578168534585,-0.23630681468120893,-0.5169550173509183,-0.11518468914438285,-0.24709889762123616,-0.17935232715022897,-0.27296886490859695,0.030046438764418815,-0.030146662515190936,-0.05853156615695215,-0.3914397203134863,-1049781.2226955444,-0.99571312020083,0.22814673547976658,-0.5003289520783802,0.20686775360590648,-0.3388834050534153,750.0,0.0840807174887892,484.0,0.061413526202258595,750.0,0.0840807174887892,-0.1632138665812855,-0.2634013757014373
