series,X,scheme,regime,frac,level,f_used,f_base,f_stressed,cagr_median,cagr_mean,cagr_p1,cagr_p5,cagr_p25,cagr_p75,cagr_p95,ann_vol_median,mdd_median,mdd_p5,mdd_mean,tw_median,tw_p1,tw_p5,tw_p25,tw_p75,tw_p95,tw_mean,p_lose_money,p_below_tbills,p_dd_50,p_dd_90,p_ruin_99
mkt,0,block20,full,0.25,full_0.25,0.6540904113525419,2.6163616454101675,2.6163616454101675,0.08103839579608274,0.0812519412816351,0.021849167991656232,0.03902428505704835,0.06374423096311943,0.0987347356217419,0.1241101356961671,0.11382812833007912,-0.2949091994939945,-0.4512157444313861,-0.3055611004333351,7.015004956235552,1.7166031099246992,2.604008891300887,4.687383043367368,10.527405839320856,18.630375081725106,8.373882626064558,0.0005,0.0279,0.0194,0.0,0.0
mkt,0,block20,full,0.5,full_0.50,1.3081808227050837,2.6163616454101675,2.6163616454101675,0.11774184772389673,0.11884924960062881,-0.002619310567564683,0.03181527384076813,0.08195876975927274,0.1548477838083288,0.2094704774846562,0.2276622954930883,-0.5527060443017873,-0.764523949498716,-0.5614415939921669,16.16358812795216,0.9365349404886576,2.188007580432488,7.165851193011395,36.5694673109023,116.11325467653603,33.3594580791192,0.01155,0.05155,0.6799,0.0015,0.0
mkt,0,block20,full,0.75,full_0.75,1.9622712340576256,2.6163616454101675,2.6163616454101675,0.14035184193629646,0.1432237095358607,-0.04131486912597634,0.00935241713045396,0.085563333719257,0.19889558696575038,0.28565167467161207,0.34150670602645505,-0.7360021511946905,-0.9162100353702178,-0.7344582410768897,26.666849484880323,0.34825697845226145,1.2620329230242706,7.787161311352032,93.22535533440227,534.6665286685138,141.41399678265856,0.03885,0.0896,0.98425,0.072,0.0
mkt,0,block20,full,1.0,full_1.00,2.6163616454101675,2.6163616454101675,2.6163616454101675,0.14813977312139615,0.15326748651157568,-0.09384016443525432,-0.027195878882502005,0.07384318713091459,0.22852235997904052,0.3495207809516455,0.4553484896674973,-0.8568547379276008,-0.9759689224274575,-0.8454931878265514,31.613243479187204,0.0851373695975228,0.5019206290518997,5.936379484453406,171.62346243211564,1796.757294526768,649.3737579767,0.08575,0.14405,0.9997,0.32885,0.00075
mkt,0,block20,full,1.25,full_1.25,3.2704520567627093,2.6163616454101675,2.6163616454101675,0.13980519864432983,0.14826510288536734,-0.1569616023989272,-0.07693236855913052,0.04744873722043985,0.24194782875136656,0.3992798180901919,0.5691925831621353,-0.9300502009201372,-0.9947036925841274,-0.9136992364125405,26.349103867454627,0.014001801873726008,0.13515691459835064,3.1865407976506104,225.20800633355267,4442.365566693116,3161.2229158134787,0.15195,0.2148,1.0,0.6476,0.0076
mkt,0,block20,full,1.5,full_1.50,3.924542468115251,2.6163616454101675,2.6163616454101675,0.11606790320084426,0.12786752489762215,-0.22991550671417382,-0.13866067783915723,0.005995893407034658,0.2388926733126851,0.4314374063573555,0.6830366917538556,-0.9702080089697132,-0.9991588537373162,-0.9538492482735835,15.569171194169515,0.0014569999458814908,0.023952831770800712,1.1611953029516418,211.7591616294065,7839.873556502545,14973.699817121416,0.23875,0.3043,1.0,0.86545,0.03125
mkt,0,block20,stressed,0.25,stressed_0.25,0.6540904113525419,2.6163616454101675,2.6163616454101675,0.08103839579608274,0.0812519412816351,0.021849167991656232,0.03902428505704835,0.06374423096311943,0.0987347356217419,0.1241101356961671,0.11382812833007912,-0.2949091994939945,-0.4512157444313861,-0.3055611004333351,7.015004956235552,1.7166031099246992,2.604008891300887,4.687383043367368,10.527405839320856,18.630375081725106,8.373882626064558,0.0005,0.0279,0.0194,0.0,0.0
mkt,0,block20,stressed,0.5,stressed_0.50,1.3081808227050837,2.6163616454101675,2.6163616454101675,0.11774184772389673,0.11884924960062881,-0.002619310567564683,0.03181527384076813,0.08195876975927274,0.1548477838083288,0.2094704774846562,0.2276622954930883,-0.5527060443017873,-0.764523949498716,-0.5614415939921669,16.16358812795216,0.9365349404886576,2.188007580432488,7.165851193011395,36.5694673109023,116.11325467653603,33.3594580791192,0.01155,0.05155,0.6799,0.0015,0.0
mkt,0,block20,stressed,0.75,stressed_0.75,1.9622712340576256,2.6163616454101675,2.6163616454101675,0.14035184193629646,0.1432237095358607,-0.04131486912597634,0.00935241713045396,0.085563333719257,0.19889558696575038,0.28565167467161207,0.34150670602645505,-0.7360021511946905,-0.9162100353702178,-0.7344582410768897,26.666849484880323,0.34825697845226145,1.2620329230242706,7.787161311352032,93.22535533440227,534.6665286685138,141.41399678265856,0.03885,0.0896,0.98425,0.072,0.0
mkt,0,block20,stressed,1.0,stressed_1.00,2.6163616454101675,2.6163616454101675,2.6163616454101675,0.14813977312139615,0.15326748651157568,-0.09384016443525432,-0.027195878882502005,0.07384318713091459,0.22852235997904052,0.3495207809516455,0.4553484896674973,-0.8568547379276008,-0.9759689224274575,-0.8454931878265514,31.613243479187204,0.0851373695975228,0.5019206290518997,5.936379484453406,171.62346243211564,1796.757294526768,649.3737579767,0.08575,0.14405,0.9997,0.32885,0.00075
