series,frac,metric,target,nearest_X,nearest_value,abs_gap,rel_gap,value_full_x0,value_full_x10,value_full_x25,value_full_x100
mkt,half,cagr,0.11820138587007545,10,0.12112844591009542,0.0029270600400199687,0.024763330975131996,0.14903182447736774,0.12112844591009542,0.09071306328602848,-0.00803839536107363
mkt,half,ann_vol,0.228546674180072,100,0.4263115503038832,0.1977648761238112,0.8653150470612063,0.4571129145667999,0.44832714553251646,0.4416236635019503,0.4263115503038832
mkt,half,sharpe,0.46614813037710473,0,0.46614813037710473,0.0,0.0,0.46614813037710473,0.4129792954883247,0.3509634412327219,0.12654430900379854
mkt,half,sortino,0.6570431657481695,0,0.6570431657481695,0.0,0.0,0.6570431657481695,0.5708003578496096,0.4776908385979405,0.16602197691968595
mkt,half,max_dd,-0.9175848811609626,0,-0.9966754611485887,0.07909057998762614,0.08619429287845043,-0.9966754611485887,-0.9983022859126001,-0.9996351193058328,-0.9999983156513647
mkt,half,calmar,0.12881793095862984,10,0.12133443709323534,0.0074834938653945,0.05809357291880305,0.14952893924529906,0.12133443709323534,0.09074617481328737,-0.008038408900556692
mkt,half,mdd_duration_days,5872.0,0,8920.0,3048.0,0.5190735694822888,8920.0,9499.0,13195.0,35303.0
mkt,half,worst_month,-0.36494235466291225,0,-0.6104393148826501,0.24549696021973788,0.6727006528099404,-0.6104393148826501,-0.6659872846565488,-0.6659872846565488,-0.7731775517877604
mkt,half,log_final_wealth,11.153184539022357,10,11.414163790356936,0.2609792513345788,0.02339952776908461,13.868388435899895,11.414163790356936,8.668427492047046,-0.8057177395337651
mkt,quarter,cagr,0.08124897953109812,25,0.09071306328602848,0.009464083754930352,0.116482493805451,0.14903182447736774,0.12112844591009542,0.09071306328602848,-0.00803839536107363
mkt,quarter,ann_vol,0.1142700235401623,100,0.4263115503038832,0.3120415267637209,2.730738273227433,0.4571129145667999,0.44832714553251646,0.4416236635019503,0.4263115503038832
mkt,quarter,sharpe,0.46614813037710473,0,0.46614813037710473,0.0,0.0,0.46614813037710473,0.4129792954883247,0.3509634412327219,0.12654430900379854
mkt,quarter,sortino,0.6570431657481695,0,0.6570431657481695,0.0,0.0,0.6570431657481695,0.5708003578496096,0.4776908385979405,0.16602197691968595
mkt,quarter,max_dd,-0.6806677551014767,0,-0.9966754611485887,0.31600770604711204,0.46426131350970246,-0.9966754611485887,-0.9983022859126001,-0.9996351193058328,-0.9999983156513647
mkt,quarter,calmar,0.11936657631003131,10,0.12133443709323534,0.0019678607832040312,0.016485860984174483,0.14952893924529906,0.12133443709323534,0.09074617481328737,-0.008038408900556692
mkt,quarter,mdd_duration_days,5023.0,0,8920.0,3897.0,0.7758311765876966,8920.0,9499.0,13195.0,35303.0
mkt,quarter,worst_month,-0.19975284637958501,0,-0.6104393148826501,0.4106864685030651,2.055973048427298,-0.6104393148826501,-0.6659872846565488,-0.6659872846565488,-0.7731775517877604
mkt,quarter,log_final_wealth,7.798423468874926,25,8.668427492047046,0.87000402317212,0.1115615260756845,13.868388435899895,11.414163790356936,8.668427492047046,-0.8057177395337651
scv,half,cagr,0.17665601313258292,10,0.1888937439845859,0.01223773085200297,0.06927435208683429,0.23037185788218614,0.1888937439845859,0.15218349813651197,0.02101976364745206
scv,half,ann_vol,0.292103996474128,100,0.5397606260940918,0.24765662961996382,0.8478371833639019,0.5842328561922139,0.5669257359646858,0.5599244640051014,0.5397606260940918
scv,half,sharpe,0.5956293781096133,0,0.5956293781096133,0.0,0.0,0.5956293781096133,0.5401648852905355,0.4847323041974235,0.26036522356039127
scv,half,sortino,0.8471708592905232,0,0.8471708592905232,0.0,0.0,0.8471708592905232,0.7453731318369315,0.660425365334977,0.34145865385865465
scv,half,max_dd,-0.9588493844300482,0,-0.9992356515754022,0.04038626714535398,0.04211951094838536,-0.9992356515754022,-0.9999378629402986,-0.9999856369106833,-0.9999999846867265
scv,half,calmar,0.18423749965443156,10,0.18890548201579982,0.004667982361368256,0.02533676569712378,0.23054807694159052,0.18890548201579982,0.15218568399308388,0.021019763969333458
scv,half,mdd_duration_days,2894.0,0,7995.0,5101.0,1.7626123013130615,7995.0,10936.0,13140.0,20849.0
scv,half,worst_month,-0.45870460322554873,0,-0.72298508116512,0.2642804779395712,0.5761452492109009,-0.72298508116512,-0.7643215716663103,-0.8100678774349465,-0.8840752459046005
scv,half,log_final_wealth,16.24003901233824,10,17.272954651076027,1.0329156387377871,0.06360302693565192,20.6964534246431,17.272954651076027,14.141837489699059,2.076658560014773
scv,quarter,cagr,0.11372951802957862,25,0.15218349813651197,0.03845398010693335,0.3381178499053543,0.23037185788218614,0.1888937439845859,0.15218349813651197,0.02101976364745206
scv,quarter,ann_vol,0.14604462824446368,100,0.5397606260940918,0.39371599784962813,2.6958608651499874,0.5842328561922139,0.5669257359646858,0.5599244640051014,0.5397606260940918
