series,X,base_kelly_emp,treat_best_kelly_emp,rand_mean,rand_median,rand_sd,rand_p5,rand_p95,rand_min,rand_max,treat_pctile_in_null,treat_z,base_kelly_gauss,treat_best_kelly_gauss,rand_gauss_mean,rand_gauss_sd,rand_gauss_p5,rand_gauss_p95,B,seed
mkt,1,2.62,2.58,2.61742,2.62,0.0050947598853278075,2.61,2.62,2.59,2.65,0.0,-7.344801490599067,2.66801337253739,2.6377649653730906,2.668097856832868,0.0037054965685647348,2.6633102346135646,2.6740358194929947,2000,20260907
mkt,5,2.62,2.47,2.616145,2.62,0.008397870987253855,2.61,2.63,2.57,2.72,0.0,-17.402625048874427,2.66801337253739,2.5315926768704817,2.6677595868507553,0.008148274338600369,2.656130479162704,2.680740079287621,2000,20260907
mkt,10,2.62,2.35,2.61665,2.62,0.01131996337385387,2.6,2.63,2.58,2.72,0.0,-23.555729925406915,2.66801337253739,2.410036092205047,2.668301834910978,0.011507165218862159,2.650997397718414,2.687317305160966,2000,20260907
mkt,20,2.62,2.13,2.6163600000000002,2.62,0.015380789457702474,2.59,2.64,2.56,2.74,0.0,-31.621263741858087,2.66801337253739,2.1839570537187925,2.6679826930512363,0.015717009710318967,2.644312454486702,2.694014378453414,2000,20260907
mkt,50,2.62,1.56,2.616295,2.62,0.02374036177880816,2.58,2.65,2.5300000000000002,2.72,0.0,-44.49363534733081,2.66801337253739,1.5971047322329353,2.6679947852662615,0.024539617747902656,2.6293519585462115,2.707778290451007,2000,20260907
mkt,100,2.62,0.77,2.6160900000000002,2.62,0.03521266627128607,2.56,2.67,2.5100000000000002,2.77,0.0,-52.42687349425118,2.66801337253739,0.7766482809817369,2.6677172419444832,0.0365361437118105,2.608886809928317,2.727877245816248,2000,20260907
mkt,200,2.62,0.0,2.61838,2.62,0.04883306189424317,2.54,2.7,2.45,2.79,0.0,-53.61900111179954,2.66801337253739,-0.677958422741798,2.670001880939661,0.050686469070794944,2.5869531930195286,2.753465702186163,2000,20260907
mkt,500,2.62,0.0,2.61963,2.62,0.07826701708243065,2.5,2.75,2.3000000000000003,2.99,0.0,-33.47042084459423,2.66801337253739,-4.2965673547035355,2.671507365180482,0.08132241972362585,2.5438232386943795,2.8056754176150736,2000,20260907
scv,1,2.7800000000000002,2.75,2.7802400000000005,2.7800000000000002,0.002889043662986637,2.7800000000000002,2.7800000000000002,2.77,2.84,0.0,-10.467131524325586,2.8342787153391558,2.81914283367733,2.8343296323364955,0.0030605732215606384,2.830495667260455,2.838735384630475,2000,20260907
scv,5,2.7800000000000002,2.64,2.7799300000000002,2.7800000000000002,0.007100726030137877,2.77,2.79,2.74,2.88,0.0,-19.70643556815035,2.8342787153391558,2.738162805432941,2.8339507428537964,0.006766036444937958,2.8239931811252634,2.844253981889426,2000,20260907
scv,10,2.7800000000000002,2.56,2.780345,2.7800000000000002,0.00950663784318835,2.77,2.8000000000000003,2.75,2.86,0.0,-23.178015575493973,2.8342787153391558,2.648850945768921,2.8345480919703654,0.00964682188884841,2.8208067195935493,2.8508027037696175,2000,20260907
scv,20,2.7800000000000002,2.4,2.7797250000000004,2.7800000000000002,0.012690740815698107,2.7600000000000002,2.8000000000000003,2.74,2.83,0.0,-29.921421098624194,2.8342787153391558,2.4860680735973637,2.8339772360903672,0.012871955508785405,2.8143379232090355,2.8560022336964144,2000,20260907
scv,50,2.7800000000000002,1.96,2.77987,2.7800000000000002,0.019894245160227798,2.75,2.81,2.71,2.85,0.0,-41.211415331257136,2.8342787153391558,2.028145149288483,2.834079577239351,0.02060853134701649,2.801485457296322,2.8697733502743548,2000,20260907
scv,100,2.7800000000000002,1.31,2.780855,2.7800000000000002,0.028555676989771583,2.74,2.83,2.69,2.88,0.0,-51.50832181379725,2.8342787153391558,1.3410960691203224,2.835031053304939,0.029786499350207434,2.7875997656840403,2.885082911410484,2000,20260907
scv,200,2.7800000000000002,0.1,2.78117,2.7800000000000002,0.04047777569435577,2.72,2.85,2.65,2.96,0.0,-66.23807642606862,2.8342787153391558,0.09856576022448131,2.8354234856423046,0.04214134046276343,2.7690997359791307,2.9060553536694016,2000,20260907
scv,500,2.7800000000000002,0.0,2.781275,2.7800000000000002,0.06404432225112777,2.68,2.89,2.49,3.06,0.0,-43.42734690975708,2.8342787153391558,-3.0074575202102367,2.8355730136935664,0.0667260628217466,2.729342012974057,2.945490965125796,2000,20260907
