date,series,nav_full_x0,dd_full_x0,nav_half_x0,dd_half_x0,nav_quarter_x0,dd_quarter_x0,nav_full_x10,dd_full_x10,nav_half_x10,dd_half_x10,nav_quarter_x10,dd_quarter_x10,nav_full_x25,dd_full_x25,nav_half_x25,dd_half_x25,nav_quarter_x25,dd_quarter_x25,nav_full_x100,dd_full_x100,nav_half_x100,dd_half_x100,nav_quarter_x100,dd_quarter_x100,wf_f_x0,wf_f_x10,wf_f_x25,wf_f_x100
1927-05-31,mkt,1.60267,-0.054206,1.29108,-0.0267004,1.15364,-0.0129481,1.60267,-0.054206,1.29108,-0.0267004,1.15364,-0.0129481,1.60267,-0.054206,1.29108,-0.0267004,1.15364,-0.0129481,1.60267,-0.054206,1.29108,-0.0267004,1.15364,-0.0129481,,,,
1927-06-30,mkt,1.50615,-0.0770764,1.25399,-0.0381346,1.13856,-0.0184388,1.50615,-0.0770764,1.25399,-0.0381346,1.13856,-0.0184388,1.50615,-0.0770764,1.25399,-0.0381346,1.13856,-0.0184388,1.50615,-0.0770764,1.25399,-0.0381346,1.13856,-0.0184388,,,,
1927-07-31,mkt,1.8121,-0.0558604,1.37761,-0.0269059,1.19494,-0.0125181,1.8121,-0.0558604,1.37761,-0.0269059,1.19494,-0.0125181,1.8121,-0.0558604,1.37761,-0.0269059,1.19494,-0.0125181,1.8121,-0.0558604,1.37761,-0.0269059,1.19494,-0.0125181,,,,
1927-08-31,mkt,1.90865,-0.0818002,1.41713,-0.0409384,1.21389,-0.0202145,1.90865,-0.0818002,1.41713,-0.0409384,1.21389,-0.0202145,1.90865,-0.0818002,1.41713,-0.0409384,1.21389,-0.0202145,1.90865,-0.0818002,1.41713,-0.0409384,1.21389,-0.0202145,,,,
1927-09-30,mkt,2.1577,-0.0342858,1.50989,-0.0168999,1.25482,-0.00820143,2.1577,-0.0342858,1.50989,-0.0168999,1.25482,-0.00820143,2.1577,-0.0342858,1.50989,-0.0168999,1.25482,-0.00820143,2.1577,-0.0342858,1.50989,-0.0168999,1.25482,-0.00820143,,,,
1927-10-31,mkt,1.92386,-0.142688,1.42901,-0.0721632,1.2226,-0.0354626,1.92386,-0.142688,1.42901,-0.0721632,1.2226,-0.0354626,1.92386,-0.142688,1.42901,-0.0721632,1.2226,-0.0354626,1.92386,-0.142688,1.42901,-0.0721632,1.2226,-0.0354626,,,,
1927-11-30,mkt,2.27094,-0.125696,1.55536,-0.0628746,1.27723,-0.0305378,2.27094,-0.125696,1.55536,-0.0628746,1.27723,-0.0305378,2.27094,-0.125696,1.55536,-0.0628746,1.27723,-0.0305378,2.27094,-0.125696,1.55536,-0.0628746,1.27723,-0.0305378,,,,
1927-12-31,mkt,2.40126,-0.046769,1.60214,-0.0233652,1.29812,-0.0115279,2.40126,-0.046769,1.60214,-0.0233652,1.29812,-0.0115279,2.40126,-0.046769,1.60214,-0.0233652,1.29812,-0.0115279,2.40126,-0.046769,1.60214,-0.0233652,1.29812,-0.0115279,,,,
1928-01-31,mkt,2.36847,-0.0600796,1.59422,-0.0295044,1.29674,-0.0141287,2.36847,-0.0600796,1.59422,-0.0295044,1.29674,-0.0141287,2.36847,-0.0600796,1.59422,-0.0295044,1.29674,-0.0141287,2.36847,-0.0600796,1.59422,-0.0295044,1.29674,-0.0141287,,,,
1928-02-29,mkt,2.26741,-0.118131,1.5626,-0.057999,1.28549,-0.0279677,2.26741,-0.118131,1.5626,-0.057999,1.28549,-0.0279677,2.26741,-0.118131,1.5626,-0.057999,1.28549,-0.0279677,2.26741,-0.118131,1.5626,-0.057999,1.28549,-0.0279677,,,,
1928-03-31,mkt,2.82885,-0.060624,1.74917,-0.0272177,1.36219,-0.011777,2.82885,-0.060624,1.74917,-0.0272177,1.36219,-0.011777,2.82885,-0.060624,1.74917,-0.0272177,1.36219,-0.011777,2.82885,-0.060624,1.74917,-0.0272177,1.36219,-0.011777,,,,
1928-04-30,mkt,3.15205,-0.0547462,1.85046,-0.0272508,1.403,-0.0134067,3.15205,-0.0547462,1.85046,-0.0272508,1.403,-0.0134067,3.15205,-0.0547462,1.85046,-0.0272508,1.403,-0.0134067,3.15205,-0.0547462,1.85046,-0.0272508,1.403,-0.0134067,,,,
1928-05-31,mkt,3.2742,-0.109734,1.89078,-0.0556409,1.42028,-0.0277911,3.2742,-0.109734,1.89078,-0.0556409,1.42028,-0.0277911,3.2742,-0.109734,1.89078,-0.0556409,1.42028,-0.0277911,3.2742,-0.109734,1.89078,-0.0556409,1.42028,-0.0277911,,,,
1928-06-30,mkt,2.85522,-0.25548,1.77427,-0.133661,1.37884,-0.0675369,2.85522,-0.25548,1.77427,-0.133661,1.37884,-0.0675369,2.85522,-0.25548,1.77427,-0.133661,1.37884,-0.0675369,2.85522,-0.25548,1.77427,-0.133661,1.37884,-0.0675369,,,,
1928-07-31,mkt,2.89973,-0.221142,1.79269,-0.110048,1.38817,-0.0528853,2.89973,-0.221142,1.79269,-0.110048,1.38817,-0.0528853,2.89973,-0.221142,1.79269,-0.110048,1.38817,-0.0528853,2.89973,-0.221142,1.79269,-0.110048,1.38817,-0.0528853,,,,
1928-08-31,mkt,3.43541,-0.178078,1.9556,-0.0842229,1.45215,-0.0379322,3.43541,-0.178078,1.9556,-0.0842229,1.45215,-0.0379322,3.43541,-0.178078,1.9556,-0.0842229,1.45215,-0.0379322,3.43541,-0.178078,1.9556,-0.0842229,1.45215,-0.0379322,,,,
