series,X,f,f_kelly_analytic,cagr_median,cagr_p5,cagr_p25,mean_log_growth,mdd_median,p_dd_50,p_dd_90,p_loss,tw_median
mkt,0,0.1,2.6163616454101675,0.04017214440080352,0.03335467863288688,0.03742520409048927,0.03935709481112542,-0.03491734200818564,0.0,0.0,0.0,2.676889732797836
mkt,0,0.2,2.6163616454101675,0.04812443331701122,0.03528353328998585,0.0430127637665072,0.04701040738672264,-0.07845692779137359,0.0,0.0,0.0,3.2383301893456813
mkt,0,0.3,2.6163616454101675,0.05594024569541145,0.03666460985973483,0.04824373260902021,0.054358763526544555,-0.12583068691804555,0.0,0.0,0.0,3.89927237482122
mkt,0,0.4,2.6163616454101675,0.06343457400703045,0.037539621074484816,0.05319001494758302,0.061401274311274914,-0.17389325262846356,0.0,0.0,0.0,4.6533895661808735
mkt,0,0.5,2.6163616454101675,0.07070591802138637,0.038232711999098876,0.05786279382084991,0.0681378312440542,-0.221176312089771,0.0006,0.0,0.0002,5.5176618346270825
mkt,0,0.6,2.6163616454101675,0.07772432826878406,0.03839918888885387,0.06215997662799555,0.07456885098195677,-0.26726524691960174,0.008,0.0,0.0008,6.4966903343813245
mkt,0,0.7,2.6163616454101675,0.0844550901779405,0.03808129851133797,0.06612417042778584,0.08069333008687916,-0.3123456583101291,0.0354,0.0,0.0018,7.590830752749922
mkt,0,0.8,2.6163616454101675,0.09085091166075243,0.03787872192836383,0.06982152525205237,0.08651151961396585,-0.3559409567380156,0.085,0.0,0.0024,8.792957482443502
mkt,0,0.9,2.6163616454101675,0.09692645474453998,0.03719341591265527,0.07310251114993394,0.09202298499719463,-0.3978387688764322,0.1716,0.0,0.0046,10.102707146685457
mkt,0,1.0,2.6163616454101675,0.10277062660740455,0.03612234203344431,0.0760710026016353,0.09722650177118604,-0.43775097151941306,0.2892,0.0,0.0062,11.537979035206398
mkt,0,1.1,2.6163616454101675,0.10817526057975446,0.03454787368220397,0.07879369598445518,0.1021226854972915,-0.47557458754260545,0.4184,0.0002,0.0084,13.038008714606779
