series,mode,X,n_removed,n_obs,ann_arith_total,cagr,ann_vol,sharpe,max_dd,worst_day,best_day,skew,kurt,kelly_gauss,kelly_quad,kelly_emp,kelly_emp_half,kelly_emp_quarter,fmax_feasible,mean_daily_total,mean_daily_exc,ann_arith_exc,kelly_gauss_half,kelly_gauss_quarter
mkt,best,0,0,26233,0.11283653635191837,0.10244467074803998,0.17470275413524233,0.46614813037710473,-0.8407399476860208,-0.1741,0.1567,-0.15869808233192317,16.137895674264207,2.66801337253739,2.6658088848696426,2.6163616454101675,1.3081808227050837,0.6540904113525419,5.735665137614679,0.0004294018983722791,0.00030994930049937106,0.0814472540657653,1.334006686268695,0.6670033431343475
mkt,best,1,1,26232,0.11127111354407464,0.10084230407044359,0.17400450465713363,0.4590188526511419,-0.8407399476860208,-0.1741,0.11359999999999999,-0.2768188368925471,14.730484192581763,2.63776496537309,2.6356515745696236,2.581762041506894,1.290881020753447,0.6454405103767235,5.735665137614679,0.0004234446477584629,0.00030398749618786215,0.07988063465521165,1.318882482686545,0.6594412413432725
mkt,best,5,5,26228,0.10681263486549285,0.09619772988090669,0.17258617010172575,0.43694833937787775,-0.8711707447236291,-0.1741,0.0978,-0.4533513078043136,13.496873608747027,2.5315926768704817,2.5297545759658386,2.47253912159476,1.23626956079738,0.61813478039869,5.735665137614679,0.0004064778099740736,0.00028701006557877074,0.07541937243595598,1.2657963384352409,0.6328981692176204
mkt,best,10,10,26223,0.10216530150586865,0.09133584991370292,0.17134697039235033,0.41297929548832457,-0.8711707447236291,-0.1741,0.0867,-0.5879405148481117,12.835562284343112,2.410036092205046,2.408472839867351,2.3515828464936184,1.1757914232468092,0.5878957116234046,5.735665137614679,0.0003887922815848682,0.00026931701178354873,0.07077006157983542,1.205018046102523,0.6025090230512615
mkt,best,20,20,26213,0.09415147817359522,0.08295211903774091,0.16949526955812003,0.37019031483201836,-0.9136831254225107,-0.1741,0.0727,-0.7708303703630605,12.213138152175482,2.1839570537187916,2.1828186441411024,2.1307090408990366,1.0653545204495183,0.5326772602247591,5.735665137614679,0.00035829550223171705,0.00023880135810475716,0.06275127852675191,1.0919785268593958,0.5459892634296979
mkt,best,50,50,26183,0.07550684187542529,0.06352975968871455,0.166129199479056,0.2653247140256499,-0.9632953334445661,-0.1741,0.05410000000000001,-1.057285008289259,11.885869585224743,1.5971047322329348,1.5966769691792777,1.5647665966724562,0.7823832983362281,0.39119164916811405,5.735665137614679,0.00028734293243707753,0.00016774624756521407,0.0440796969762817,0.7985523661164674,0.3992761830582337
mkt,best,100,100,26133,0.052074565777396914,0.03943106508314398,0.16294473518551317,0.12654430900379848,-0.9871973468021961,-0.1741,0.0417,-1.2909938472876483,12.150643614540682,0.7766482809817369,0.7766009534354069,0.7684709226600148,0.3842354613300074,0.1921177306650037,5.735665137614679,0.00019817089503692647,7.84678375999694e-05,0.02061946871536459,0.38832414049086844,0.19416207024543422
mkt,best,200,200,26033,0.014400042959414954,0.0016446810990633498,0.1588580767006215,-0.10768558556819484,-0.9980458617687995,-0.1741,0.034,-1.5705538965729082,12.914938257977967,-0.6779584227417975,-0.6779285049221745,4.4755769933956584e-05,2.2377884966978292e-05,1.1188942483489146e-05,5.735665137614679,5.479967733261628e-05,-6.509430338416624e-05,-0.017105224168669976,-0.33897921137089876,-0.16948960568544938
mkt,best,500,500,25733,-0.06822190418063516,-0.07689701025827211,0.152467373890071,-0.6549152384054833,-0.9998994095982873,-0.1741,0.0228,-1.9846929513396914,14.85345459158232,-4.2965673547035355,-4.289565475994646,4.4755769933956584e-05,2.2377884966978292e-05,1.1188942483489146e-05,5.735665137614679,-0.00025961994326351384,-0.0003799090661796137,-0.09983100521654971,-2.1482836773517677,-1.0741418386758839
mkt,worst,0,0,26233,0.11283653635191837,0.10244467074803998,0.17470275413524233,0.46614813037710473,-0.8407399476860208,-0.1741,0.1567,-0.15869808233192317,16.137895674264207,2.66801337253739,2.6658088848696426,2.6163616454101675,1.3081808227050837,0.6540904113525419,5.735665137614679,0.0004294018983722791,0.00030994930049937106,0.0814472540657653,1.334006686268695,0.6670033431343475
